area,site,elev,treatment,plot,esa_worldcover_10,esa_worldcover_50,elevation
China,High Elevation,4100,NA,NA,30,30,4181
China,Alpine,3850,NA,NA,30,30,3825
China,Middle,3500,NA,NA,10,10,3461
China,Lowland,3000,NA,NA,60,60,3110
USA,Almont,2484,NA,NA,30,30,2469
USA,CBT,2699,NA,NA,30,30,2703
USA,Road,2811,NA,NA,30,30,2814
USA,Pfeiler,3171,NA,NA,30,30,3178
USA,PBM,3371,NA,NA,100,30,3376
USA,Cinnamon,3458,NA,NA,30,30,3470
Peru,WAY,3071.7,B,1,30,30,3062
Peru,WAY,3073.1,B,2,30,30,3065
Peru,WAY,3077.1,B,3,30,30,3065
Peru,WAY,3078.8,B,4,30,30,3069
Peru,WAY,3078.8,B,5,30,30,3069
Peru,WAY,3118,C,1,30,30,3114
Peru,WAY,3120.3,C,2,30,30,3114
Peru,WAY,3121,C,3,30,30,3114
Peru,WAY,3123.3,C,4,30,30,3116
Peru,WAY,3125,C,5,30,30,3116
Peru,TRE,3714.3,C,1,30,30,3693
Peru,TRE,3714.8,C,2,30,30,3693
Peru,TRE,3714.7,C,3,30,30,3694
Peru,TRE,3714.7,C,4,30,30,3694
Peru,TRE,3714.6,C,5,30,30,3694
Peru,ACJ,3444.1,B,1,30,30,3426
Peru,ACJ,3444.2,B,2,30,30,3426
Peru,ACJ,3446.3,B,3,30,30,3430
Peru,ACJ,3447.3,B,4,30,30,3430
Peru,ACJ,3447.7,B,5,30,30,3430
Peru,ACJ,3487.4,C,1,60,30,3475
Peru,ACJ,3487.7,C,2,60,30,3475
Peru,ACJ,3489,C,3,60,30,3475
Peru,ACJ,3490,C,4,60,30,3477
Peru,ACJ,3492.4,C,5,60,30,3477
Peru,ACJ,3400,NB,1,30,30,3416
Peru,ACJ,3400,NB,2,30,30,3416
Peru,ACJ,3400,NB,3,30,30,3416
Peru,ACJ,3400,NB,4,30,30,3416
Peru,ACJ,3400,NB,5,30,30,3416
Peru,ACJ,3400,NB,NA,30,30,3416
Peru,PIL,3626.7,B,5,30,30,3688
Peru,PIL,3687.4,B,4,30,30,3685
Peru,PIL,3687,B,3,30,30,3680
Peru,PIL,3686.9,B,2,30,30,3680
Peru,PIL,3686.8,B,1,30,30,3680
Peru,PIL,3685.5,C,5,30,30,3680
Peru,PIL,3683.5,C,4,30,30,3680
Peru,PIL,3673.3,C,3,30,30,3665
Peru,PIL,3671.2,C,2,30,30,3657
Peru,PIL,3669.6,C,1,30,30,3657
Peru,PIL,3665.4,BB,3,30,30,3657
Peru,PIL,3665.5,BB,2,30,30,3652
Peru,PIL,3694.3,BB,1,30,30,3687
Peru,QUE,3882.9,B,1,30,30,3872
Peru,QUE,3884.3,B,2,30,30,3871
Peru,QUE,3890,B,3,30,30,3878
Peru,QUE,3889.8,B,4,30,30,3877
Peru,QUE,3893.1,B,5,30,30,3878
Peru,QUE,3882.9,NB,1,30,30,3872
Peru,QUE,3884.3,NB,2,30,30,3871
Peru,QUE,3890,NB,3,30,30,3878
Peru,QUE,3889.8,NB,4,30,30,3877
Peru,QUE,3893.1,NB,5,30,30,3878
Peru,OCC,4384.3,C,1,30,30,4360
Peru,OCC,4382.4,C,2,30,30,4362
Peru,OCC,4380,C,3,30,30,4366
Peru,OCC,4382,C,4,30,30,4366
Peru,OCC,4385.8,C,5,30,30,4372
Peru,TRE,3618.2,NB,1,30,30,3609
Peru,TRE,3619.1,NB,2,30,30,3609
Peru,TRE,3619.4,NB,3,30,30,3610
Peru,TRE,3620.3,NB,4,30,30,3610
Peru,TRE,3621.3,NB,5,30,30,3611
south_africa,5,2821.98,W,1,20,30,2808
south_africa,5,2818.934,W,2,20,30,2803
south_africa,5,2817.696,W,3,20,30,2803
south_africa,5,2816.868,W,4,20,30,2803
south_africa,5,2813.868,W,5,30,30,2803
south_africa,5,2804.17,E,5,30,30,2775
south_africa,5,2798.999,E,4,30,30,2775
south_africa,5,2798.298,E,3,30,30,2775
south_africa,5,2797.668,E,2,30,30,2775
south_africa,5,2797.88,E,1,30,30,2775
south_africa,3,2435.74,E,5,30,30,2429
south_africa,3,2435.724,E,4,30,30,2429
south_africa,3,2435.917,E,3,30,30,2426
south_africa,3,2437.889,E,2,30,30,2419
south_africa,3,2438.145,E,1,30,30,2419
south_africa,3,2438.296,W,5,30,30,2423
south_africa,3,2439.245,W,4,30,30,2423
south_africa,3,2439.718,W,3,30,30,2423
south_africa,3,2439.812,W,2,30,30,2418
south_africa,3,2438.495,W,1,30,30,2418
south_africa,1,2047.849,W,1,30,30,2026
south_africa,1,2048.688,W,2,30,30,2026
south_africa,1,2049.879,W,5,30,30,2027
south_africa,1,2049.995,W,4,30,30,2027
south_africa,1,2050.062,W,3,30,30,2026
south_africa,1,2040.903,E,1,30,30,2023
south_africa,1,2041.671,E,2,30,30,2023
south_africa,1,2041.794,E,3,30,30,2023
south_africa,1,2042.018,E,4,30,30,2024
south_africa,1,2043.022,E,5,30,30,2024
south_africa,4,2601.714,E,5,30,30,2572
south_africa,4,2602.793,E,4,30,30,2572
south_africa,4,2603.203,E,3,30,30,2572
south_africa,4,2603.358,E,2,30,30,2574
south_africa,4,2596.275,E,1,30,30,2574
south_africa,4,2598.683,W,1,30,30,2590
south_africa,4,2599.213,W,2,30,30,2590
south_africa,4,2599.505,W,3,30,30,2590
south_africa,4,2599.629,W,4,30,30,2593
south_africa,4,2599.413,W,5,30,30,2593
south_africa,2,2207.291,W,1,30,30,2190
south_africa,2,2207.43,W,2,30,30,2190
south_africa,2,2207.394,W,3,30,30,2190
south_africa,2,2207.509,W,4,30,30,2190
south_africa,2,2207.475,W,5,30,30,2190
south_africa,2,2210.382,E,5,30,30,2191
south_africa,2,2210.981,E,4,30,30,2191
south_africa,2,2211.293,E,3,30,30,2192
south_africa,2,2211.567,E,2,30,30,2192
south_africa,2,2211.958,E,1,30,30,2192
Svalbard,CAS,80,OTC,NA,100,100,76
Svalbard,BIS,80,OTC,NA,100,100,76
Svalbard,DRY,80,OTC,NA,100,100,76
Svalbard,CAS,80,CTL,NA,100,100,76
Svalbard,BIS,80,CTL,NA,100,100,76
Svalbard,DRY,80,CTL,NA,100,100,76
Svalbard,1,9.916196823120115,C,A,30,30,9
Svalbard,1,9.916196823120115,C,B,30,30,8
Svalbard,1,9.803709983825684,C,C,30,30,10
Svalbard,1,9.758845329284668,C,D,30,30,10
Svalbard,1,9.892903327941896,C,E,30,30,9
Svalbard,1,9.858673095703123,C,F,30,30,10
Svalbard,1,10.291304588317873,C,G,30,30,10
Svalbard,2,35.103546142578125,C,A,30,30,35
Svalbard,2,34.952938079833984,C,B,30,30,34
Svalbard,2,34.44870376586914,C,C,30,30,38
Svalbard,2,35.88026809692383,C,D,100,30,38
Svalbard,2,34.917930603027344,C,E,30,30,34
Svalbard,2,34.51542282104492,C,F,30,30,36
Svalbard,2,35.29413986206055,C,G,30,30,35
Svalbard,3,84.315521240234375,C,A,30,30,84
Svalbard,3,85.32965850830078,C,B,30,30,82
Svalbard,3,85.30431365966797,C,C,30,30,82
Svalbard,3,85.30842590332031,C,D,30,30,82
Svalbard,3,85.54279327392578,C,E,30,30,83
Svalbard,3,85.089080810546875,C,F,30,30,83
Svalbard,3,85.15360260009766,C,G,30,30,83
Svalbard,4,135.15802001953125,C,A,30,100,134
Svalbard,4,135.82395935058594,C,B,30,100,134
Svalbard,4,134.249755859375,C,C,30,100,139
Svalbard,4,133.6484375,C,D,30,100,136
Svalbard,4,134.39340209960935,C,E,30,30,137
Svalbard,4,133.4052276611328,C,F,100,30,137
Svalbard,4,134.02081298828125,C,G,100,30,137
Svalbard,5,177.69808959960935,C,A,30,30,178
Svalbard,5,176.56785583496094,C,B,30,30,178
Svalbard,5,177.35955810546875,C,C,30,100,181
Svalbard,5,176.5673370361328,C,D,30,100,181
Svalbard,5,177.42205810546875,C,E,30,100,181
Svalbard,5,176.60238647460935,C,F,30,100,184
Svalbard,5,177.94073486328125,C,G,100,100,179
Svalbard,6,224.70541381835935,C,A,100,100,220
Svalbard,6,225.4084320068359,C,B,100,100,220
Svalbard,6,224.65286254882813,C,C,100,100,218
Svalbard,6,224.36822509765625,C,D,100,100,218
Svalbard,6,223.04421997070313,C,E,100,100,218
Svalbard,6,223.80140686035156,C,F,100,100,218
Svalbard,6,224.0271759033203,C,G,100,100,218
