datetime,type,elevation,treatment,plot,temperature,flux_best,tier,par,site,latitude,longitude,plot_id,burn_year,date,year,aspect,season,location
2016-08-12T08:54:00Z,nee,3850,c,7,20.611,-1.18815042192501,China_2016,867.628450704225,A,29.88911,102.0173,CH_A7,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:25:00Z,nee,3850,c,2,21.612,2.32189247991462,China_2016,1862.62672131148,A,29.88911,102.0173,CH_A2,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T08:57:00Z,reco,3850,c,7,20.611,-4.88269443580448,China_2016,2.50736263736264,A,29.88911,102.0173,CH_A7,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:28:00Z,reco,3850,c,2,22.8767362637363,-10.0095107405395,China_2016,1.8178021978022,A,29.88911,102.0173,CH_A2,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T09:24:00Z,nee,3850,c,6,20.611,-2.58111005146157,China_2016,789.206557377049,A,29.88911,102.0173,CH_A6,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T09:27:00Z,reco,3850,c,6,20.611,-8.18949051169089,China_2016,5.67802197802198,A,29.88911,102.0173,CH_A6,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:03:00Z,nee,3850,c,1,17.607,4.15850276738034,China_2016,794.459607843137,A,29.88911,102.0173,CH_A1,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:10:00Z,nee,3850,c,3,19.010862745098,1.46901448066624,China_2016,1277.14647058824,A,29.88911,102.0173,CH_A3,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T12:46:00Z,nee,3850,c,4,16.606,1.22758981160461,China_2016,549.941267605634,A,29.88911,102.0173,CH_A4,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:06:00Z,reco,3850,c,1,18.108,-10.187539466501,China_2016,2.80010989010989,A,29.88911,102.0173,CH_A1,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T11:13:00Z,reco,3850,c,3,19.0884285714286,-8.91505899267242,China_2016,4.24868131868132,A,29.88911,102.0173,CH_A3,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T12:49:00Z,reco,3850,c,4,16.606,-6.30384991907187,China_2016,3.03472527472527,A,29.88911,102.0173,CH_A4,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T09:55:00Z,nee,3850,c,5,23.4757450980392,0.119154928241263,China_2016,845.843333333333,A,29.88911,102.0173,CH_A5,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-12T09:58:00Z,reco,3850,c,5,23.1789340659341,-6.15162761887526,China_2016,5.84153846153846,A,29.88911,102.0173,CH_A5,,2016-08-12,2016,,not_part_of_the_dataset,China
2016-08-13T09:30:00Z,nee,4100,c,5,19.109,0.520677550198739,China_2016,261.093406593407,H,29.90742,102.0118,CH_H5,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T10:29:00Z,nee,4100,c,4,18.609,6.16508002626152,China_2016,1107.24852459016,H,29.90742,102.0118,CH_H4,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T10:32:00Z,reco,4100,c,4,18.3291621621622,-3.09666648927881,China_2016,3.77081081081081,H,29.90742,102.0118,CH_H4,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T11:52:00Z,nee,4100,c,1,20.4349436619718,-1.89476416661093,China_2016,663.408591549296,H,29.90742,102.0118,CH_H1,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T12:12:00Z,nee,4100,c,3,19.071021978022,2.6312743381076,China_2016,1473.60879120879,H,29.90742,102.0118,CH_H3,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T11:55:00Z,reco,4100,c,1,20.111,-4.73824612726234,China_2016,2.59307692307692,H,29.90742,102.0118,CH_H1,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-13T12:15:00Z,reco,4100,c,3,20.111,-6.76540162776368,China_2016,3.39967032967033,H,29.90742,102.0118,CH_H3,,2016-08-13,2016,,not_part_of_the_dataset,China
2016-08-11T15:00:00Z,nee,3500,c,3,21.612,-0.277138039701486,China_2016,570.377183098592,M,29.86192,102.036,CH_M3,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T15:08:00Z,nee,3500,c,4,20.611,-1.04824375053067,China_2016,485.836913580247,M,29.86192,102.036,CH_M4,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T16:19:00Z,nee,3500,c,1,19.061,-6.93555369992535,China_2016,691.223442622951,M,29.86192,102.036,CH_M1,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T15:29:00Z,nee,3500,c,6,20.611,-0.0913594337388507,China_2016,614.857323943662,M,29.86192,102.036,CH_M6,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T15:03:00Z,reco,3500,c,3,21.4417872340426,-3.86633375957954,China_2016,1.66652482269504,M,29.86192,102.036,CH_M3,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T15:11:00Z,reco,3500,c,4,20.111,-6.42850362257509,China_2016,1.68472527472527,M,29.86192,102.036,CH_M4,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T16:23:00Z,reco,3500,c,1,20.111,-12.9526569346241,China_2016,1.2021978021978,M,29.86192,102.036,CH_M1,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T15:33:00Z,reco,3500,c,6,20.4077032967033,-8.49298197728568,China_2016,0.78032967032967,M,29.86192,102.036,CH_M6,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T12:12:00Z,nee,3500,c,5,28.612,2.34684948726574,China_2016,2036.85469135802,M,29.86192,102.036,CH_M5,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T12:16:00Z,reco,3500,c,5,28.612,-8.89326744146408,China_2016,8.29846153846154,M,29.86192,102.036,CH_M5,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T13:03:00Z,nee,3500,c,2,28.612,4.65860709126915,China_2016,2457.95585365854,M,29.86192,102.036,CH_M2,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T14:07:00Z,nee,3500,c,7,26.2608873239437,-2.3878511533108,China_2016,791.871267605634,M,29.86192,102.036,CH_M7,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T13:06:00Z,reco,3500,c,2,28.612,-4.9554773168834,China_2016,9.63263736263736,M,29.86192,102.036,CH_M2,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-11T14:10:00Z,reco,3500,c,7,26.613,-3.65646976524377,China_2016,5.26604395604396,M,29.86192,102.036,CH_M7,,2016-08-11,2016,,not_part_of_the_dataset,China
2016-08-10T12:37:00Z,nee,3000,c,5,26.8209207920792,3.26739314835144,China_2016,2733.42445544554,L,29.84347,102.0343,CH_L5,,2016-08-10,2016,,not_part_of_the_dataset,China
2016-08-10T13:17:00Z,nee,3000,c,7,24.113,-5.45368884093592,China_2016,889.263516483516,L,29.84347,102.0343,CH_L7,,2016-08-10,2016,,not_part_of_the_dataset,China
2016-08-10T12:40:00Z,reco,3000,c,5,27.8191983471074,-14.0196124298784,China_2016,10.1590082644628,L,29.84347,102.0343,CH_L5,,2016-08-10,2016,,not_part_of_the_dataset,China
