tier,plot_id,SpeciesRichness,VegPlotSizeM2
China_2016,CH_A1,17,0.0625
China_2016,CH_A10,21,0.0625
China_2016,CH_A11,24,0.0625
China_2016,CH_A12,20,0.0625
China_2016,CH_A13,18,0.0625
China_2016,CH_A14,18,0.0625
China_2016,CH_A15,19,0.0625
China_2016,CH_A16,18,0.0625
China_2016,CH_A17,19,0.0625
China_2016,CH_A18,22,0.0625
China_2016,CH_A19,18,0.0625
China_2016,CH_A2,22,0.0625
China_2016,CH_A20,22,0.0625
China_2016,CH_A3,16,0.0625
China_2016,CH_A4,18,0.0625
China_2016,CH_A5,17,0.0625
China_2016,CH_A6,20,0.0625
China_2016,CH_A7,19,0.0625
China_2016,CH_A8,16,0.0625
China_2016,CH_A9,18,0.0625
China_2016,CH_H1,23,0.0625
China_2016,CH_H10,19,0.0625
China_2016,CH_H11,20,0.0625
China_2016,CH_H12,20,0.0625
China_2016,CH_H13,17,0.0625
China_2016,CH_H2,22,0.0625
China_2016,CH_H3,27,0.0625
China_2016,CH_H4,21,0.0625
China_2016,CH_H5,27,0.0625
China_2016,CH_H6,23,0.0625
China_2016,CH_H7,23,0.0625
China_2016,CH_H8,22,0.0625
China_2016,CH_H9,23,0.0625
China_2016,CH_L1,11,0.0625
China_2016,CH_L10,14,0.0625
China_2016,CH_L11,19,0.0625
China_2016,CH_L12,14,0.0625
China_2016,CH_L13,15,0.0625
China_2016,CH_L14,18,0.0625
China_2016,CH_L15,17,0.0625
China_2016,CH_L16,16,0.0625
China_2016,CH_L17,13,0.0625
China_2016,CH_L18,14,0.0625
China_2016,CH_L19,15,0.0625
China_2016,CH_L2,12,0.0625
China_2016,CH_L20,12,0.0625
China_2016,CH_L3,13,0.0625
China_2016,CH_L4,15,0.0625
China_2016,CH_L5,14,0.0625
China_2016,CH_L6,8,0.0625
China_2016,CH_L7,16,0.0625
China_2016,CH_L8,16,0.0625
China_2016,CH_L9,15,0.0625
China_2016,CH_M1,26,0.0625
China_2016,CH_M10,25,0.0625
China_2016,CH_M11,20,0.0625
China_2016,CH_M12,18,0.0625
China_2016,CH_M13,18,0.0625
China_2016,CH_M14,23,0.0625
China_2016,CH_M15,25,0.0625
China_2016,CH_M16,22,0.0625
China_2016,CH_M17,15,0.0625
China_2016,CH_M18,14,0.0625
China_2016,CH_M19,23,0.0625
China_2016,CH_M2,25,0.0625
China_2016,CH_M20,19,0.0625
China_2016,CH_M3,22,0.0625
China_2016,CH_M4,16,0.0625
China_2016,CH_M5,17,0.0625
China_2016,CH_M6,20,0.0625
China_2016,CH_M7,24,0.0625
China_2016,CH_M8,17,0.0625
China_2016,CH_M9,20,0.0625
Colorado_2016,US_almont1,2,0.25
Colorado_2016,US_almont2,3,0.25
Colorado_2016,US_almont3,3,0.25
