species,site,elevation,treatment,plot_id,tier,trait_name,trait_value,latitude,longitude,burn_year,aspect,year,gradient
Plantago asiatica,L,3000,c,CH_L1,China_2016,wet_mass_g,0.43,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,dry_mass_g,0.05121,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.237666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_area_cm2,9.5087,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,sla_cm2_g,185.68053114626,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,ldmc,0.119093023255814,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,wet_mass_g,0.461,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,dry_mass_g,0.0796,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.313,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_area_cm2,13.7581,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,sla_cm2_g,172.840452261307,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,ldmc,0.172668112798265,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,wet_mass_g,0.728,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,dry_mass_g,0.13415,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.244,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_area_cm2,18.0133,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,sla_cm2_g,134.27730152814,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,ldmc,0.184271978021978,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,wet_mass_g,0.877,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,dry_mass_g,0.1484,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.206666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,leaf_area_cm2,22.8621,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,sla_cm2_g,154.057277628032,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,c,CH_L1,China_2016,ldmc,0.16921322690992,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,wet_mass_g,0.975,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,dry_mass_g,0.2479,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.194333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_area_cm2,40.6382,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,sla_cm2_g,163.929810407422,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,ldmc,0.25425641025641,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,wet_mass_g,0.644,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,dry_mass_g,0.1638,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.166666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_area_cm2,28.0389,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,sla_cm2_g,171.177655677656,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,ldmc,0.254347826086957,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,wet_mass_g,0.536,29.84347,102.0343,,,2016,Eastern Himalayas
