species_formatted,species_orig,species_LCVP,Genus,Family,Order,grass,woody
Plantago asiatica,Plantago asiatica,Plantago asiatica,Plantago,Plantaginaceae,Lamiales,0,0
Potentilla leuconota,Potentilla leuconota,Argentina leuconota,Argentina,Rosaceae,Rosales,0,0.93
Epilobium fangii,Epilobium fangii,Epilobium fangii,Epilobium,Onagraceae,Myrtales,0,0
Galium hoffmeisteri,Galium hoffmeisteri,Galium hoffmeisteri,Galium,Rubiaceae,Gentianales,0,0.04
Cerastium szechuense,Cerastium szechuense,Cerastium szechuense,Cerastium,Caryophyllaceae,Caryophyllales,0,0
Viola biflora var. rockiana,Viola biflora var. rockiana,Viola biflora,Viola,Violaceae,Malpighiales,0,0
Artemisia flaccida,Artemisia flaccida,Artemisia fulgens,Artemisia,Asteraceae,Asterales,0,0.35
Pedicularis davidii,Pedicularis davidii,Pedicularis davidii,Pedicularis,Orobanchaceae,Lamiales,0,0
Geranium pylzowianum,Geranium pylzowianum,Geranium pylzowianum,Geranium,Geraniaceae,Geraniales,0,0
Hypericum wightianum,Hypericum wightianum,Hypericum wightianum,Hypericum,Hypericaceae,Malpighiales,0,0
Veronica szechuanica,Veronica szechuanica,Veronica szechuanica,Veronica,Plantaginaceae,Lamiales,0,0
Persicaria vivipara,Persicaria vivipara,Bistorta vivipara,Bistorta,Polygonaceae,Caryophyllales,0,0.53
Allium prattii,Allium prattii,Allium prattii,Allium,Amaryllidaceae,Asparagales,0,0
Polygonum macrophyllum,Polygonum macrophyllum,Bistorta macrophylla,Bistorta,Polygonaceae,Caryophyllales,0,0.53
Aletris pauciflora,Aletris pauciflora,Aletris pauciflora,Aletris,Nartheciaceae,Dioscoreales,0,0
Carex boliviensis,Carex boliviensis,Carex boliviensis,Carex,Cyperaceae,Poales,1,0
Hypericum andinum,Hypericum andinum,Hypericum andinum,Hypericum,Hypericaceae,Malpighiales,0,0
Polypogon sp,Polypogon sp,NA,Polypogon,Poaceae,Poales,1,0
Bromus lanatus,Bromus lanatus,Bromus lanatus,Bromus,Poaceae,Poales,1,0
Festuca dolichophylla,Festuca dolichophylla,Festuca dolichophylla,Festuca,Poaceae,Poales,1,0
Trichophorum rigidum,Trichophorum rigidum,Trichophorum rigidum,Trichophorum,Cyperaceae,Poales,1,0
Carex pygmaea,Carex pygmaea,Carex pygmaea,Carex,Cyperaceae,Poales,1,0
Oreithales integrifolia,Oreithales integrifolia,Anemone integrifolia,Anemone,Ranunculaceae,Ranunculales,0,0
Halenia umbellata,Halenia umbellata,Halenia umbellata,Halenia,Gentianaceae,Gentianales,0,0
Rhynchospora macrochaeta,Rhynchospora macrochaeta,Rhynchospora macrochaeta,Rhynchospora,Cyperaceae,Poales,1,0
Oritrophium hieracioides,Oritrophium hieracioides,Podocoma hieraciifolia,Podocoma,Asteraceae,Asterales,0,0.22
Carex pichinchensis,Carex pichinchensis,Carex pichinchensis,Carex,Cyperaceae,Poales,1,0
Anatherostipa hans-meyeri,Anatherostipa hans-meyeri,Anatherostipa hans-meyeri,Anatherostipa,Poaceae,Poales,1,0.04
Gentiana sedifolia,Gentiana sedifolia,Gentiana prostrata,Gentiana,Gentianaceae,Gentianales,0,0
Luzula racemosa,Luzula racemosa,Luzula racemosa,Luzula,Juncaceae,Poales,1,0
Elaphoglossum amphioxys,Elaphoglossum amphioxys,Elaphoglossum amphioxys,Elaphoglossum,Dryopteridaceae,Polypodiales,0,0
Polypogon exasperatus,Polypogon exasperatus,Polypogon exasperatus,Polypogon,Poaceae,Poales,1,0
