site,plot,biomass,cover,height,n,speciesName,authority,genus,family
H,I-1,0.0211,1,6.7,1,Agrostis spp,,Agrostis,Poaceae
H,I-1,0.0512,0.5,4.55,2,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-1,0.1831,1,3.011111111111111,9,Allium prattii,,Allium,Amaryllidaceae
H,I-1,0.0542,0.2,0.9,2,Androsace minor,,Androsace,Primulaceae
H,I-1,0.0347,0.5,0.5,1,Aster asteroides,,Aster,Asteraceae
H,I-1,0.5987,1,1.6142857142857143,7,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-1,0.8879,1,2.88,10,Festuca forrestii,,Festuca,Poaceae
H,I-1,0.1681,0.8,1.3166666666666667,6,Gentiana crassula,,Gentiana,Gentianaceae
H,I-1,0.0078,0.1,2,1,Halenia elliptica,,Halenia,Gentianaceae
H,I-1,0.0202,0.2,11.25,4,Juncus leucomelas,,Juncus,Juncaceae
H,I-1,8.0105,25,8.28,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-1,6.5591,5,5.15,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-1,2.9661,4,4.89,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-1,4.182300000000001,NA,NA,NA,mixed forb species,,Mix,NA
H,I-1,0.0189,0.2,2.1,3,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-1,0.6757,20,2.89,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-1,17.691499999999998,40,2.17,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-1,0.3135,1,2.5,4,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-1,2.0932,5,1.35,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-1,1.4614,2.5,1.02,10,Saussurea pachyneura,,Saussurea,Asteraceae
H,I-1,1.4937,2.5,2.0100000000000002,10,Saussurea stella,,Saussurea,Asteraceae
H,I-1,0.1845,2.5,1.6714285714285715,7,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-1,0.0345,0.1,1.0333333333333334,3,Viola biflora var. rockiana,,Viola,Violaceae
H,I-10,0.1931,2.8,1.6333333333333333,3,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-10,0.0766,1.3,2.7333333333333334,3,Allium prattii,,Allium,Amaryllidaceae
H,I-10,8.4072,16,1.02,10,Androsace minor,,Androsace,Primulaceae
H,I-10,0.1647,2,2.7,3,Anemone demissa,,Anemone,Ranunculaceae
H,I-10,0.1876,4,1.36,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-10,0.7021,2,4.93,10,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-10,0.1023,0.4,NA,NA,Festuca forrestii,,Festuca,Poaceae
H,I-10,0.2034,1.2,2.04,5,Galearis spathulata,,Galearis,Orchidaceae
H,I-10,0.0238,1,0.73,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-10,NA,0.1,9.1,1,Juncus leucomelas,,Juncus,Juncaceae
H,I-10,2.8674,5.4,9.2,8,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-10,9.0718,15,5.2,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-10,4.7146,6,4.62,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-10,0.3209,3,1.45,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-10,6.1174,18,1.65,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-10,0.054,0.5,3.76,5,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-10,0.4313,3.5,0.51,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-10,0.4252,3.1,1.5285714285714285,7,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-10,0.0954,5,0.45,6,Viola biflora var. rockiana,,Viola,Violaceae
H,I-11,0.2378,0.5,4.566666666666666,3,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-11,2.2003,8,0.54,10,Androsace minor,,Androsace,Primulaceae
H,I-11,0.0775,0.6,1.2000000000000002,2,Anemone demissa,,Anemone,Ranunculaceae
H,I-11,0.1748,4.5,0.9400000000000001,10,Aster asteroides,,Aster,Asteraceae
H,I-11,0.6201,3,1.27,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-11,0.2703,1.8,4.81,10,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-11,1.6414,4.2,4.633333333333333,3,Festuca forrestii,,Festuca,Poaceae
H,I-11,0.2954,1.8,1.05,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-11,0.0391,0.6,3.45,2,Gentiana trichotoma,,Gentiana,Gentianaceae
H,I-11,5.5978,9,6.14,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-11,0.6982,3.5,3.62,10,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-11,5.6245,3,3.98,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-11,1.7694,6,3.7,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-11,0.4256,5,1.78,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-11,5.6849,20,1.29,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-11,0.3154,1,2.8,3,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-11,1.2667,4,0.92,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-11,0.3081,1,1.4,3,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-11,0.9991,2.8,2.42,10,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-11,0.2031,1.8,1.19,10,Viola biflora var. rockiana,,Viola,Violaceae
H,I-12,0.2117,3,0.61,10,Androsace minor,,Androsace,Primulaceae
H,I-12,1.7044,4.6,2.375,4,Astragalus skythropos,,Astragalus,Fabaceae
H,I-12,0.1867,2,0.6900000000000001,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-12,0.1546,2,5.2,10,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-12,0.3322,1,4.5,1,Festuca forrestii,,Festuca,Poaceae
H,I-12,0.0233,0.8,2.8,1,Galearis spathulata,,Galearis,Orchidaceae
H,I-12,0.0385,1.5,0.81,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-12,6.3325,10,6.63,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-12,1.999,10,3.38,10,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-12,9.0179,15,4.9,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-12,0.3359,1,5.6,1,Kobresia sp4,,Kobresia,Cyperaceae
H,I-12,0.1996,1.1,1.3,1,Ligusticum scapiforme,,Ligusticum,Apiaceae
H,I-12,NA,0.5,3.1500000000000004,2,Pedicularis sp,,Pedicularis,Orobanchaceae
H,I-12,0.3996,2.5,1.25,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-12,3.61887,12,0.98,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-12,NA,0.1,0.8,1,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-12,0.4616,4,0.66,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-12,0.6552,2,1.7833333333333332,6,Saussurea stella,,Saussurea,Asteraceae
H,I-12,0.2393,2.2,1.3,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-12,0.0825,0.8,1.0333333333333334,6,Viola biflora var. rockiana,,Viola,Violaceae
H,I-13,1.7284,7.4,1.245,20,Androsace minor,,Androsace,Primulaceae
H,I-13,0.2053,0.5,2.5,1,Anemone demissa,,Anemone,Ranunculaceae
H,I-13,0.2733,0.2,1.65,2,Aster asteroides,,Aster,Asteraceae
H,I-13,1.8718,5,0.83,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-13,0.2457,1,5.183333333333334,6,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-13,0.7345,3,0.91,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-13,9.4297,20,5.61,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-13,1.3915,4,3.69,10,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-13,3.949699999999999,10,8.8,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-13,1.7672,3.5,4.266666666666667,6,Kobresia sp4,,Kobresia,Cyperaceae
H,I-13,1.1167,6,1.79,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-13,4.439699999999999,10,3.79,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-13,0.6501,2.5,1.16,10,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-13,2.7325,8.5,0.83,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-13,0.7817,1,1.1400000000000001,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-13,0.4606,5,1.62,10,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-13,0.1943,0.1,1.525,4,Viola biflora var. rockiana,,Viola,Violaceae
H,I-2,0.1942,1.5,2.48,5,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-2,0.1342,1,4.59,10,Allium prattii,,Allium,Amaryllidaceae
H,I-2,0.0057,0.2,0.8,1,Anemone demissa,,Anemone,Ranunculaceae
H,I-2,0.2747,3,0.91,10,Aster asteroides,,Aster,Asteraceae
H,I-2,0.1092,1,1.1400000000000001,5,Astragalus skythropos,,Astragalus,Fabaceae
H,I-2,0.0501,0.8,2.166666666666667,3,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-2,0.9497,2.5,5.9399999999999995,5,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-2,2.054899999999999,3,3.66,10,Festuca forrestii,,Festuca,Poaceae
H,I-2,0.1285,1,1.45,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-2,0.19559999999999977,1,3.525,8,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-2,8.198799999999999,23,5.05,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-2,5.8639,13,3.8499999999999996,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-2,NA,0.1,1.6,1,Pedicularis sp,,Pedicularis,Orobanchaceae
H,I-2,0.2737,4,1.8800000000000001,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-2,1.0133999999999999,8,1.66,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-2,0.0318,0.9,0.8500000000000001,2,Primula amethystina,subsp.argutidens,Primula,Primulaceae
H,I-2,0.9590999999999994,5,0.78,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-2,1.5408,4,3.12,10,Saussurea stella,,Saussurea,Asteraceae
H,I-2,1.0621,5,0.785,20,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-2,0.0847,1.5,0.9,2,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-2,0.3107,2,0.64,10,Viola biflora var. rockiana,,Viola,Violaceae
H,I-3,0.0854,0.4,4.3,1,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-3,0.2541,1.8,3.6399999999999997,10,Allium prattii,,Allium,Amaryllidaceae
H,I-3,0.1746,0.7,1.75,2,Anemone demissa,,Anemone,Ranunculaceae
H,I-3,0.5549,3.8,1.23,10,Aster asteroides,,Aster,Asteraceae
H,I-3,0.4731,1,2.68,5,Astragalus skythropos,,Astragalus,Fabaceae
H,I-3,0.1667,1.5,1.73,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-3,0.4696,1,5.333333333333333,6,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-3,1.1158000000000001,3,4.78,10,Festuca forrestii,,Festuca,Poaceae
H,I-3,0.1242,0.5,1.75,4,Gentiana crassula,,Gentiana,Gentianaceae
H,I-3,0.0097,0.1,7.8,1,Juncus leucomelas,,Juncus,Juncaceae
H,I-3,0.2041,0.8,2.8499999999999996,2,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-3,6.078399999999999,4,3.975,4,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-3,5.7482999999999995,1.8,4,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-3,2.7847999999999997,3.4,4.57,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-3,0.4523,1.2,2.05,2,Ligusticum scapiforme,,Ligusticum,Apiaceae
H,I-3,0.0701,0.3,2.5,1,Pedicularis sp,,Pedicularis,Orobanchaceae
H,I-3,0.3511,2,1.8900000000000001,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
