field,units,is_trait,formal_name,description,notes
id_kth,NA,0,NA,"Unique identification number for the row, inserted by Kenji Hayashi",NA
source,NA,0,NA,Data source (contributor of the data),Distinction with field 'collector' uncertain
collector,NA,0,NA,Primary data collector,Distinction with field 'source' uncertain
other_collectors,NA,0,NA,Other data collectors,NA
date,NA,0,NA,Date of data collection,NA
year,NA,0,NA,Year of data collection,NA
year_2,NA,0,NA,"Year of data collection, as extracted from 'date' entry",NA
month,NA,0,NA,"Month of data collection, as extracted from 'date' entry",NA
day,NA,0,NA,"Day of data collection, as extracted from 'date' entry",NA
site,NA,0,NA,Site of data collection,NA
locality,NA,0,NA,Description of the locality of data collection,NA
country,NA,0,NA,Country of data collection,NA
state_province,NA,0,NA,State or province of data collection,NA
lower_political,NA,0,NA,Lower political division (county) of data collection,NA
habitat,NA,0,NA,Description of site habitat,NA
elev,m,0,NA,Elevation of observation,NA
lat,dd,0,NA,Latitude of observation,NA
long,dd,0,NA,Longtidue of observation,NA
block,NA,0,NA,Block number in which observation was made,NA
transect,NA,0,NA,Transect from Stark et al. (2017) in which observation was made,NA
ibutton,NA,0,NA,iButton from Stark et al. (2017) corresponding to the observation,NA
plot_type,NA,0,NA,Type of plot (collection vs. gentry) in which observation was made,NA
plot_name,NA,0,NA,Name of plot in which observation was made,NA
taxon_std,NA,0,NA,Standardized full taxonomic name,NA
genus_std,NA,0,NA,Standardized genus,NA
species_std,NA,0,NA,Standardized species epithet,NA
sp_var_subsp_std,NA,0,NA,Standardized species epithet + infraspecific rank + var./subsp. contained together for convenience,NA
infraspecific_rank_std,NA,0,NA,Standardized infraspecific rank,NA
var_subsp_std,NA,0,NA,Standardized var. or subsp. name,NA
authority_std,NA,0,NA,Standardized specific authority,NA
family_std,NA,0,NA,Standardized taxonomic family,NA
taxon_fixed,NA,0,NA,"Full taxonomic name, cleaned from field 'taxon'",NA
taxon,NA,0,NA,Full taxonomic name,NA
genus,NA,0,NA,Genus,NA
species,NA,0,NA,Species epithet,NA
infraspecific_rank,NA,0,NA,Infraspecific rank,NA
var_subsp,NA,0,NA,var. or subsp. name,NA
authority,NA,0,NA,Specific authority,NA
family,NA,0,NA,Taxonomic family,NA
morpho,NA,0,NA,Morpho name of species for field use,NA
original_taxa,NA,0,NA,Original entry of taxonomic name,Exactly what is 'original' is unclear
hartman_taxa,NA,0,NA,"Full taxonomic name, standardized to Hartman's taxonomy",Probably refers to Hartman & Nelson (2001) 'A Checklist of the Vascular Plants of Colorado'
hartman_genus,NA,0,NA,"Genus, standardized to Hartman's taxonomy",Probably refers to Hartman & Nelson (2001) 'A Checklist of the Vascular Plants of Colorado'
hartman_species,NA,0,NA,"Species epithet, standardized to Hartman's taxonomy",Probably refers to Hartman & Nelson (2001) 'A Checklist of the Vascular Plants of Colorado'
hartman_family,NA,0,NA,"Taxonomic family, standardized to Hartman's taxonomy",Probably refers to Hartman & Nelson (2001) 'A Checklist of the Vascular Plants of Colorado'
num,NA,0,NA,Observation and/or individual number,Meaning unique to data source
log,NA,0,NA,UNKNOWN,NA
plant,NA,0,NA,Plant number from Stark et al. (2017),NA
no_of_leaves,NA,0,NA,Number of leaves sampled,NA
leaf_num,NA,0,NA,Leaf observation number,Probably for repeated measurements on a single individual
scan_name,NA,0,NA,Name of scanned fresh leaf image file,NA
leaf_area,cm^2,1,leaf area,Fresh leaf area,NA
leaf_area_mm2,mm^2,1,leaf area,"Fresh leaf area, in mm^2",NA
leaf_area_dry,cm^2,1,UNKNOWN,Dry leaf area,NA
real_area,cm^2,1,UNKNOWN,UNKNOWN,NA
wet_mass,g,1,leaf fresh mass,Leaf mass assessed without drying,NA
dry_mass,g,1,leaf dry mass,Leaf mass assessed after drying,NA
dry_mass_mg,mg,1,leaf dry mass,"Leaf mass assessed after drying, in mg",NA
SLA,cm^2 g^-1,1,leaf area per leaf dry mass,Specific Leaf Area; the ratio of the area of a leaf to its dry mass,NA
SLA_log,log10(cm^2 g^-1),1,leaf area per leaf dry mass,log10-transformed Specific Leaf Area; the ratio of the area of a leaf to its dry mass,NA
SLA_avg,cm^2 g^-1,1,leaf area per leaf dry mass,Average Specific Leaf Area; the ratio of the area of a leaf to its dry mass,Unclear an average of what/which entries this is
SLA_m2_kg,m^2 kg^-1,1,leaf area per leaf dry mass,"Specific Leaf Area; the ratio of the area of a leaf to its dry mass, in m^2 kg^-1",NA
associated_SLA,NA,0,NA,UNKNOWN,NA
SLA_method,NA,0,NA,Description of the method of SLA measurement,NA
