season,site,date,year,month,day,time,plot,amb_co2_umol_mol,x7500_amb_temp,measured_amb_temp,avg_pressure,avg_leaf_temp,avg_leaf_temp_before_respiration,avg_leaf_temp_after_respiration,h2o_avg,linear,exp,best_fit,averages,linear_avgs,lin_rsqd,comment
Early,ALMONT,2009-06-08,2009,6,8,NIGHT,1,398.524286,16.8333,13.2,75.56407,12.48,NA,NA,NA,1.83603,10.047560000000001,1.83603,1.5229020200000003,1.5229020200000003,NA,NA
Early,ALMONT,2009-06-08,2009,6,8,NIGHT,2,391.275806,16.5325,15.9,75.57772,11.8,NA,NA,NA,0.9019042,6.03932,0.9019042,NA,NA,NA,NA
Early,ALMONT,2009-06-08,2009,6,8,NIGHT,3,391.099565,16.13598,13.6,75.5775,10.76,NA,NA,NA,1.799392,3.5098539999999998,1.799392,NA,NA,NA,NA
Early,ALMONT,2009-06-08,2009,6,8,NIGHT,4,388.5405,15.72547,14,75.57837,12.36,NA,NA,NA,2.362282,4.165006,2.362282,NA,NA,NA,NA
Early,ALMONT,2009-06-08,2009,6,8,NIGHT,5,390.276429,15.3199,14.2,75.5899,12.4,NA,NA,NA,0.7149019,3.7296860000000001,0.7149019,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,DAY,1,384.959077,15.6504,NA,73.58818,10.24,NA,NA,NA,-9.34733,-4.903181,-9.34733,-5.8134646,-8.140321799999999,NA,NA
Early,CBT,2009-06-15,2009,6,15,DAY,2,390.489545,17.26804,14.5,73.59753,6.72,NA,NA,NA,-15.89165,-3.5153669999999999,-15.89165,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,DAY,3,407.959545,18.74029,12.2,73.59592,5.84,NA,NA,NA,-7.425697,-0.73733519999999997,3.693811,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,DAY,4,386.103939,19.8515,14.8,73.58776,10.16,NA,NA,NA,-5.482525,-4.9677470000000001,-4.967747,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,DAY,5,390.220645,20.80375,12.8,73.58058,11.64,NA,NA,NA,-2.554407,-7.0183590000000002,-2.554407,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,NIGHT,1,440.124545,10.76971,6.4,73.67282,2.52,NA,NA,NA,3.283548,2.5409630000000001,3.283548,8.6371174,6.3652888,NA,NA
Early,CBT,2009-06-15,2009,6,15,NIGHT,2,425.408,10.6778,6.5,73.68132,1.8,NA,NA,NA,6.115175,30.78745,6.115175,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,NIGHT,3,431.285,10.51082,6,73.67673,2.64,NA,NA,NA,6.582604,27.72015,6.582604,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,NIGHT,4,450.497,10.21885,6.2,73.67146,4.4,NA,NA,NA,8.263043,11.69472,11.69472,NA,NA,NA,NA
Early,CBT,2009-06-15,2009,6,15,NIGHT,5,434.301786,9.944842,6.4,73.67537,7.12,NA,NA,NA,7.582074,15.509539999999999,15.50954,NA,NA,NA,NA
Early,ROAD,2009-06-16,2009,6,16,DAY,1,392.126818,22.62,14.2,72.70068,16.96,NA,NA,NA,-9.546879,-12.9185,-12.9185,-10.293444,-8.8723598,NA,NA
Early,ROAD,2009-06-16,2009,6,16,DAY,2,386.527419,21.76585,15.1,72.7299,14.56,NA,NA,NA,-7.763476,-7.491835,-7.763476,NA,NA,NA,NA
Early,ROAD,2009-06-16,2009,6,16,DAY,3,386.353333,21.00125,15,72.76425,16.44,NA,NA,NA,-10.97682,-14.71062,-14.71062,NA,NA,NA,NA
Early,ROAD,2009-06-16,2009,6,16,DAY,4,390.685484,20.19052,15,72.78,14.32,NA,NA,NA,-9.489561,-9.4895610000000001,-9.489561,NA,NA,NA,NA
Early,ROAD,2009-06-16,2009,6,16,DAY,5,391.313636,19.54267,15.1,72.81044,12.68,NA,NA,NA,-6.585063,-9.6854279999999999,-6.585063,3.4351644217557484,NA,NA,NA
Early,ROAD,2009-06-15,2009,6,15,NIGHT,1,442.019286,10.15505,4.6,72.71848,3.04,NA,NA,NA,5.644955,23.676279999999998,5.644955,4.4908888000000005,4.4908888000000005,NA,NA
Early,ROAD,2009-06-15,2009,6,15,NIGHT,2,430.262333,11.20814,5.2,72.76485,2.4,NA,NA,NA,5.025191,38.08493,5.025191,NA,NA,NA,NA
