Date ,tent_type,plot,site,season,par_without_tent,par_with_tent,difference,avg_tent_difference,proportion_light_reduction,,,,,
06.18.2020,New tent?,1,CBT,Peak,988.2,No data,,764.4,,,,,,
06.18.2020,New tent?,2,CBT,Peak,973.2,273,700.2,,0.719482121,,,,,
06.18.2020,New tent?,3,CBT,Peak,638.4,No data,,,,,,,,
06.18.2020,New tent?,4,CBT,Peak,1043,270,773,,0.741131352,,,,,
06.18.2020,New tent?,5,CBT,Peak,1056,236,820,,0.776515152,,,,,
06.24.2020,New tent?,1,Road,Peak,1446,922,524,592.82,0.362378976,,,,,
06.24.2020,New tent?,2,Road,Peak,1452,975.1,476.9,,0.328443526,,,,,
06.24.2020,New tent?,3,Road,Peak,1492,975.1,516.9,,0.346447721,,,,,
06.24.2020,New tent?,4,Road,Peak,1445,976.5,468.5,,0.324221453,,,,,
06.24.2020,New tent?,5,Road,Peak,1392,414.2,977.8,,0.702442529,,,,,
07.03.2020,New tent?,1,Pfeiler,Peak,1219,609.1,609.9,548.354,0.500328138,,,,,
07.03.2020,New tent?,2,Pfeiler,Peak,1543,70.64,1472.36,,0.954219054,,,,,
07.03.2020,New tent?,3,Pfeiler,Peak,441.9,530.19,-88.29,, ,,,,,
07.03.2020,New tent?,4,Pfeiler,Peak,782.3,812.5,-30.2,, ,,,,,
07.03.2020,New tent?,5,Pfeiler,Peak,1797,1019,778,, ,,,,,
07.14.2020,New tent?,1,PBM,Peak,297,No data,#VALUE!,#VALUE!,,,,,,
07.14.2020,New tent?,2,PBM,Peak,190.8,125.1,65.7,,0.344339623,,,,,
07.14.2020,New tent?,3,PBM,Peak,No data,No data,No data,,,,,,,
07.14.2020,New tent?,4,PBM,Peak,702.4,318.5,383.9,,0.54655467,,,,,
07.14.2020,New tent?,5,PBM,Peak,255.1,576.6,-321.5,, ,,,,,
07.30.2020,New tent?,1,Cinnamon,Peak,515.4,No data,,601.1333333,,,,,,
07.30.2020,New tent?,2,Cinnamon,Peak,1250,633.6,616.4,,0.49312,,,,,
07.30.2020,New tent?,3,Cinnamon,Peak,1264,735.2,528.8,,0.41835443,,,,,
07.30.2020,New tent?,4,Cinnamon,Peak,1397,738.8,658.2,,0.47115247,,,,,
07.30.2020,New tent?,5,Cinnamon,Peak,1329,No data,,,,,,,,
06.07.2021,New Flux Tent ,1,almont,peak,1234,748,486,554.6,0.393841167,,,,,
06.07.2021,New Flux Tent ,2,almont,peak,1124,524,600,,0.533807829,,,,,
06.07.2021,New Flux Tent ,3,almont,peak,1382,832,550,,0.397973951,,,,,
06.07.2021,New Flux Tent ,4,almont,peak,1373,816,557,,0.405680991,,,,,
06.07.2021,New Flux Tent ,5,almont,peak,1413,833,580,,0.410474168,,,,,
06.11.2021,New Flux Tent ,1,CBT,early,1123,666.7,456.3,420.42,0.406322351,,,,,
