site,taxon_std,taxon,year,date,plot,abundance,notes
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,1,4,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,1,0,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,2,2,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,3,16,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,4,2,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,5,0,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,2,6,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,2,7,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,3,9,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,4,6,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,5,5,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,1,2,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,1,0,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,2,1,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,3,1,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,4,7,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,5,2,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,1,1,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,2,2,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,1,4,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,3,23,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,4,140,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,5,11,NA
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,1,0,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,2,0,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,3,3,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,4,10,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,5,9,Syn. C. chromosa
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,2,5,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,3,6,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,4,7,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,5,4,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,1,5,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,2,0,NA
