site,taxon_std,taxon,year,cover_date,abundance,percent_cover,notes
Almont,Carex siccata,Carex siccata,2016,2016-06-14T00:00:00Z,178,0,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-14T00:00:00Z,84,5.680473373,NA
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-14T00:00:00Z,50,0.236686391,NA
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-14T00:00:00Z,43,2.130177515,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-14T00:00:00Z,27,19.40828402,NA
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-14T00:00:00Z,26,0.473372781,NA
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-14T00:00:00Z,22,0.118343195,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-14T00:00:00Z,22,3.313609467,NA
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-14T00:00:00Z,22,0,NA
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-14T00:00:00Z,20,0.710059172,NA
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-14T00:00:00Z,11,2.366863905,NA
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-14T00:00:00Z,8,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-14T00:00:00Z,6,0.236686391,NA
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-14T00:00:00Z,6,0,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-14T00:00:00Z,5,0.118343195,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-14T00:00:00Z,4,0.355029586,NA
Almont,Boechera lignifera,Boechera lignifera,2016,NA,3,NA,NA
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-14T00:00:00Z,3,0,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-14T00:00:00Z,3,0.118343195,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-14T00:00:00Z,2,3.905325444,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-14T00:00:00Z,1,1.065088757,NA
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-14T00:00:00Z,1,0,NA
