year,site_clean,season,date,sample,tin_g,wet_g,dry_tot_g,rocks_g,bio_g,dry_soil_g,percent_moisture,pre_burn_g,post_burn_g,loc_g,percent_soc,notas,notas_1,dry_24_g,a,b,c_,d,moisture_percent_2022,loc_2022,soc_2022
2004,road,early,2004-06-10,1,1.261,7.684,7.449,,,6.188,,,,,,EARLY,,,6.423,,,6.188,,,
2004,road,early,2004-06-10,2,1.255,6.543,6.273,,,5.018,,,,,,EARLY,,,5.288,,,5.018,,,
2004,road,early,2004-06-10,3,1.262,6.293,6.106,,,4.844,,,,,,EARLY,,,5.031,,,4.844,,,
2004,road,early,2004-06-10,4,1.254,6.852,6.314,,,5.06,,,,,,EARLY,,,5.598,,,5.06,,,
2004,road,early,2004-06-10,5,1.267,6.776,5.973,,,4.706,,,,,,EARLY,,,5.509,,,4.706,,,
2004,cbt,early,2004-06-14,1,1.256,7.186,6.972,,,5.716,,,,,,EARLY,,,5.93,,,5.716,,,
2004,cbt,early,2004-06-14,2,1.263,8.619,8.318,,,7.055,,,,,,EARLY,,,7.356,,,7.055,,,
2004,cbt,early,2004-06-14,3,1.27,6.074,4.994,,,3.724,,,,,,EARLY,,,4.804,,,3.724,,,
2004,cbt,early,2004-06-14,4,1.279,6.695,6.196,,,4.917,,,,,,EARLY,,,5.416,,,4.917,,,
2004,cbt,early,2004-06-14,5,1.278,6.928,6.449,,,5.171,,,,,,EARLY,,,5.65,,,5.171,,,
2004,pfeiler,early,2004-06-24,1,2.231,7.95,7.392,,,5.161,,,,,,EARLY,,,5.719,,,5.161,,,
2004,pfeiler,early,2004-06-24,2,2.203,8.222,7.841,,,5.638,,,,,,EARLY,,,6.019,,,5.638,,,
2004,pfeiler,early,2004-06-24,3,2.217,7.281,6.905,,,4.688,,,,,,EARLY,,,5.064,,,4.688,,,
2004,pfeiler,early,2004-06-24,4,2.234,7.555,7.232,,,4.998,,,,,,EARLY,,,5.321,,,4.998,,,
2004,pfeiler,early,2004-06-24,5,2.219,7.669,7.393,,,5.174,,,,,,EARLY,,,5.45,,,5.174,,,
2004,pbm,early,2004-06-25,1,2.19,9.24,8.871,,,6.681,,,,,,EARLY,,,7.05,,,6.681,,,
2004,pbm,early,2004-06-25,2,2.199,9.071,8.622,,,6.423,,,,,,EARLY,,,6.872,,,6.423,,,
2004,pbm,early,2004-06-25,3,2.198,9.203,8.897,,,6.699,,,,,,EARLY,,,7.005,,,6.699,,,
2004,pbm,early,2004-06-25,4,2.188,8.013,7.787,,,5.599,,,,,,EARLY,,,5.825,,,5.599,,,
2004,pbm,early,2004-06-25,5,2.176,8.681,7.99,,,5.814,,,,,,EARLY,,,6.505,,,5.814,,,
2004,cbt,late,2004-07-06,1,2.236,8.539,7.923,,,5.687,,,,,,LATE,,,6.303,,,5.687,,,
2004,cbt,late,2004-07-06,2,2.216,8.782,8.089,,,5.873,,,,,,LATE,,,6.566,,,5.873,,,
2004,cbt,late,2004-07-06,3,2.222,8.324,6.921,,,4.699,,,,,,LATE,,,6.102,,,4.699,,,
2004,cbt,late,2004-07-06,4,2.242,9.82,8.77,,,6.528,,,,,,LATE,,,7.578,,,6.528,,,
2004,cbt,late,2004-07-06,5,2.225,8.684,7.531,,,5.306,,,,,,LATE,,,6.459,,,5.306,,,
2004,road,late,2004-07-09,1,2.216,7.884,7.662,,,5.446,,,,,,LATE,,,5.668,,,5.446,,,
2004,road,late,2004-07-09,2,2.21,9.176,8.654,,,6.444,,,,,,LATE,,,6.966,,,6.444,,,
2004,road,late,2004-07-09,3,2.226,7.544,7.207,,,4.981,,,,,,LATE,,,5.318,,,4.981,,,
2004,road,late,2004-07-09,4,2.207,8.736,7.751,,,5.544,,,,,,LATE,,,6.529,,,5.544,,,
2004,road,late,2004-07-09,5,2.193,8.515,7.523,,,5.33,,,,,,LATE,,,6.322,,,5.33,,,
2004,pfeiler,late,2004-07-14,1,1.262,7.527,6.998,,,5.736,,,,,,LATE,,,6.265,,,5.736,,,
2004,pfeiler,late,2004-07-14,2,1.264,8.185,7.871,,,6.607,,,,,,LATE,,,6.921,,,6.607,,,
2004,pfeiler,late,2004-07-14,3,1.267,6.87,6.553,,,5.286,,,,,,LATE,,,5.603,,,5.286,,,
2004,pfeiler,late,2004-07-14,4,1.275,7.027,6.826,,,5.551,,,,,,LATE,,,5.752,,,5.551,,,
2004,pfeiler,late,2004-07-14,5,1.262,8.639,8.257,,,6.995,,,,,,LATE,,,7.377,,,6.995,,,
2004,pbm,late,2004-07-15,1,1.258,7.43,7.088,,,5.83,,,,,,LATE,,,6.172,,,5.83,,,
2004,pbm,late,2004-07-15,2,1.271,7.662,7.198,,,5.927,,,,,,LATE,,,6.391,,,5.927,,,
2004,pbm,late,2004-07-15,3,1.265,7.913,7.246,,,5.981,,,,,,LATE,,,6.648,,,5.981,,,
2004,pbm,late,2004-07-15,4,1.264,9.278,8.842,,,7.578,,,,,,LATE,,,8.014,,,7.578,,,
2004,pbm,late,2004-07-15,5,1.263,7.949,7.549,,,6.286,,,,,,LATE,,,6.686,,,6.286,,,
2005,cbt,,2005-06-23,1,1.699,7.269,6.759,,,,0.075454949,,,,,,,,5.57,,,,,,
2005,cbt,,2005-06-23,2,1.701,10.779,10.117,,,,0.065434417,,,,,,,,9.078,,,,,,
2005,cbt,,2005-06-23,3,1.711,7.093,6.051,,,,0.172202942,,,,,,,,5.382,,,,,,
2005,cbt,,2005-06-23,4,1.703,8.072,7.438,,,,0.085237967,,,,,,,,6.369,,,,,,
2005,cbt,,2005-06-23,5,1.707,7.163,7.119,,,,0.006180643,,,,,,,,5.456,,,,,,
2005,road,,2005-06-29,1,1.72,7.859,7.509,,,,0.046610734,,,,,,,,6.139,,,,,,
2005,road,,2005-06-29,2,1.721,8.822,8.38,,,,0.05274463,,,,,,,,7.101,,,,,,
2005,road,,2005-06-29,3,1.724,8.713,8.013,,,,0.087358043,,,,,,,,6.989,,,,,,
