year,site,date,plot,h1_cm,h2_cm,h3_cm,h4_cm,center_cm,mean,season,notas
2006,ALMONT,2006-06-08,RP1,5,25,13,4,28,15,,
2006,ALMONT,2006-06-08,RP2,23,7,10,15,25,16,,
2006,ALMONT,2006-06-08,RP3,15,10,26,6,58,23,,
2006,ALMONT,2006-06-08,RP4,30,10,10,17,45,22.4,,
2006,ALMONT,2006-06-08,RP5,5,0,0,12,45,12.4,,
2006,ALMONT,2006-06-28,1,21,32,18,18,27,23.2,,
2006,ALMONT,2006-06-28,2,23,24,23,15,8,18.6,,
2006,ALMONT,2006-06-28,3,14,21,45,5,27,22.4,,
2006,ALMONT,2006-06-28,4,17,25,23,16,16,19.4,,
2006,ALMONT,2006-06-28,5,21,8,18,8,0,11,,
2006,CBT,2006-06-09,1,30,35,55,43,46,41.8,,
2006,CBT,2006-06-09,2,13,20,25,35,57,30,,
2006,CBT,2006-06-09,3,25,30,20,18,36,25.8,,
2006,CBT,2006-06-09,4,35,43,38,31,40,37.4,,
2006,CBT,2006-06-09,5,11,16,24,19,16,17.2,,
2006,CBT,2006-06-23,RP1,47,50,55,45,51,49.6,,
2006,CBT,2006-06-23,RP2,30,10,20,10,45,23,,
2006,CBT,2006-06-23,RP3,10,30,20,20,30,22,,
2006,CBT,2006-06-23,RP4,15,5,30,25,25,20,,
2006,CBT,2006-06-23,RP5,5,10,20,10,10,11,,
2006,CBT,2006-07-07,1,44,53,42,66,65,54,,
2006,CBT,2006-07-07,2,16,70,31,70,45,46.4,,
2006,CBT,2006-07-07,3,17,23,15,27,21,20.6,,
2006,CBT,2006-07-07,4,15,30,15,20,43,24.6,,
2006,CBT,2006-07-07,5,15,20,15,15,25,18,,
2006,CBT,2006-07-21,1,43,51,37,48,73,50.4,,
2006,CBT,2006-07-21,2,32,45,34,51,68,46,,
2006,CBT,2006-07-21,3,28,30,23,34,37,30.4,,
2006,CBT,2006-07-21,4,35,47,17,13,50,32.4,,
2006,CBT,2006-07-21,5,20,41,30,40,47,35.6,,
2006,ROAD,2006-06-14,RP1,10,10,25,10,30,17,,
2006,ROAD,2006-06-14,RP2,43,40,25,25,46,35.8,,
2006,ROAD,2006-06-14,RP3,35,15,22,31,19,24.4,,
2006,ROAD,2006-06-14,RP4,40,30,35,25,25,31,,
2006,ROAD,2006-06-14,RP5,60,50,50,32,30,44.4,,
2006,ROAD,2006-07-05,1,31,35,38,38,45,37.4,,
2006,ROAD,2006-07-05,2,45,25,33,50,41,38.8,,
2006,ROAD,2006-07-05,3,20,10,35,30,60,31,,
2006,ROAD,2006-07-05,4,20,25,25,30,40,28,,
2006,ROAD,2006-07-05,5,18,20,52,25,100,43,,
2006,PFEILER,2006-06-21,RP1,45,20,40,60,55,44,,
2006,PFEILER,2006-06-21,RP2,20,34,21,20,23,23.6,,
2006,PFEILER,2006-06-21,RP3,45,35,40,45,45,42,,
2006,PFEILER,2006-06-21,RP4,15,10,20,20,50,23,,
2006,PFEILER,2006-06-21,RP5,10,15,25,25,20,19,,
2006,PFEILER,2006-07-11,1,43,47,40,45,75,50,,
2006,PFEILER,2006-07-11,2,48,35,35,62,45,45,,
2006,PFEILER,2006-07-11,3,45,55,110,45,90,69,,
2006,PFEILER,2006-07-11,4,80,53,85,35,70,64.6,,
2006,PFEILER,2006-07-11,5,25,28,31,35,35,30.8,,
2006,PBM,2006-06-15,RP1,20,50,25,20,20,27,,
2006,PBM,2006-06-15,RP2,10,25,45,40,35,31,,
2006,PBM,2006-06-15,RP3,37,55,35,25,35,37.4,,
2006,PBM,2006-06-15,RP4,12,10,35,32,10,19.8,,
2006,PBM,2006-06-15,RP5,10,10,45,20,40,25,,
2006,PBM,2006-06-30,1,27,48,60,80,93,61.6,,
2006,PBM,2006-06-30,2,65,70,66,73,79,70.6,,
2006,PBM,2006-06-30,3,75,69,55,32,84,63,,
2006,PBM,2006-06-30,4,30,25,70,78,27,46,,
2006,PBM,2006-06-30,5,97,40,100,84,95,83.2,,
2006,PBM,2006-07-17,RP1,48,100,100,35,68,70.2,,
2006,PBM,2006-07-17,RP2,100,100,98,100,95,98.6,,
2006,PBM,2006-07-17,RP3,72,20,7,36,60,39,,
2006,PBM,2006-07-17,RP4,5,10,5,100,17,27.4,,
2006,PBM,2006-07-17,RP5,110,95,105,80,35,85,,
2006,PBM,2006-08-01,1,17,64,45,94,100,64,,
2006,PBM,2006-08-01,2,65,70,100,85,100,84,,
2006,PBM,2006-08-01,3,48,67,70,29,80,58.8,,
2006,PBM,2006-08-01,4,130,100,20,25,25,60,,
2006,PBM,2006-08-01,5,140,150,200,90,140,144,,
2007,ALMONT,2007-06-10,1,18,24,8,8,18,15.2,,
2007,ALMONT,2007-06-11,2,6,16,16,11,36,17,,
2007,ALMONT,2007-06-12,3,12,12,7,15,23,13.8,,
2007,ALMONT,2007-06-13,4,33,10,20,15,43,24.2,,
2007,ALMONT,2007-06-14,5,12,7,8,10,26,12.6,,
2007,CBT,2007-06-14,1,33,31,29,0,41,26.8,,
2007,CBT,2007-06-14,2,14,31,41,43,31,32,,
2007,CBT,2007-06-14,3,15,20,29,10.5,30,20.9,,
2007,CBT,2007-06-14,4,12,11,13,8,20,12.8,,
2007,CBT,2007-06-14,5,11,17,9,33,22,18.4,,
2007,ROAD,2007-06-18,1,12,31,20,10,34,21.4,,
2007,ROAD,2007-06-18,2,23,40,33,23,40,31.8,,
2007,ROAD,2007-06-18,3,7,12,23,34,30,21.2,,
2007,ROAD,2007-06-18,4,39,12,41,17,31,28,,
2007,ROAD,2007-06-18,5,8,19,14,7,29,15.4,,
2008,ALMONT,2008-06-11,1,18,14,37,14,15,19.6,,
2008,ALMONT,2008-06-11,2,5,6,15,14,7,9.4,,
2008,ALMONT,2008-06-11,3,11,19,39,9,18,19.2,,
2008,ALMONT,2008-06-11,4,12,18,27,25,36,23.6,,
2008,ALMONT,2008-06-11,5,20,41,25,22,27,27,,
2008,ROAD,2008-06-24,1C,27,33,31,20,19,26,,
2008,ROAD,2008-06-24,1W,22,19,28,28,18,23,,
2008,ROAD,2008-06-24,2C,29,15,26,14,20,20.8,,
2008,ROAD,2008-06-24,2W,17,16,26,13,19,18.2,,
2008,ROAD,2008-06-24,3C,40,42,39,27,31,35.8,,
2008,ROAD,2008-06-24,3W,54,26,25,29,34,33.6,,
2008,ROAD,2008-06-24,4C,17,23,22,26,13,20.2,,
2008,ROAD,2008-06-24,4W,27,16,16,12,21,18.4,,
2008,ROAD,2008-06-24,5C,21,24,41,31,36,30.6,,
2008,ROAD,2008-06-24,5W,21,30,26,24,10,22.2,,
2008,CBT,2008-06-16,1,25,22,14,18,9,17.6,,
2008,CBT,2008-06-16,2,32,46,24,29,29,32,,
2008,CBT,2008-06-16,3,48,53,44,47,47,47.8,,
2008,CBT,2008-06-16,4,17,14,14,20,21,17.2,,
2008,CBT,2008-06-16,5,14,15,10,11,17,13.4,,
2008,ROAD,2008-06-24,3C,40,42,39,27,31,35.8,,
2008,ROAD,2008-06-24,3W,37,26,25,29,34,30.2,,
2008,ROAD,2008-06-24,4W,21,27,16,16,12,18.4,,
2008,PFEILER,2008-06-30,1C,68,71,56,57,68,64,,
2008,PFEILER,2008-06-30,1W,64,60,61,58,62,61,,
2008,PFEILER,2008-06-30,2C,45,27,39,47,44,40.4,,
2008,PFEILER,2008-06-30,2W,60,43,33,58,53,49.4,,
2008,PFEILER,2008-06-30,3C,42,29,41,20,42,34.8,,
2008,PFEILER,2008-06-30,3W,50,26,25,36,46,36.6,,
2008,PFEILER,2008-06-30,4C,18,20,39,37,26,28,,
2008,PFEILER,2008-06-30,4W,23,21,17,26,23,22,,
2008,PFEILER,2008-06-30,5C,25,24,15,17,27,21.6,,
2008,PFEILER,2008-06-30,5W,25,37,18,18,15,22.6,,
2008,ALMONT,2008-07-08,1,62,29,19,56,46,42.4,,
2008,ALMONT,2008-07-08,2,7,7,14,18,26,14.4,,
2008,ALMONT,2008-07-08,3,30,13,20,16,21,20,,
2008,ALMONT,2008-07-08,4,38,25,22,29,30,28.8,,
2008,ALMONT,2008-07-08,5,54,52,37,29,25,39.4,,
2008,PFEILER,2008-07-16,1C,70,60,74,89,87,76,,
2008,PFEILER,2008-07-16,1W,84,83,87,84,76,82.8,,
2008,PFEILER,2008-07-16,2C,91,46,59,62,66,64.8,,
2008,PFEILER,2008-07-16,2W,70,51,72,68,68,65.8,,
2008,PFEILER,2008-07-16,3C,42,37,32,25,44,36,,
2008,PFEILER,2008-07-16,3W,79,42,47,23,61,50.4,,
2008,PFEILER,2008-07-16,4C,28,30,33,35,34,32,,
2008,PFEILER,2008-07-16,4W,28,39,61,49,30,41.4,,
2008,PFEILER,2008-07-16,5C,20,25,33,34,35,29.4,,
2008,PFEILER,2008-07-16,5W,26,22,15,24,29,23.2,,
2008,PBM,2008-07-18,1C,115,105,115,80,80,99,,
