ID,date,gradient,siteID,elevation_m_asl,blockID,turfID,warming,grazing,Nlevel,Namount_kg_ha_y,individual_nr,species,trait,value,origSiteID,destSiteID,comment,problem,flag
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,plant_height_cm,22.5,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,wet_mass_g,0.0222,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,dry_mass_g,0.0135,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,leaf_area_cm2,2.092,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,leaf_thickness_mm,0.17566666666666667,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,ldmc,0.6081081081081081,NA,NA,NA,NA,NA
BQI0342,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Agrostis capillaris,sla_cm2_g,154.96296296296296,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,plant_height_cm,24,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,wet_mass_g,0.0131,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,dry_mass_g,0.0032333333333333333,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,leaf_area_cm2,1.1946666666666668,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,leaf_thickness_mm,0.2773333333333333,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,ldmc,0.24681933842239184,NA,NA,NA,NA,NA
ASI5809,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Avenella flexuosa,sla_cm2_g,369.4845360824743,NA,NA,NA,NA,NA
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,plant_height_cm,3,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,wet_mass_g,0.0763,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,dry_mass_g,0.0164,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,leaf_area_cm2,5.663,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,leaf_thickness_mm,0.18333333333333332,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,ldmc,0.21494102228047182,NA,NA,corrected invisible area,petiole missing,area_mass < expected
APL1495,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,2,Viola palustris,sla_cm2_g,345.3048780487805,NA,NA,corrected invisible area,petiole missing,area_mass < expected
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,plant_height_cm,18,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,wet_mass_g,0.019133333333333332,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,dry_mass_g,0.006166666666666667,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,leaf_area_cm2,1.2786666666666666,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,leaf_thickness_mm,0.40299999999999997,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,ldmc,0.32229965156794427,NA,NA,NA,NA,NA
BLF6956,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Avenella flexuosa,sla_cm2_g,207.35135135135135,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,plant_height_cm,6.5,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,wet_mass_g,0.0243,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,dry_mass_g,0.0081,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,leaf_area_cm2,1.298,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,leaf_thickness_mm,0.217,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,ldmc,0.3333333333333333,NA,NA,NA,NA,NA
BQC6867,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,5,Veronica officinalis,sla_cm2_g,160.24691358024694,NA,NA,NA,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,plant_height_cm,4,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,wet_mass_g,0.0349,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,dry_mass_g,0.0114,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,leaf_area_cm2,2.338,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,leaf_thickness_mm,0.17833333333333334,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,ldmc,0.32664756446991405,NA,NA,removed foreign object,NA,NA
BEW4181,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,3,Viola riviniana,sla_cm2_g,205.08771929824562,NA,NA,removed foreign object,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,plant_height_cm,5.9,NA,NA,NA,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,wet_mass_g,0.059,NA,NA,NA,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,dry_mass_g,0.0152,NA,NA,NA,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,leaf_area_cm2,3.272,NA,NA,NA,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,leaf_thickness_mm,0.17266666666666666,NA,NA,NA,NA,NA
CRG8767,2022-07-24,gradient,Hogsete,700,3,NA,A,C,0,0,1,Viola riviniana,ldmc,0.2576271186440678,NA,NA,NA,NA,NA
