Date,Site,Treatment,Plot,Flux_type,CO2_start,CO2_finish,Veg_temp_1,Veg_temp_2,Veg_temp_3,Veg_temp_4,Veg_temp_5,Soil_tem_1,Soil_tem_2,PAR_1,PAR_2,PAR_3,PAR_4,PAR_5,PAR_6,PAR_7,Moist_1,Moist_2,Moist_3,Moist_4,Moist_5,Weather,Time,Amb_tem_C,Obs,
4-Apr-19,ACJ,B,1,p,492,488,8.7,9.1,10.1,8.6,10,13.3,13.1,1684,1650,2370,2900,1500,,,,,,,,,,,,
4-Apr-19,ACJ,B,1,r,487,497,13,12.1,13,12.5,11.7,16.8,13.1,,,,,,,,100,100,100,100,100,,,13.7,,
4-Apr-19,ACJ,B,2,p,492,488,10.6,11.3,11.6,10.1,8.9,12.7,,1038,1124,1200,,,,,,,,,,,,,,
4-Apr-19,ACJ,B,2,r,500,,,,,,,,,,,,,,,,100,100,100,100,100,,,13.4,,
4-Apr-19,ACJ,B,3,p,477,,,,,,,,,1880,2593,1750,,,,,,,,,,,,,,
4-Apr-19,ACJ,B,3,r,493,,12.9,13.1,18.5,10.8,16.2,12.9,,,,,,,,,100,100,100,100,100,,,12.9,,
4-Apr-19,ACJ,B,4,p,483,,,,,,,,,2577,1646,1500,,,,,,,,,,,,,,
4-Apr-19,ACJ,B,4,r,497,,14.5,13.4,13.2,11.6,12.5,14.1,,,,,,,,,100,100,100,100,100,,,12.6,,
4-Apr-19,ACJ,B,5,p,490,,,,,,,,,1337,1421,1225,,,,,,,,,,,,,,
4-Apr-19,ACJ,B,5,r,497,,12.3,11.5,13.1,11.6,13.8,14.3,,,,,,,,,100,100,100,100,100,,,12.7,,
5-Apr-19,QUE,B,1,p,469.1,453.9,20.3,18.9,18.9,16.6,13.5,12.2,12,5365,5879,5506,5064,,,,,,,,,,11:25,16.2,,
5-Apr-19,QUE,B,1,r,467,461.5,17.5,14.9,18.5,17.2,16.1,11.8,12,16,8,1,,,,,53.5,65.8,63,63.2,,sunny,,,,
5-Apr-19,QUE,B,2,p,470,460,17.7,15.1,18.8,15,19.4,10.2,10.5,2719,2622,3757,5612,6510,,,74.1,75.6,,,,,,18.8,,
5-Apr-19,QUE,B,2,r,471,471.2,12.3,12,15.2,10,9.2,10,10,22,14,16,14,13,14,,76,85,,,,,,,,
5-Apr-19,QUE,B,3,p,477.5,464.4,12.4,8,7.3,8,9.2,13,12.5,2419,4292,4456,3061,,,,80.6,77.3,,,,"sunny, strong wind",,17.9,,
5-Apr-19,QUE,B,3,r,470,468.5,13.2,14.2,13.6,15.6,15.4,11.1,11.5,13,11,9,,,,,,,,,,,,,,
5-Apr-19,QUE,B,4,p,473.4,469.7,18.4,15.4,15.8,23.7,18.8,12.7,13,1859,2565,2101,1861,,,,,,,,,,,,,
5-Apr-19,QUE,B,4,r,465.4,467.4,17.7,13.9,20.7,15.3,18.2,12.4,13.3,5,4,4,5,,,,79.2,76.1,82.5,81,,,,12.6,,
5-Apr-19,QUE,B,5,p,471.6,454.2,18.4,15.4,15.8,23.7,18.8,12.7,13,5067,5763,6100,4458,,,,,,,,,,,,,
5-Apr-19,QUE,B,5,r,465.4,467.4,17.7,13.9,20.7,15.3,18.2,12.4,13.3,5,4,4,5,,,,73.9,79.1,79.2,76.1,,,,14.2,,
7-Apr-19,WAY,B,1,p,533.3,524.9,15.2,12.1,14.9,15.1,14.9,13.2,13.4,1286,1310,1331,1313,1526,,,,,,,,,,13.7,,
7-Apr-19,WAY,B,1,r,531.8,541.8,14.8,13.2,13.8,14,13.9,13.3,13.8,2,1,2,4,,,,100,100,100,100,,,,,,
