,Code,nee_lm,Site,Plot,Treatment,Flux,PAR,Veg_Temp,Soil_Temp
1,ACJ_1_B,0.07669028,ACJ,1,B,P,756,11.58,10.8
2,ACJ_1_B,-3.74993247,ACJ,1,B,R,4.7,14,10.8
3,ACJ_1_C,-1.175688668,ACJ,1,C,P,600.0666667,10.9,10.9
4,ACJ_1_C,-3.803921955,ACJ,1,C,R,5.583333333,11.92,10.9
5,ACJ_2_B,-1.194159562,ACJ,2,B,P,732.7333333,13.46,10.55
6,ACJ_2_B,-3.702005694,ACJ,2,B,R,5.575,14.3,10.55
7,ACJ_2_C,4.298088991,ACJ,2,C,P,808.16,11.24,10.8
8,ACJ_2_C,-5.601553082,ACJ,2,C,R,4.275,12.3,10.8
9,ACJ_3_B,4.576314476,ACJ,3,B,P,773.5,12.42,10.25
10,ACJ_3_B,-2.704400736,ACJ,3,B,R,13.4,11.02,10.25
11,ACJ_3_C,-1.224437374,ACJ,3,C,P,762.3,10.7,10.4
12,ACJ_3_C,-4.686888872,ACJ,3,C,R,8.3425,14.4,10.4
13,ACJ_4_B,2.645972227,ACJ,4,B,P,523.9,5.8,10.4
14,ACJ_4_B,-1.75073158,ACJ,4,B,R,8.333333333,NA,10.4
15,ACJ_4_C,-4.796416538,ACJ,4,C,P,173.5,9.92,9.8
16,ACJ_4_C,-4.702364405,ACJ,4,C,R,3,11.1,9.8
17,ACJ_5_B,1.45907816,ACJ,5,B,P,461.775,8.26,10.55
18,ACJ_5_B,-2.89868071,ACJ,5,B,R,3.266666667,6.58,10.55
19,ACJ_5_C,-4.485728566,ACJ,5,C,P,250.475,12,10.95
20,ACJ_5_C,-3.873107126,ACJ,5,C,R,2.559333333,8.84,10.95
21,PIL_1_B,-3.597550537,PIL,1,B,P,77.16666667,5.76,11.35
22,PIL_1_B,-2.884208511,PIL,1,B,R,2.125,6.5,11.35
23,PIL_1_C,-3.086916018,PIL,1,C,P,NA,NA,10
24,PIL_1_C,-3.086916018,PIL,1,C,R,0.975,8.26,10
25,PIL_1_T,-2.710771208,PIL,1,T,P,162.6666667,7.16,11.75
26,PIL_1_T,-2.937246556,PIL,1,T,R,2.766666667,7.7,11.75
27,PIL_2_B,-0.775339643,PIL,2,B,P,405.6,8.44,10.7
28,PIL_2_B,-3.810261679,PIL,2,B,R,3.733333333,8.06,10.7
29,PIL_2_C,-2.450700676,PIL,2,C,P,161.675,7.92,9.8
30,PIL_2_C,-2.908310942,PIL,2,C,R,0.72,8.04,9.8
31,PIL_2_T,5.111288815,PIL,2,T,P,78.75,7.16,13.35
32,PIL_2_T,-2.645454194,PIL,2,T,R,1.025,7.72,13.35
33,PIL_3_B,-0.315532935,PIL,3,B,P,316.3333333,8.58,11.1
34,PIL_3_B,-2.153267746,PIL,3,B,R,8.7,9.2,11.1
35,PIL_3_C,-4.870006264,PIL,3,C,P,101.1,9.66,10.05
36,PIL_3_C,-2.087584429,PIL,3,C,R,1.4,9.24,10.05
37,PIL_3_T,3.531043345,PIL,3,T,P,628,5.9,9.3
38,PIL_3_T,-0.775117152,PIL,3,T,R,6.14,7.64,9.3
39,PIL_4_B,-1.260165751,PIL,4,B,P,155.6666667,8.78,11
40,PIL_4_B,-2.924511171,PIL,4,B,R,4.15,7.54,11
41,PIL_4_C,-0.812779514,PIL,4,C,P,225.5333333,9.04,10.1
42,PIL_4_C,-2.16452583,PIL,4,C,R,2.825,9.1,10.1
43,PIL_5_B,0.147044103,PIL,5,B,P,318,15.02,10.55
44,PIL_5_B,-2.731624905,PIL,5,B,R,4.433333333,7.56,10.55
45,PIL_5_C,0.108864594,PIL,5,C,P,233.825,6.14,NA
46,PIL_5_C,-1.567010053,PIL,5,C,R,1.530666667,NA,NA
47,QUE_1_B,3.66008327,QUE,1,B,P,336.5,10.6,10.3
48,QUE_1_B,NA,QUE,1,B,R,3.2,11,10.3
49,QUE_2_B,-0.555468065,QUE,2,B,P,382.14,8.2,9.85
50,QUE_2_B,-2.948496534,QUE,2,B,R,4.48,7.88,9.85
51,QUE_3_B,-0.394026454,QUE,3,B,P,394.7,10.52,9.95
52,QUE_3_B,-2.652372769,QUE,3,B,R,4.633333333,9.18,9.95
53,QUE_4_B,2.340516786,QUE,4,B,P,618.725,10.7,9.9
54,QUE_4_B,-2.180133181,QUE,4,B,R,8.45,9.44,9.9
55,QUE_5_B,2.196000481,QUE,5,B,P,588.8,10.175,9.25
56,QUE_5_B,-2.057373767,QUE,5,B,R,6.9,7.86,9.25
57,TRE_1_C,0.895993684,TRE,1,C,P,493.2,8.58,9.355
58,TRE_1_C,-2.268457601,TRE,1,C,R,5.266666667,9.76,9.355
59,TRE_2_C,0.135538579,TRE,2,C,P,346.25,9.775,9.35
60,TRE_2_C,-3.120860762,TRE,2,C,R,3.4,9.02,9.35
61,TRE_3_C,1.812699909,TRE,3,C,P,380.5,9.75,9.75
62,TRE_3_C,-2.936794304,TRE,3,C,R,3.433333333,10.58,9.75
63,TRE_4_C,0.481888782,TRE,4,C,P,244.762,9.14,9.45
64,TRE_4_C,-1.406196576,TRE,4,C,R,3.066666667,8.7,9.45
65,TRE_5_C,0.83140153,TRE,5,C,P,235.6666667,8.88,9.85
66,TRE_5_C,-1.438434396,TRE,5,C,R,3.55,9.24,9.85
67,WAY_1_B,0.717592061,WAY,1,B,P,733.3333333,15.16,13.3
68,WAY_1_B,-4.209569812,WAY,1,B,R,8.6,17.32,13.3
69,WAY_1_C,-3.998927239,WAY,1,C,P,409,14.5,16.2
70,WAY_1_C,-5.433535673,WAY,1,C,R,4.625,15.56,16.2
71,WAY_2_B,0.799518511,WAY,2,B,P,713.2857143,13.4,12.8
72,WAY_2_B,-3.601905964,WAY,2,B,R,12.66,20.78,12.8
73,WAY_2_C,3.400479691,WAY,2,C,P,882.5,21.58,17.15
74,WAY_2_C,-1.605895189,WAY,2,C,R,12.36,19.82,17.15
75,WAY_3_B,0.930584438,WAY,3,B,P,1094.8,17.8,12.3
76,WAY_3_B,-4.443229813,WAY,3,B,R,11.53333333,19.02,12.3
77,WAY_3_C,-8.895770693,WAY,3,C,P,633,16.72,14.4
78,WAY_3_C,-12.49878788,WAY,3,C,R,4.733333333,15.24,14.4
79,WAY_4_B,1.821049763,WAY,4,B,P,1121.6,19.28,13.25
80,WAY_4_B,-3.017223777,WAY,4,B,R,9.825,15.74,13.25
81,WAY_4_C,0.937785234,WAY,4,C,P,804.6666667,19.54,17.4
82,WAY_4_C,-2.32572191,WAY,4,C,R,7.4,16.04,17.4
83,WAY_5_B,1.13117769,WAY,5,B,P,1227.2,17.62,14.95
84,WAY_5_B,-3.857935069,WAY,5,B,R,8.8,17.34,14.95
85,WAY_5_C,-2.100462575,WAY,5,C,P,373.3333333,13.26,15.3
86,WAY_5_C,-4.051102284,WAY,5,C,R,5.35,13.82,15.3
