longitude,latitude,aspect,elevation,site,plot,unique_site
28.8830800261349,-28.6610200256109,east,2000,2000east,1,1_east
28.8830807595514,-28.6609880276956,east,2000,2000east,2,1_east
28.8830814929679,-28.6609560297802,east,2000,2000east,3,1_east
28.8830822263844,-28.6609240318649,east,2000,2000east,4,1_east
28.883082959801,-28.6608920339495,east,2000,2000east,5,1_east
28.8826399762183,-28.662471016869,west,2000,2000west,1,1_west
28.882672728505,-28.6624527652748,west,2000,2000west,2,1_west
28.8827054807916,-28.6624345136806,west,2000,2000west,3,1_west
28.8827382330783,-28.6624162620865,west,2000,2000west,4,1_west
28.8827709853649,-28.6623980104923,west,2000,2000west,5,1_west
28.8951290119439,-28.6799270007759,east,2200,2200east,1,2_east
28.8951232493855,-28.6798957572319,east,2200,2200east,2,2_east
28.8951174868271,-28.6798645136878,east,2200,2200east,3,2_east
28.8951117242686,-28.6798332701437,east,2200,2200east,4,2_east
28.8951059617102,-28.6798020265996,east,2200,2200east,5,2_east
28.8938739895821,-28.6803849879652,west,2200,2200west,1,2_west
28.8938779919408,-28.6803519842215,west,2200,2200west,2,2_west
28.8938819942996,-28.6803189804778,west,2200,2200west,3,2_west
28.8938859966584,-28.680285976734,west,2200,2200west,4,2_west
28.8938899990171,-28.6802529729903,west,2200,2200west,5,2_west
28.896831041202,-28.7191719934344,east,2400,2400east,1,3_east
28.8968177768402,-28.7191434949636,east,2400,2400east,2,3_east
28.8968045124784,-28.7191149964929,east,2400,2400east,3,3_east
28.8967912481166,-28.7190864980221,east,2400,2400east,4,3_east
28.8967779837549,-28.7190579995513,east,2400,2400east,5,3_east
28.8956800382584,-28.7187730148435,west,2400,2400west,1,3_west
28.895665789023,-28.7187380203977,west,2400,2400west,2,3_west
28.8956515397877,-28.718703025952,west,2400,2400west,3,3_west
28.8956372905523,-28.7186680315062,west,2400,2400west,4,3_west
28.8956230413169,-28.7186330370605,west,2400,2400west,5,3_west
28.8926219847053,-28.7283769994974,east,2600,2600east,1,4_east
28.8926459988579,-28.7283502402715,east,2600,2600east,2,4_east
28.8926700130105,-28.7283234810457,east,2600,2600east,3,4_east
28.8926940271631,-28.7282967218198,east,2600,2600east,4,4_east
28.8927180413157,-28.7282699625939,east,2600,2600east,5,4_east
28.8924990221858,-28.7282849662006,west,2600,2600west,1,4_west
28.8924827612937,-28.7282544770278,west,2600,2600west,2,4_west
28.8924665004015,-28.728223987855,west,2600,2600west,3,4_west
28.8924502395093,-28.7281934986822,west,2600,2600west,4,4_west
28.8924339786172,-28.7281630095094,west,2600,2600west,5,4_west
28.8943739701062,-28.7378170341253,east,2800,2800east,1,5_east
28.8943754788488,-28.7377855181694,east,2800,2800east,2,5_east
28.8943769875914,-28.7377540022135,east,2800,2800east,3,5_east
28.894378496334,-28.7377224862576,east,2800,2800east,4,5_east
28.8943800050765,-28.7376909703016,east,2800,2800east,5,5_east
28.8926250021905,-28.7377170380205,west,2800,2800west,1,5_west
28.8925987458788,-28.7377292755991,west,2800,2800west,2,5_west
28.8925724895671,-28.7377415131778,west,2800,2800west,3,5_west
28.8925462332554,-28.7377537507564,west,2800,2800west,4,5_west
28.8925199769437,-28.737765988335,west,2800,2800west,5,5_west
