day.night,day (NOT DATE!!!),time,siteID,Attempt,elevation_m_asl,aspect,plotID,A_temp,A_CO2,IR_temp_1,IR_temp_2,IR_temp_3,IR_temp_4,IR_temp_5,PAR_Amb,PAR_Photo,PAR_Res,Start_CO2_Photo,Start_CO2_Res,Stop_CO2_Photo,Stop_CO2_Res,Start_CO2_Night,Stop_CO2_Night,Remarks,Note taker/laptop,Site_redo
day,3,12:47,1,1,2000,west,5,,420,40.7,46.7,47.9,43.8,47.5,2273,993.2,6.3,410,420,416,434,,,"Windy (A, P, R); IRt on soil",HRD,no
day,3,12:59,1,1,2000,west,4,,415,53.1,52.6,59.6,57.6,36.7,2302,1007,6.3,411,414,413,430,,,"Windy (A, P, R); IRt on soil",HRD,no
day,3,13:13,1,1,2000,west,3,,421,43.2,45.4,39.4,38.4,38.6,2228,970,6.3,415,416,419,436,,,"Windy (A, P, R)",HRD,no
day,3,13:23,1,1,2000,west,2,,425,53.0,45.7,39.6,42.5,39.1,2208,1123,6.8,415,421,416,428,,,"Windy (A, P, R)",HRD,no
day,3,13:34,1,1,2000,west,1,,420,40.7,44.3,33.4,45.2,39.6,2305,979.5,5.7,415,416,416,430,,,"Windy (A, P, R); LICOR quit during resp",HRD,no
day,3,14:10,1,1,2000,east,1,,413,37.5,36.3,34.4,31.5,32.6,1928,838.1,5.1,425,426,417,455,,,"Breezy A; Calm P, R",HRD,no
day,3,14:20,1,1,2000,east,2,,425,35.4,38.6,38.8,31.6,35.1,1850,944.3,5.9,418,420,415,428,,,"Calm A; Breezy P, R",HRD,no
day,3,14:31,1,1,2000,east,3,,432,36.2,37.2,32.4,42.1,33.8,1889,884.2,5.9,417,423,413,436,,,"Breezy A; Calm P, R",HRD,no
day,3,14:41,1,1,2000,east,4,,420,32.2,34.3,31.6,31.4,31.5,1626,719,5.9,422,421,419,437,,,"Breezy A, P; calm R",HRD,no
day,3,14:52,1,1,2000,east,5,,433,38.4,32.3,32.2,31.6,32.0,926.1,609.2,,422,,418,,,,"Breezy A, P; (computer died before resp)",HRD,no
night,3,20:40,1,1,2000,west,5,,419,17.9,18.0,17.7,18.3,18.0,,,,,,,,421,423,,HRD,no
night,3,20:49,1,1,2000,west,4,,417,16.0,16.3,15.9,16.2,16.9,,,,,,,,420,426,,HRD,no
night,3,20:55,1,1,2000,west,3,,420,17.2,16.8,16.9,17.4,16.1,,,,,,,,419,428,,HRD,no
night,3,21:01,1,1,2000,west,2,,416,17.0,17.0,16.4,16.7,16.3,,,,,,,,422,439,,HRD,no
night,3,21:06,1,1,2000,west,1,,420,16.7,16.5,17.2,16.6,16.3,,,,,,,,418,426,,HRD,no
night,3,21:23,1,1,2000,east,1,,415,15.7,15.8,15.8,16.0,15.7,,,,,,,,419,423,,HRD,no
night,3,21:28,1,1,2000,east,2,,416,15.6,15.6,16.1,15.4,15.8,,,,,,,,417,420,,HRD,no
night,3,21:33,1,1,2000,east,3,,416,15.7,15.6,15.9,15.8,15.6,,,,,,,,419,420,,HRD,no
night,3,21:39,1,1,2000,east,4,,,16.5,16.3,15.8,15.7,15.7,,,,,,,,420,425,"Low on time did not measure ambient, use from previous",HRD,no
night,3,21:42,1,1,2000,east,5,,,16.0,15.8,15.8,15.8,15.6,,,,,,,,420,424,"Low on time did not measure ambient, use from previous",HRD,no
day,5,10:35,2,1,2200,east,5,,401,24.1,21.2,24.0,21.4,21.4,645,670,3.24,397,403,387,414,,,"- Breezy, foggy (A,R); windy, variable PAR (P redo2)
- did 2 measurements for A; use the redo here
- did 3 measurements for P; use redo2 here
- time: 10:35 (R & A redo); 10:54 (P redo2)",TS/AG,no
day,5,10:54,2,1,2200,east,4,,399,24.0,19.4,18.5,26.3,22.5,844 - 934,1128,3.5,391,390,369,408,,,"- calm, cloudy (A, P, R)
- variable PAR (A, P)",TS/AG,no
day,5,11:05,2,1,2200,east,3,,403,24.7,25.6,24.2,23.1,26.3,843,1200,2.9,391,401,286,426,,,"- breezy, cloudy (A, P, R)",TS/AG,no
day,5,11:10,2,1,2200,east,2,,408,20.2,22.0,22.3,26.4,24.7,1002 - 775,1261,3.206,412,393,358,419,,,"- breezy (A, P, R)
- longer P due to variable PAR (2:30)",TS/AG,no
day,5,11:44,2,1,2200,east,1,,401,20.5,19.4,19.2,22.5,21.9,829,1390,2.7,387,403,359,425,,,"- breezy, cloudy (A, P, R)
- longer P due to variable PAR (2:30)
- time: 11:20 (A, R); 11:44 (P)",TS/AG,no
