id,date,project,aspect,site_id,elevation_m_asl,plot_id,plant_id,species,traits,value,unit,problem_flag
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,veg_height,13,cm,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,wet_mass,0.0374,g,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,dry_mass,0.011,g,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,leaf_area,1.211,cm2,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,leaf_thickness,0.37666666666666665,mm,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,sla,110.09090909090911,cm2 g-1,NA
EJT8246,2023-12-05,T,east,1,2000,4,1,Acalypha schinzii,ldmc,0.2941176470588235,g g-1,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,veg_height,14.5,cm,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,wet_mass,0.0478,g,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,dry_mass,0.0147,g,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,leaf_area,1.673,cm2,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,leaf_thickness,0.27166666666666667,mm,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,sla,113.80952380952381,cm2 g-1,NA
EBN4662,2023-12-05,T,west,1,2000,1,1,Acalypha schinzii,ldmc,0.3075313807531381,g g-1,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,veg_height,17.5,cm,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,wet_mass,0.02563333333333333,g,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,dry_mass,0.0092,g,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,leaf_area,0.8323333333333333,cm2,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,leaf_thickness,0.38,mm,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,sla,90.47101449275361,cm2 g-1,NA
EJK3690,2023-12-05,T,east,1,2000,4,3,Acalypha schinzii,ldmc,0.3589076723016905,g g-1,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,veg_height,5.4,cm,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,wet_mass,0.002833333333333333,g,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,dry_mass,5.444444444444444e-4,g,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,leaf_area,0.10255555555555557,cm2,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,leaf_thickness,0.19543333333333332,mm,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,sla,188.36734693877554,cm2 g-1,NA
ENO0474,2023-12-05,T,west,1,2000,3,3,Anthospermum hispidulum,ldmc,0.19215686274509805,g g-1,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,veg_height,4,cm,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,wet_mass,0.00782,g,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,dry_mass,0.0016,g,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,leaf_area,0.3524,cm2,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,leaf_thickness,0.35366666666666663,mm,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,sla,220.24999999999997,cm2 g-1,NA
EHO8850,2023-12-06,T,west,2,2200,1,2,Anthospermum herbaceum,ldmc,0.20460358056265984,g g-1,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,veg_height,5,cm,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,rep_height,6.7,cm,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,wet_mass,0.01724,g,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,dry_mass,0.00286,g,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,leaf_area,0.6166,cm2,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,leaf_thickness,0.2836666666666667,mm,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,sla,215.5944055944056,cm2 g-1,NA
DQL4323,2023-12-06,T,west,2,2200,2,1,Anthospermum herbaceum,ldmc,0.16589327146171695,g g-1,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,veg_height,2.4,cm,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,wet_mass,0.01242,g,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,dry_mass,0.00228,g,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,leaf_area,0.4638,cm2,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,leaf_thickness,0.3463333333333333,mm,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,sla,203.42105263157896,cm2 g-1,NA
EFV4279,2023-12-06,T,east,2,2200,2,2,Anthospermum herbaceum,ldmc,0.18357487922705312,g g-1,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,veg_height,1.9,cm,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,wet_mass,0.00448,g,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,dry_mass,7e-4,g,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,leaf_area,0.2192,cm2,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,leaf_thickness,0.3303333333333333,mm,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,sla,313.14285714285717,cm2 g-1,NA
CXU9780,2023-12-06,T,west,2,2200,2,3,Anthospermum herbaceum,ldmc,0.15625,g g-1,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,veg_height,2,cm,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,wet_mass,0.01576,g,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,dry_mass,0.00326,g,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,leaf_area,0.6632,cm2,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,leaf_thickness,0.352,mm,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,sla,203.4355828220859,cm2 g-1,NA
ERT1731,2023-12-06,T,east,2,2200,1,2,Anthospermum herbaceum,ldmc,0.2068527918781726,g g-1,NA
EZO1598,2023-12-03,T,west,1,2000,2,1,Anthospermum hispidulum,veg_height,4.3,cm,NA
EZO1598,2023-12-03,T,west,1,2000,2,1,Anthospermum hispidulum,wet_mass,8.666666666666666e-4,g,NA
EZO1598,2023-12-03,T,west,1,2000,2,1,Anthospermum hispidulum,dry_mass,2.1666666666666666e-4,g,NA
EZO1598,2023-12-03,T,west,1,2000,2,1,Anthospermum hispidulum,leaf_area,0.045500000000000006,cm2,NA
