
Model:	LI-1500 Light Sensor Logger	
Config:	WITSIE	
MULT_1:	-150.70
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20231209 05:29:54	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-12-09	05:29:56.000	2291.4	 33
DATA	0000001	2023-12-09	05:29:57.000	2280.5	 34
DATA	0000002	2023-12-09	05:29:58.000	2262.3	 34
DATA	0000003	2023-12-09	05:29:59.000	2254.9	 43
DATA	0000004	2023-12-09	05:30:00.000	2272.5	 18
DATA	0000005	2023-12-09	05:30:01.000	2263.0	 15
DATA	0000006	2023-12-09	05:30:02.000	2257.5	 25
DATA	0000007	2023-12-09	05:30:03.000	2284.4	 26
DATA	0000008	2023-12-09	05:30:04.000	2291.1	 23
DATA	0000009	2023-12-09	05:30:05.000	2293.3	 29
DATA	0000010	2023-12-09	05:30:06.001	2292.3	 22
DATA	0000011	2023-12-09	05:30:07.001	2286.2	 26
DATA	0000012	2023-12-09	05:30:08.001	2269.5	 32
DATA	0000013	2023-12-09	05:30:09.001	379.91	 39
DATA	0000014	2023-12-09	05:30:10.001	390.00	 15
DATA	0000015	2023-12-09	05:30:11.001	388.99	 42
DATA	0000016	2023-12-09	05:30:12.001	391.57	 32
DATA	0000017	2023-12-09	05:30:13.001	391.93	 34
DATA	0000018	2023-12-09	05:30:14.001	385.93	 39
DATA	0000019	2023-12-09	05:30:15.001	391.66	 38
DATA	0000020	2023-12-09	05:30:16.001	390.50	 23
DATA	0000021	2023-12-09	05:30:17.001	392.77	 36
DATA	0000022	2023-12-09	05:30:18.001	396.41	 33
DATA	0000023	2023-12-09	05:30:19.001	407.12	 26
DATA	0000024	2023-12-09	05:30:20.001	585.99	 41
DATA	0000025	2023-12-09	05:30:21.001	2264.1	 22
DATA	0000026	2023-12-09	05:30:22.001	2217.4	 25
DATA	0000027	2023-12-09	05:30:23.001	2045.5	 27
DATA	0000028	2023-12-09	05:30:24.001	2291.6	 33
DATA	0000029	2023-12-09	05:30:25.001	2289.9	 45
DATA	0000030	2023-12-09	05:30:26.001	2299.7	 37
DATA	0000031	2023-12-09	05:30:27.002	2300.5	 21
DATA	0000032	2023-12-09	05:30:28.002	2295.7	 38
DATA	0000033	2023-12-09	05:30:29.002	2279.6	 41
DATA	0000034	2023-12-09	05:30:30.002	2282.1	 23
DATA	0000035	2023-12-09	05:30:31.002	2278.6	 35
DATA	0000036	2023-12-09	05:30:32.002	2285.9	 38
