
Model:	LI-1500 Light Sensor Logger	
Config:	WITSIE	
MULT_1:	-150.70
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20231208 01:49:47	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-12-08	01:49:49.000	330.05	 25
DATA	0000001	2023-12-08	01:49:50.000	328.87	 35
DATA	0000002	2023-12-08	01:49:51.000	327.75	 33
DATA	0000003	2023-12-08	01:49:52.000	326.42	 28
DATA	0000004	2023-12-08	01:49:53.000	322.03	 23
DATA	0000005	2023-12-08	01:49:54.000	320.81	 29
DATA	0000006	2023-12-08	01:49:55.000	321.26	 31
DATA	0000007	2023-12-08	01:49:56.000	321.44	 33
DATA	0000008	2023-12-08	01:49:57.000	321.02	 29
DATA	0000009	2023-12-08	01:49:58.000	320.60	 34
DATA	0000010	2023-12-08	01:49:59.001	320.72	 31
DATA	0000011	2023-12-08	01:50:00.001	319.98	 26
DATA	0000012	2023-12-08	01:50:01.001	323.30	  9
DATA	0000013	2023-12-08	01:50:02.001	323.51	 14
DATA	0000014	2023-12-08	01:50:03.001	325.15	 18
DATA	0000015	2023-12-08	01:50:04.001	325.60	 20
DATA	0000016	2023-12-08	01:50:05.001	327.83	 29
DATA	0000017	2023-12-08	01:50:06.001	328.59	 35
DATA	0000018	2023-12-08	01:50:07.001	330.36	 25
DATA	0000019	2023-12-08	01:50:08.001	332.59	 34
DATA	0000020	2023-12-08	01:50:09.001	335.01	 17
DATA	0000021	2023-12-08	01:50:10.001	338.03	 15
DATA	0000022	2023-12-08	01:50:11.001	342.25	 16
DATA	0000023	2023-12-08	01:50:12.001	347.83	 27
DATA	0000024	2023-12-08	01:50:13.001	353.40	 19
DATA	0000025	2023-12-08	01:50:14.001	358.95	 36
DATA	0000026	2023-12-08	01:50:15.001	363.77	 34
DATA	0000027	2023-12-08	01:50:16.001	367.36	 35
DATA	0000028	2023-12-08	01:50:17.001	373.19	 35
DATA	0000029	2023-12-08	01:50:18.001	376.30	 33
DATA	0000030	2023-12-08	01:50:19.001	378.37	 35
DATA	0000031	2023-12-08	01:50:20.002	380.45	 21
DATA	0000032	2023-12-08	01:50:21.002	382.73	 26
DATA	0000033	2023-12-08	01:50:22.002	383.92	 30
DATA	0000034	2023-12-08	01:50:23.002	385.80	 31
DATA	0000035	2023-12-08	01:50:24.002	384.11	 26
DATA	0000036	2023-12-08	01:50:25.002	389.84	 43
DATA	0000037	2023-12-08	01:50:26.002	387.74	 42
DATA	0000038	2023-12-08	01:50:27.002	386.23	 37
DATA	0000039	2023-12-08	01:50:28.002	390.24	 35
