
Model:	LI-1500 Light Sensor Logger	
Config:	WITSIE	
MULT_1:	-150.70
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20231208 05:34:48	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-12-08	05:34:50.000	1429.1	 21
DATA	0000001	2023-12-08	05:34:51.000	1551.2	 20
DATA	0000002	2023-12-08	05:34:52.000	1541.9	 28
DATA	0000003	2023-12-08	05:34:53.000	1704.5	 27
DATA	0000004	2023-12-08	05:34:54.000	1910.9	 32
DATA	0000005	2023-12-08	05:34:55.000	1893.0	 35
DATA	0000006	2023-12-08	05:34:56.000	1701.1	 26
DATA	0000007	2023-12-08	05:34:57.000	1604.7	 36
DATA	0000008	2023-12-08	05:34:58.000	1855.9	 48
DATA	0000009	2023-12-08	05:34:59.000	2105.8	 38
DATA	0000010	2023-12-08	05:35:00.001	2186.0	 19
DATA	0000011	2023-12-08	05:35:01.001	2200.5	 13
DATA	0000012	2023-12-08	05:35:02.001	2200.9	 19
DATA	0000013	2023-12-08	05:35:03.001	2193.3	 26
DATA	0000014	2023-12-08	05:35:04.001	2194.7	 33
DATA	0000015	2023-12-08	05:35:05.001	2188.1	 32
DATA	0000016	2023-12-08	05:35:06.001	2180.0	 25
DATA	0000017	2023-12-08	05:35:07.001	2174.6	 36
DATA	0000018	2023-12-08	05:35:08.001	2173.4	 35
DATA	0000019	2023-12-08	05:35:09.001	2169.7	 45
DATA	0000020	2023-12-08	05:35:10.001	2159.0	 21
DATA	0000021	2023-12-08	05:35:11.001	2157.9	 30
DATA	0000022	2023-12-08	05:35:12.001	2154.1	 21
DATA	0000023	2023-12-08	05:35:13.001	2148.1	 26
DATA	0000024	2023-12-08	05:35:14.001	2141.9	 29
DATA	0000025	2023-12-08	05:35:15.001	2143.3	 27
DATA	0000026	2023-12-08	05:35:16.001	2137.4	 33
DATA	0000027	2023-12-08	05:35:17.001	2134.7	 35
DATA	0000028	2023-12-08	05:35:18.001	2135.1	 32
DATA	0000029	2023-12-08	05:35:19.001	2130.3	 31
DATA	0000030	2023-12-08	05:35:20.001	2128.6	 25
DATA	0000031	2023-12-08	05:35:21.002	2127.1	 22
DATA	0000032	2023-12-08	05:35:22.002	2128.1	 25
DATA	0000033	2023-12-08	05:35:23.002	2128.1	 27
DATA	0000034	2023-12-08	05:35:24.002	2125.9	 34
DATA	0000035	2023-12-08	05:35:25.002	2126.0	 28
DATA	0000036	2023-12-08	05:35:26.002	2122.2	 28
DATA	0000037	2023-12-08	05:35:27.002	2119.7	 41
DATA	0000038	2023-12-08	05:35:28.002	2117.9	 43
DATA	0000039	2023-12-08	05:35:29.002	2114.5	 38
DATA	0000040	2023-12-08	05:35:30.002	2117.8	 28
DATA	0000041	2023-12-08	05:35:31.002	2118.2	 25
DATA	0000042	2023-12-08	05:35:32.002	2116.9	 32
DATA	0000043	2023-12-08	05:35:33.002	2116.6	 31
DATA	0000044	2023-12-08	05:35:34.002	2118.3	 32
