
Model:	LI-1500 Light Sensor Logger	
Config:	WITSIE	
MULT_1:	-150.70
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20231208 06:49:25	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-12-08	06:49:27.000	1970.0	 32
DATA	0000001	2023-12-08	06:49:28.000	1973.4	 41
DATA	0000002	2023-12-08	06:49:29.000	1962.1	 38
DATA	0000003	2023-12-08	06:49:30.000	1977.7	 43
DATA	0000004	2023-12-08	06:49:31.000	1980.5	 37
DATA	0000005	2023-12-08	06:49:32.000	1968.3	 43
DATA	0000006	2023-12-08	06:49:33.000	1962.6	 42
DATA	0000007	2023-12-08	06:49:34.000	1966.5	 47
DATA	0000008	2023-12-08	06:49:35.000	1968.7	 53
DATA	0000009	2023-12-08	06:49:36.000	1959.5	 53
DATA	0000010	2023-12-08	06:49:37.001	1960.8	 42
DATA	0000011	2023-12-08	06:49:38.001	1968.6	 50
DATA	0000012	2023-12-08	06:49:39.001	1984.3	 47
DATA	0000013	2023-12-08	06:49:40.001	1982.7	 42
DATA	0000014	2023-12-08	06:49:41.001	1983.4	 42
DATA	0000015	2023-12-08	06:49:42.001	1980.7	 44
DATA	0000016	2023-12-08	06:49:43.001	1986.3	 48
DATA	0000017	2023-12-08	06:49:44.001	1982.8	 51
DATA	0000018	2023-12-08	06:49:45.001	1992.3	 49
DATA	0000019	2023-12-08	06:49:46.001	1988.7	 60
DATA	0000020	2023-12-08	06:49:47.001	1985.2	 45
DATA	0000021	2023-12-08	06:49:48.001	1979.2	 50
DATA	0000022	2023-12-08	06:49:49.001	1974.9	 54
DATA	0000023	2023-12-08	06:49:50.001	1982.6	 43
DATA	0000024	2023-12-08	06:49:51.001	1981.0	 38
DATA	0000025	2023-12-08	06:49:52.001	1975.5	 48
DATA	0000026	2023-12-08	06:49:53.001	1969.2	 50
DATA	0000027	2023-12-08	06:49:54.001	1970.1	 43
DATA	0000028	2023-12-08	06:49:55.001	1972.6	 52
DATA	0000029	2023-12-08	06:49:56.001	1970.3	 49
DATA	0000030	2023-12-08	06:49:57.001	1981.6	 47
DATA	0000031	2023-12-08	06:49:58.002	1982.0	 45
DATA	0000032	2023-12-08	06:49:59.002	1989.6	 60
DATA	0000033	2023-12-08	06:50:00.002	1989.3	 36
DATA	0000034	2023-12-08	06:50:01.002	2001.5	 16
DATA	0000035	2023-12-08	06:50:02.002	1997.6	 42
DATA	0000036	2023-12-08	06:50:03.002	1992.7	 40
DATA	0000037	2023-12-08	06:50:04.002	1991.7	 41
DATA	0000038	2023-12-08	06:50:05.002	1992.2	 39
DATA	0000039	2023-12-08	06:50:06.002	1995.3	 45
DATA	0000040	2023-12-08	06:50:07.002	1999.3	 42
DATA	0000041	2023-12-08	06:50:08.002	1985.1	 37
DATA	0000042	2023-12-08	06:50:09.002	1876.3	 40
DATA	0000043	2023-12-08	06:50:10.002	1786.1	 31
DATA	0000044	2023-12-08	06:50:11.002	1806.5	 30
DATA	0000045	2023-12-08	06:50:12.002	1699.4	 41
DATA	0000046	2023-12-08	06:50:13.002	1842.0	 29
DATA	0000047	2023-12-08	06:50:14.002	1982.1	 37
DATA	0000048	2023-12-08	06:50:15.002	1988.3	 47
DATA	0000049	2023-12-08	06:50:16.002	2012.2	 27
DATA	0000050	2023-12-08	06:50:17.002	2007.0	 22
DATA	0000051	2023-12-08	06:50:18.002	2008.8	 33
DATA	0000052	2023-12-08	06:50:19.003	1997.9	 53
DATA	0000053	2023-12-08	06:50:20.003	1892.4	 35
DATA	0000054	2023-12-08	06:50:21.003	1217.9	 33
DATA	0000055	2023-12-08	06:50:22.003	1140.5	 26
DATA	0000056	2023-12-08	06:50:23.003	1542.0	 29
DATA	0000057	2023-12-08	06:50:24.003	1887.9	 52
DATA	0000058	2023-12-08	06:50:25.003	1981.3	 43
DATA	0000059	2023-12-08	06:50:26.003	1987.9	 57
DATA	0000060	2023-12-08	06:50:27.003	1985.3	 42
DATA	0000061	2023-12-08	06:50:28.003	1975.6	 46
DATA	0000062	2023-12-08	06:50:29.003	1977.1	 45
DATA	0000063	2023-12-08	06:50:30.003	1972.3	 35
DATA	0000064	2023-12-08	06:50:31.003	1973.8	 43
DATA	0000065	2023-12-08	06:50:32.003	1989.7	 51
DATA	0000066	2023-12-08	06:50:33.003	1986.2	 45
DATA	0000067	2023-12-08	06:50:34.003	1985.3	 47
DATA	0000068	2023-12-08	06:50:35.003	1984.0	 45
DATA	0000069	2023-12-08	06:50:36.003	1983.5	 51
DATA	0000070	2023-12-08	06:50:37.003	1982.3	 41
DATA	0000071	2023-12-08	06:50:38.003	1973.6	 46
DATA	0000072	2023-12-08	06:50:39.004	1981.1	 43
DATA	0000073	2023-12-08	06:50:40.004	1976.6	 45
DATA	0000074	2023-12-08	06:50:41.004	1983.7	 46
DATA	0000075	2023-12-08	06:50:42.004	1973.0	 40
DATA	0000076	2023-12-08	06:50:43.004	1980.0	 40
DATA	0000077	2023-12-08	06:50:44.004	1977.6	 54
DATA	0000078	2023-12-08	06:50:45.004	1971.6	 50
DATA	0000079	2023-12-08	06:50:46.004	1978.2	 55
DATA	0000080	2023-12-08	06:50:47.004	1954.2	 42
DATA	0000081	2023-12-08	06:50:48.004	1957.9	 54
DATA	0000082	2023-12-08	06:50:49.004	1959.9	 58
DATA	0000083	2023-12-08	06:50:50.004	1958.4	 45
DATA	0000084	2023-12-08	06:50:51.004	1965.2	 43
DATA	0000085	2023-12-08	06:50:52.004	1976.9	 54
DATA	0000086	2023-12-08	06:50:53.004	1978.3	 52
DATA	0000087	2023-12-08	06:50:54.004	1973.9	 55
DATA	0000088	2023-12-08	06:50:55.004	1968.0	 52
DATA	0000089	2023-12-08	06:50:56.004	1957.6	 58
DATA	0000090	2023-12-08	06:50:57.004	1973.7	 50
DATA	0000091	2023-12-08	06:50:58.004	1965.6	 52
DATA	0000092	2023-12-08	06:50:59.004	1985.7	 57
DATA	0000093	2023-12-08	06:51:00.005	1980.8	 42
DATA	0000094	2023-12-08	06:51:01.005	1973.6	 44
DATA	0000095	2023-12-08	06:51:02.005	1971.8	 46
DATA	0000096	2023-12-08	06:51:03.005	1954.1	 42
DATA	0000097	2023-12-08	06:51:04.005	1980.4	 46
DATA	0000098	2023-12-08	06:51:05.005	1990.0	 45
DATA	0000099	2023-12-08	06:51:06.005	1976.9	 60
DATA	0000100	2023-12-08	06:51:07.005	1969.3	 40
DATA	0000101	2023-12-08	06:51:08.005	1975.3	 39
DATA	0000102	2023-12-08	06:51:09.005	1978.0	 41
DATA	0000103	2023-12-08	06:51:10.005	1950.4	 28
DATA	0000104	2023-12-08	06:51:11.005	413.16	 26
DATA	0000105	2023-12-08	06:51:12.005	1188.9	 40
DATA	0000106	2023-12-08	06:51:13.005	1972.0	 34
DATA	0000107	2023-12-08	06:51:14.005	786.31	 42
DATA	0000108	2023-12-08	06:51:15.005	1968.7	 50
DATA	0000109	2023-12-08	06:51:16.005	774.07	 46
DATA	0000110	2023-12-08	06:51:17.005	1979.6	 46
DATA	0000111	2023-12-08	06:51:18.005	1982.2	 38
DATA	0000112	2023-12-08	06:51:19.005	1982.4	 42
DATA	0000113	2023-12-08	06:51:20.005	1983.5	 37
DATA	0000114	2023-12-08	06:51:21.006	1985.5	 42
DATA	0000115	2023-12-08	06:51:22.006	1985.7	 46
DATA	0000116	2023-12-08	06:51:23.006	1983.5	 44
DATA	0000117	2023-12-08	06:51:24.006	1679.6	 49
DATA	0000118	2023-12-08	06:51:25.006	1979.4	 52
DATA	0000119	2023-12-08	06:51:26.006	1979.4	 54
DATA	0000120	2023-12-08	06:51:27.006	1982.3	 40
DATA	0000121	2023-12-08	06:51:28.006	1976.8	 50
DATA	0000122	2023-12-08	06:51:29.006	1987.1	 47
DATA	0000123	2023-12-08	06:51:30.006	1990.4	 37
DATA	0000124	2023-12-08	06:51:31.006	1992.0	 37
DATA	0000125	2023-12-08	06:51:32.006	1998.3	 48
DATA	0000126	2023-12-08	06:51:33.006	2004.0	 26
DATA	0000127	2023-12-08	06:51:34.006	2005.5	 34
DATA	0000128	2023-12-08	06:51:35.006	2001.8	 35
DATA	0000129	2023-12-08	06:51:36.006	2003.0	 31
