
Model:	LI-1500 Light Sensor Logger	
Config:	WITSIE	
MULT_1:	-150.70
Session Remark:	WINDY 	
Software Version:	1.2.0	
Timestamp:	20231214 05:56:31	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-12-14	05:56:33.000	2252.9	 26
DATA	0000001	2023-12-14	05:56:34.000	2255.6	 28
DATA	0000002	2023-12-14	05:56:35.000	2255.6	 30
DATA	0000003	2023-12-14	05:56:36.000	2254.3	 28
DATA	0000004	2023-12-14	05:56:37.000	2258.0	 31
DATA	0000005	2023-12-14	05:56:38.000	2257.1	 33
DATA	0000006	2023-12-14	05:56:39.000	2254.3	 34
DATA	0000007	2023-12-14	05:56:40.000	2253.7	 30
DATA	0000008	2023-12-14	05:56:41.000	2250.9	 31
DATA	0000009	2023-12-14	05:56:42.000	2246.9	 38
DATA	0000010	2023-12-14	05:56:43.001	2247.4	 28
DATA	0000011	2023-12-14	05:56:44.001	2247.0	 26
DATA	0000012	2023-12-14	05:56:45.001	2245.4	 30
DATA	0000013	2023-12-14	05:56:46.001	2246.2	 31
DATA	0000014	2023-12-14	05:56:47.001	2248.4	 37
DATA	0000015	2023-12-14	05:56:48.001	2252.0	 30
DATA	0000016	2023-12-14	05:56:49.001	2253.9	 42
DATA	0000017	2023-12-14	05:56:50.001	2251.2	 26
DATA	0000018	2023-12-14	05:56:51.001	2252.8	 35
DATA	0000019	2023-12-14	05:56:52.001	2258.2	 37
DATA	0000020	2023-12-14	05:56:53.001	2258.6	 34
DATA	0000021	2023-12-14	05:56:54.001	2255.2	 29
DATA	0000022	2023-12-14	05:56:55.001	2258.9	 41
DATA	0000023	2023-12-14	05:56:56.001	2261.0	 28
DATA	0000024	2023-12-14	05:56:57.001	2257.6	 41
DATA	0000025	2023-12-14	05:56:58.001	2247.8	 44
DATA	0000026	2023-12-14	05:56:59.001	2245.4	 40
DATA	0000027	2023-12-14	05:57:00.001	2244.4	 27
DATA	0000028	2023-12-14	05:57:01.001	2246.6	 33
DATA	0000029	2023-12-14	05:57:02.001	2250.3	 27
DATA	0000030	2023-12-14	05:57:03.001	2249.7	 32
DATA	0000031	2023-12-14	05:57:04.002	2252.8	 30
DATA	0000032	2023-12-14	05:57:05.002	2252.2	 26
DATA	0000033	2023-12-14	05:57:06.002	2256.2	 32
DATA	0000034	2023-12-14	05:57:07.002	2260.0	 27
DATA	0000035	2023-12-14	05:57:08.002	2267.7	 43
DATA	0000036	2023-12-14	05:57:09.002	2268.3	 42
DATA	0000037	2023-12-14	05:57:10.002	2269.3	 36
DATA	0000038	2023-12-14	05:57:11.002	2270.8	 35
DATA	0000039	2023-12-14	05:57:12.002	2273.2	 34
DATA	0000040	2023-12-14	05:57:13.002	2272.8	 32
DATA	0000041	2023-12-14	05:57:14.002	2274.0	 28
DATA	0000042	2023-12-14	05:57:15.002	2275.9	 40
DATA	0000043	2023-12-14	05:57:16.002	2274.6	 38
DATA	0000044	2023-12-14	05:57:17.002	2274.3	 37
DATA	0000045	2023-12-14	05:57:18.002	2272.0	 34
DATA	0000046	2023-12-14	05:57:19.002	2269.5	 47
DATA	0000047	2023-12-14	05:57:20.002	2268.2	 36
DATA	0000048	2023-12-14	05:57:21.002	2265.7	 40
DATA	0000049	2023-12-14	05:57:22.002	2263.7	 40
DATA	0000050	2023-12-14	05:57:23.002	2266.0	 29
DATA	0000051	2023-12-14	05:57:24.002	2265.2	 32
DATA	0000052	2023-12-14	05:57:25.003	2263.6	 37
DATA	0000053	2023-12-14	05:57:26.003	2265.6	 41
DATA	0000054	2023-12-14	05:57:27.003	2263.5	 40
DATA	0000055	2023-12-14	05:57:28.003	2268.7	 49
DATA	0000056	2023-12-14	05:57:29.003	2264.8	 48
DATA	0000057	2023-12-14	05:57:30.003	2267.7	 43
DATA	0000058	2023-12-14	05:57:31.003	2267.9	 47
DATA	0000059	2023-12-14	05:57:32.003	2271.5	 40
DATA	0000060	2023-12-14	05:57:33.003	2267.0	 33
DATA	0000061	2023-12-14	05:57:34.003	2264.5	 37
DATA	0000062	2023-12-14	05:57:35.003	2263.4	 37
DATA	0000063	2023-12-14	05:57:36.003	2260.0	 32
DATA	0000064	2023-12-14	05:57:37.003	2259.6	 48
DATA	0000065	2023-12-14	05:57:38.003	2254.2	 41
DATA	0000066	2023-12-14	05:57:39.003	2251.8	 46
DATA	0000067	2023-12-14	05:57:40.003	2249.0	 38
DATA	0000068	2023-12-14	05:57:41.003	2246.8	 45
DATA	0000069	2023-12-14	05:57:42.003	2244.6	 43
DATA	0000070	2023-12-14	05:57:43.003	2241.8	 35
DATA	0000071	2023-12-14	05:57:44.003	2237.6	 40
DATA	0000072	2023-12-14	05:57:45.004	2236.1	 37
DATA	0000073	2023-12-14	05:57:46.004	2239.5	 46
DATA	0000074	2023-12-14	05:57:47.004	2233.4	 41
DATA	0000075	2023-12-14	05:57:48.004	2230.3	 39
DATA	0000076	2023-12-14	05:57:49.004	2236.3	 47
DATA	0000077	2023-12-14	05:57:50.004	2242.2	 36
DATA	0000078	2023-12-14	05:57:51.004	2239.3	 45
DATA	0000079	2023-12-14	05:57:52.004	2238.1	 44
DATA	0000080	2023-12-14	05:57:53.004	2234.0	 32
DATA	0000081	2023-12-14	05:57:54.004	2234.3	 37
DATA	0000082	2023-12-14	05:57:55.004	2234.1	 37
DATA	0000083	2023-12-14	05:57:56.004	2232.4	 40
DATA	0000084	2023-12-14	05:57:57.004	2228.2	 45
DATA	0000085	2023-12-14	05:57:58.004	2228.0	 45
DATA	0000086	2023-12-14	05:57:59.004	2225.0	 44
DATA	0000087	2023-12-14	05:58:00.004	2227.6	 40
DATA	0000088	2023-12-14	05:58:01.004	2226.0	 35
DATA	0000089	2023-12-14	05:58:02.004	2224.6	 41
DATA	0000090	2023-12-14	05:58:03.004	2226.5	 35
DATA	0000091	2023-12-14	05:58:04.004	2226.5	 37
DATA	0000092	2023-12-14	05:58:05.004	2230.3	 32
DATA	0000093	2023-12-14	05:58:06.005	2229.2	 42
DATA	0000094	2023-12-14	05:58:07.005	2233.4	 41
DATA	0000095	2023-12-14	05:58:08.005	2227.6	 48
DATA	0000096	2023-12-14	05:58:09.005	2223.0	 40
DATA	0000097	2023-12-14	05:58:10.005	2224.6	 40
DATA	0000098	2023-12-14	05:58:11.005	2225.2	 39
DATA	0000099	2023-12-14	05:58:12.005	2228.5	 47
DATA	0000100	2023-12-14	05:58:13.005	2223.1	 22
DATA	0000101	2023-12-14	05:58:14.005	2217.6	 32
DATA	0000102	2023-12-14	05:58:15.005	2211.5	 27
DATA	0000103	2023-12-14	05:58:16.005	2207.2	 31
DATA	0000104	2023-12-14	05:58:17.005	2185.9	 45
DATA	0000105	2023-12-14	05:58:18.005	2178.2	 42
DATA	0000106	2023-12-14	05:58:19.005	2043.7	 40
