Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 11 2023 at 14:08:36
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	22:08:29:000	2023-12-11	1040250	15.2537	671.163	0.107367	449.072	514.895	9.26811	0.0571491	15.1586	9.75281	10.03	79.9709	255	0	0	13.0529	1.88498	1.96244	13.17	100.176	0	0	35348.8	45448.8	51835.8	54872.2	0	0	0	0	0	0	119
DATA	22:08:30:000	2023-12-11	1040550	15.2512	671.053	0.107353	448.981	515.466	9.27839	0.0571943	15.1748	9.76917	10.0268	79.9731	255	0	0	13.0536	1.88497	1.96207	13.17	100.177	0	0	35347.2	45449.5	51835	54871.6	0	0	0	0	0	0	116
DATA	22:08:31:000	2023-12-11	1040850	15.2594	671.414	0.107399	449.198	515.856	9.28541	0.0572277	15.1855	9.78028	10.0237	79.9766	255	0	0	13.0543	1.88506	1.96057	13.17	100.176	0	0	35342.7	45448.3	51829.6	54871.9	0	0	0	0	0	0	229
DATA	22:08:32:000	2023-12-11	1041150	15.2788	672.267	0.1075	449.798	516.7	9.3006	0.0572943	15.2113	9.80446	10.0201	79.9703	255	0	0	13.0543	1.88519	1.96008	13.17	100.184	0	0	35341.9	45451.1	51830.1	54874.3	0	0	0	0	0	0	163
DATA	22:08:33:000	2023-12-11	1041450	15.2829	672.448	0.107522	449.857	516.355	9.29439	0.0572667	15.1991	9.79432	10.0166	79.9803	255	0	0	13.0543	1.88493	1.96145	13.17	100.178	0	0	35340.5	45450.2	51830.2	54873.6	0	0	0	0	0	0	206
DATA	22:08:34:000	2023-12-11	1041750	15.291	672.804	0.107564	450.15	517.158	9.30884	0.0573306	15.2246	9.8173	10.0129	79.9696	255	0	0	13.0543	1.8851	1.96132	13.17	100.181	0	0	35341	45450.4	51829.6	54874.7	0	0	0	0	0	0	129
DATA	22:08:35:000	2023-12-11	1042050	15.2934	672.91	0.107577	450.229	518.264	9.32875	0.0574191	15.2574	9.84897	10.0093	79.9672	255	0	0	13.0549	1.88494	1.96082	13.17	100.181	0	0	35339.3	45451.6	51827.2	54875.5	0	0	0	0	0	0	167
DATA	22:08:36:000	2023-12-11	1042350	15.2939	672.932	0.107586	450.184	517.364	9.31255	0.0573508	15.2289	9.82283	10.0052	79.9765	255	0	0	13.0549	1.88508	1.96095	13.17	100.183	0	0	35340.9	45451.2	51831	54877.1	0	0	0	0	0	0	101
DATA	22:08:37:000	2023-12-11	1042650	15.2913	672.817	0.107569	450.095	518.244	9.32839	0.0574197	15.2544	9.84795	10.0009	79.9776	255	0	0	13.0549	1.88502	1.9617	13.17	100.184	0	0	35340.6	45452.2	51828.2	54877.5	0	0	0	0	0	0	166
DATA	22:08:38:000	2023-12-11	1042950	15.3004	673.218	0.107615	450.385	517.902	9.32224	0.057391	15.245	9.8379	9.99711	79.9726	255	0	0	13.0543	1.88509	1.96132	13.17	100.183	0	0	35340.6	45451.5	51828.2	54877.8	0	0	0	0	0	0	 50
DATA	22:08:39:000	2023-12-11	1043250	15.2896	672.742	0.107558	450.034	517.836	9.32105	0.0573859	15.242	9.83587	9.99456	79.9777	255	0	0	13.0549	1.88502	1.96082	13.17	100.181	0	0	35341.6	45451.2	51830.2	54877.2	0	0	0	0	0	0	172
DATA	22:08:40:000	2023-12-11	1043550	15.2888	672.707	0.107554	450.02	518.561	9.3341	0.0574443	15.2636	9.85653	9.99054	79.9749	255	0	0	13.0543	1.88477	1.96132	13.17	100.175	0	0	35340.5	45450.2	51825.2	54878.3	0	0	0	0	0	0	103
DATA	22:08:41:000	2023-12-11	1043850	15.2901	672.764	0.107556	450.095	519.659	9.35386	0.0575289	15.2972	9.88787	9.98654	79.9673	255	0	0	13.0549	1.88504	1.9612	13.17	100.181	0	0	35341.8	45450.8	51823.9	54878.5	0	0	0	0	0	0	213
DATA	22:08:42:000	2023-12-11	1044150	15.2934	672.91	0.107577	450.161	519.22	9.34596	0.0574962	15.2832	9.87504	9.98241	79.9716	255	0	0	13.0536	1.88495	1.96082	13.17	100.178	0	0	35340.8	45450	51820.7	54878.7	0	0	0	0	0	0	 22
DATA	22:08:43:000	2023-12-11	1044450	15.286	672.584	0.107541	449.914	520.819	9.37474	0.0576261	15.3293	9.92074	9.97892	79.9758	255	0	0	13.0543	1.88521	1.96082	13.17	100.183	0	0	35340.6	45450.7	51821.1	54880.6	0	0	0	0	0	0	169
DATA	22:08:44:000	2023-12-11	1044750	15.2957	673.011	0.107589	450.213	519.779	9.35602	0.0575405	15.2991	9.89074	9.97563	79.9725	255	0	0	13.0549	1.88511	1.9612	13.17	100.183	0	0	35339.4	45451.2	51823.6	54881.8	0	0	0	0	0	0	174
DATA	22:08:45:000	2023-12-11	1045050	15.2929	672.888	0.107579	450.111	521.098	9.37976	0.0576487	15.3373	9.9284	9.97249	79.9751	255	0	0	13.0549	1.88535	1.96195	13.17	100.186	0	0	35338.7	45451.1	51814.4	54880.2	0	0	0	0	0	0	202
DATA	22:08:46:000	2023-12-11	1045350	15.2902	672.769	0.107562	449.984	520.525	9.36945	0.0576018	15.3188	9.91183	9.96956	79.9827	255	0	0	13.0543	1.88497	1.9612	13.17	100.18	0	0	35338.3	45451.1	51817.8	54879.6	0	0	0	0	0	0	153
DATA	22:08:47:000	2023-12-11	1045650	15.2885	672.694	0.107555	449.977	520.8	9.3744	0.0576245	15.3284	9.91955	9.96653	79.9742	255	0	0	13.0549	1.88496	1.96032	13.17	100.179	0	0	35340.6	45450.3	51817.2	54880.8	0	0	0	0	0	0	103
