Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 14 2023 at 2:09:52
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	10:09:42:000	2023-12-14	602445	13.4132	590.181	0.0973837	407.551	656.026	11.8085	0.0679782	19.9329	13.9061	19.2003	79.9953	255	0	0	13.0687	2.00131	2.25934	13.21	98.9527	0	0	34564.1	43933.8	49422.8	52819.9	0	0	0	0	0	0	215
DATA	10:09:43:000	2023-12-14	602745	13.4358	591.175	0.0975119	408.107	650.043	11.7008	0.0675407	19.7448	13.7631	19.1627	80.0106	255	0	0	13.0687	2.0014	2.25922	13.21	98.9457	0	0	34567.6	43929.9	49397.8	52817.2	0	0	0	0	0	0	155
DATA	10:09:44:000	2023-12-14	603045	13.4012	589.653	0.0973169	407.071	657.76	11.8397	0.0681052	19.9799	13.9426	19.121	79.9961	255	0	0	13.0687	2.00111	2.25984	13.21	98.9415	0	0	34571.4	43930.8	49380.5	52817.2	0	0	0	0	0	0	119
DATA	10:09:45:000	2023-12-14	603345	13.3086	585.578	0.0967967	404.223	675.55	12.1599	0.0693995	20.5185	14.3523	19.0802	79.9919	255	0	0	13.0687	2.00136	2.2571	13.21	98.9496	0	0	34588.9	43932	49313.3	52811.6	0	0	0	0	0	0	 41
DATA	10:09:46:000	2023-12-14	603645	13.2955	585.002	0.0967273	403.747	682.172	12.2791	0.0698823	20.7157	14.5014	19.0471	79.9983	255	0	0	13.0687	2.00116	2.25797	13.21	98.938	0	0	34576.9	43928.8	49349	52812.5	0	0	0	0	0	0	 89
DATA	10:09:47:000	2023-12-14	603945	13.3258	586.335	0.0968943	404.693	676.812	12.1826	0.0694919	20.5542	14.3781	19.0231	79.9868	255	0	0	13.0694	2.0012	2.25672	13.21	98.9462	0	0	34587.4	43932.1	49305.7	52813.3	0	0	0	0	0	0	174
DATA	10:09:48:000	2023-12-14	604245	13.2836	584.478	0.0966619	403.297	690.232	12.4242	0.070464	20.9558	14.6808	19.0001	80.0031	255	0	0	13.0687	2.00114	2.25722	13.21	98.945	0	0	34582.8	43932.1	49312	52813.9	0	0	0	0	0	0	225
DATA	10:09:49:000	2023-12-14	604545	13.3434	587.11	0.0969966	405.126	674.678	12.1442	0.0693407	20.4843	14.327	18.9803	79.995	255	0	0	13.0701	2.00121	2.2576	13.21	98.9438	0	0	34582.2	43930.9	49314.5	52813.5	0	0	0	0	0	0	255
DATA	10:09:50:000	2023-12-14	604845	13.2449	582.776	0.0964434	402.11	703.267	12.6588	0.0713968	21.3509	14.9691	18.9636	79.9955	255	0	0	13.0701	2.00121	2.25647	13.21	98.9386	0	0	34586.7	43928.6	49309.1	52811.5	0	0	0	0	0	0	177
DATA	10:09:51:000	2023-12-14	605145	13.2751	584.104	0.0966121	402.968	690.293	12.4253	0.0704666	20.954	14.6795	18.95	80.0035	255	0	0	13.0701	2.00118	2.25647	13.21	98.9434	0	0	34581.9	43931	49321.8	52815.4	0	0	0	0	0	0	176
DATA	10:09:52:000	2023-12-14	605445	13.2768	584.179	0.0966208	403.058	689.387	12.409	0.0704008	20.9285	14.6584	18.9349	79.9917	255	0	0	13.0687	2.00125	2.25535	13.21	98.9451	0	0	34611.2	43931.1	49192.3	52806.2	0	0	0	0	0	0	164
DATA	10:09:53:000	2023-12-14	605745	13.2357	582.371	0.0963929	401.758	699.849	12.5973	0.0711534	21.2433	14.8913	18.9222	79.9986	255	0	0	13.0701	2.00114	2.25548	13.21	98.9436	0	0	34612	43931.4	49167.3	52804.9	0	0	0	0	0	0	121
