Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 14 2023 at 2:03:37
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	10:03:27:000	2023-12-14	489945	13.4485	591.734	0.0975894	409.804	756.255	13.6126	0.075129	23.0447	16.1601	20.0417	79.9944	255	0	0	13.0687	1.99535	2.25722	13.21	99.0747	0	0	34647.5	44044.6	49112.1	52942.9	0	0	0	0	0	0	173
DATA	10:03:28:000	2023-12-14	490245	13.447	591.668	0.0975825	409.777	757.795	13.6403	0.0752373	23.0926	16.1921	20.0441	79.9914	255	0	0	13.0687	1.99515	2.25797	13.21	99.0718	0	0	34648.8	44045.2	49105.3	52942.8	0	0	0	0	0	0	186
DATA	10:03:29:000	2023-12-14	490545	13.4502	591.809	0.0975994	409.895	759.045	13.6628	0.0753234	23.1319	16.2181	20.0467	79.988	255	0	0	13.0687	1.99531	2.25697	13.21	99.075	0	0	34648.3	44045.1	49100.9	52942.1	0	0	0	0	0	0	126
DATA	10:03:30:000	2023-12-14	490845	13.4572	592.117	0.0976373	410.129	762.258	13.7206	0.0755441	23.231	16.2846	20.0498	79.9848	255	0	0	13.0687	1.99537	2.25735	13.21	99.0749	0	0	34647.4	44044.5	49092.6	52942.8	0	0	0	0	0	0	170
DATA	10:03:31:000	2023-12-14	491145	13.4534	591.95	0.0976176	409.983	762.863	13.7315	0.0755877	23.2477	16.2972	20.0527	79.9916	255	0	0	13.068	1.99552	2.25772	13.21	99.0832	0	0	34648.7	44046.8	49091.8	52943.9	0	0	0	0	0	0	151
DATA	10:03:32:000	2023-12-14	491445	13.4507	591.831	0.0976042	409.903	762.854	13.7314	0.0755889	23.2476	16.2971	20.0554	79.9918	255	0	0	13.068	1.9955	2.25747	13.21	99.076	0	0	34644.7	44043.7	49087.4	52941.2	0	0	0	0	0	0	 75
DATA	10:03:33:000	2023-12-14	491745	13.4566	592.09	0.0976345	410.116	763.033	13.7346	0.0755987	23.2549	16.301	20.0581	79.9861	255	0	0	13.0687	1.99557	2.25735	13.21	99.079	0	0	34646.1	44044.5	49086	52940.5	0	0	0	0	0	0	221
DATA	10:03:34:000	2023-12-14	492045	13.4659	592.5	0.0976893	410.397	765.7	13.7826	0.0757856	23.3361	16.3559	20.061	79.9873	255	0	0	13.0687	1.99547	2.25834	13.21	99.0698	0	0	34642.4	44041.3	49068.7	52937.4	0	0	0	0	0	0	254
DATA	10:03:35:000	2023-12-14	492345	13.4647	592.447	0.097679	410.338	764.6	13.7628	0.0757062	23.3012	16.3335	20.0638	79.9926	255	0	0	13.0694	1.99528	2.25834	13.21	99.0712	0	0	34645.1	44043.7	49079.7	52940.8	0	0	0	0	0	0	 67
DATA	10:03:36:000	2023-12-14	492645	13.4611	592.288	0.0976609	410.279	765.713	13.7828	0.0757849	23.3381	16.3564	20.0664	79.9833	255	0	0	13.0694	1.99559	2.2576	13.21	99.0817	0	0	34645	44045.4	49075.1	52940.1	0	0	0	0	0	0	 89
DATA	10:03:37:000	2023-12-14	492945	13.4866	593.41	0.097804	411.047	770.186	13.8633	0.0760944	23.4739	16.4481	20.0692	79.9859	255	0	0	13.0687	1.99546	2.25772	13.21	99.0726	0	0	34641.7	44042.6	49065.5	52937.2	0	0	0	0	0	0	137
DATA	10:03:38:000	2023-12-14	493245	13.4703	592.693	0.0977101	410.521	767.466	13.8144	0.0759041	23.3893	16.3926	20.072	79.9923	255	0	0	13.068	1.99553	2.25772	13.21	99.0757	0	0	34642.2	44043.4	49066.4	52940.2	0	0	0	0	0	0	 98
