Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 11 2023 at 13:50:20
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	21:50:14:000	2023-12-11	711750	14.4124	634.146	0.102844	425.392	533.087	9.59557	0.0585895	15.7344	10.2982	10.5375	79.9093	255	0	0	13.0618	1.89104	1.97217	13.22	100.234	0	0	35512.2	45432.1	51717.8	54832.1	0	0	0	0	0	0	117
DATA	21:50:15:000	2023-12-11	712050	14.4155	634.282	0.102867	425.4	533.737	9.60727	0.0586452	15.7505	10.3164	10.537	79.9249	255	0	0	13.0611	1.89098	1.97279	13.22	100.228	0	0	35512.3	45430	51715.2	54831.2	0	0	0	0	0	0	109
DATA	21:50:16:000	2023-12-11	712350	14.4185	634.414	0.10288	425.516	534.269	9.61684	0.0586851	15.7672	10.3313	10.5365	79.9195	255	0	0	13.0598	1.89102	1.97217	13.22	100.228	0	0	35510.8	45429.8	51715.7	54830.3	0	0	0	0	0	0	 78
DATA	21:50:17:000	2023-12-11	712650	14.4318	634.999	0.102954	425.902	534.983	9.62969	0.0587427	15.7881	10.3513	10.5363	79.9206	255	0	0	13.0611	1.89096	1.97292	13.22	100.231	0	0	35508.1	45431.7	51710	54833.9	0	0	0	0	0	0	 42
DATA	21:50:18:000	2023-12-11	712950	14.4382	635.281	0.102983	426.127	535.458	9.63824	0.0587763	15.8034	10.3646	10.536	79.9138	255	0	0	13.0611	1.89091	1.97267	13.22	100.227	0	0	35508.7	45429.8	51711.8	54831.6	0	0	0	0	0	0	 91
DATA	21:50:19:000	2023-12-11	713250	14.4368	635.219	0.102981	426.055	536.371	9.65468	0.0588526	15.8292	10.3901	10.5359	79.9195	255	0	0	13.0598	1.89111	1.97217	13.22	100.229	0	0	35503.7	45429.6	51700.2	54832.1	0	0	0	0	0	0	132
DATA	21:50:20:000	2023-12-11	713550	14.4528	635.923	0.103063	426.55	537.406	9.67331	0.0589312	15.8606	10.419	10.5361	79.9153	255	0	0	13.0611	1.89091	1.97254	13.22	100.225	0	0	35506.7	45429.3	51705.8	54834.1	0	0	0	0	0	0	254
DATA	21:50:21:000	2023-12-11	713850	14.4537	635.963	0.103073	426.555	537.796	9.68033	0.0589654	15.8713	10.4299	10.5363	79.9194	255	0	0	13.0611	1.89077	1.97317	13.22	100.224	0	0	35505.6	45429.6	51704.4	54834.2	0	0	0	0	0	0	145
DATA	21:50:22:000	2023-12-11	714150	14.4595	636.218	0.103103	426.736	539.279	9.70702	0.0590819	15.9155	10.4712	10.5366	79.9177	255	0	0	13.0604	1.8907	1.97379	13.22	100.21	0	0	35498	45423.9	51694.3	54830.9	0	0	0	0	0	0	193
DATA	21:50:23:000	2023-12-11	714450	14.4491	635.76	0.103045	426.463	538.205	9.68769	0.0589952	15.885	10.4413	10.5366	79.9113	255	0	0	13.0618	1.89083	1.97205	13.22	100.216	0	0	35499.4	45425.4	51699.4	54833.2	0	0	0	0	0	0	 43
DATA	21:50:24:000	2023-12-11	714750	14.4566	636.09	0.103083	426.669	538.382	9.69088	0.0590082	15.8897	10.4462	10.5368	79.9143	255	0	0	13.0611	1.89074	1.97279	13.22	100.21	0	0	35494.9	45423.6	51685.2	54831.3	0	0	0	0	0	0	 54
DATA	21:50:25:000	2023-12-11	715050	14.457	636.108	0.103088	426.646	538.575	9.69435	0.0590249	15.8941	10.4516	10.5364	79.9207	255	0	0	13.0604	1.89085	1.97279	13.22	100.217	0	0	35500.5	45426	51698.9	54836.5	0	0	0	0	0	0	  0
DATA	21:50:26:000	2023-12-11	715350	14.464	636.416	0.103124	426.897	539.124	9.70423	0.0590668	15.912	10.4669	10.5367	79.9124	255	0	0	13.0618	1.89083	1.97155	13.22	100.223	0	0	35500.5	45428.6	51699.3	54839.8	0	0	0	0	0	0	 36
DATA	21:50:27:000	2023-12-11	715650	14.4729	636.808	0.103175	427.113	540.127	9.72229	0.0591479	15.9398	10.4947	10.537	79.9213	255	0	0	13.0632	1.89096	1.9718	13.22	100.217	0	0	35496	45425	51692.8	54836.8	0	0	0	0	0	0	116
DATA	21:50:28:000	2023-12-11	715950	14.4734	636.83	0.103179	427.125	540.594	9.73069	0.0591859	15.9535	10.5077	10.5371	79.9217	255	0	0	13.0611	1.89073	1.97367	13.22	100.21	0	0	35494.1	45423.7	51688.8	54835.9	0	0	0	0	0	0	 57
DATA	21:50:29:000	2023-12-11	716250	14.4895	637.538	0.103262	427.63	541.925	9.75465	0.0592878	15.9939	10.5446	10.5375	79.9164	255	0	0	13.0515	1.89085	1.97342	13.22	100.215	0	0	35492.7	45425.1	51686.2	54838.1	0	0	0	0	0	0	115
DATA	21:50:30:000	2023-12-11	716550	14.4777	637.019	0.103199	427.29	541.55	9.7479	0.0592594	15.9831	10.5343	10.5382	79.915	255	0	0	13.0618	1.89086	1.97279	13.22	100.22	0	0	35496.2	45427.3	51692.6	54843	0	0	0	0	0	0	 62
DATA	21:50:31:000	2023-12-11	716850	14.483	637.252	0.103231	427.437	541.803	9.75245	0.0592808	15.9903	10.5413	10.539	79.9169	255	0	0	13.0632	1.89076	1.97217	13.22	100.209	0	0	35490.2	45422.9	51684.6	54840	0	0	0	0	0	0	178
DATA	21:50:32:000	2023-12-11	717150	14.4856	637.366	0.103244	427.533	542.292	9.76126	0.0593193	16.0054	10.5549	10.5395	79.9135	255	0	0	13.0625	1.89062	1.97292	13.22	100.208	0	0	35492.2	45423.4	51686.4	54840.2	0	0	0	0	0	0	118
DATA	21:50:33:000	2023-12-11	717450	14.5027	638.119	0.103336	428.012	544.071	9.79328	0.0594584	16.0569	10.6041	10.5406	79.9186	255	0	0	13.0632	1.89085	1.97292	13.22	100.21	0	0	35490.5	45422.7	51683.8	54840.8	0	0	0	0	0	0	 70
DATA	21:50:34:000	2023-12-11	717750	14.508	638.352	0.103368	428.186	544.214	9.79585	0.0594721	16.0618	10.6081	10.5417	79.9156	255	0	0	13.0618	1.89086	1.97205	13.22	100.209	0	0	35486.7	45422.2	51680.8	54842	0	0	0	0	0	0	246
DATA	21:50:35:000	2023-12-11	718050	14.5165	638.726	0.103413	428.395	545.263	9.81473	0.0595539	16.0912	10.637	10.5427	79.9238	255	0	0	13.0556	1.89076	1.97279	13.22	100.21	0	0	35487.6	45423.3	51682.3	54844.2	0	0	0	0	0	0	 41
DATA	21:50:36:000	2023-12-11	718350	14.5025	638.11	0.103333	428.031	543.772	9.7879	0.059434	16.049	10.596	10.5441	79.915	255	0	0	13.0618	1.8909	1.9723	13.22	100.209	0	0	35485.6	45422.1	51679.9	54844.8	0	0	0	0	0	0	236
DATA	21:50:37:000	2023-12-11	718650	14.5235	639.034	0.10345	428.633	544.845	9.80721	0.0595203	16.08	10.6256	10.545	79.9185	255	0	0	13.0618	1.89077	1.9723	13.22	100.2	0	0	35482.6	45418.6	51677.2	54843.2	0	0	0	0	0	0	 26
DATA	21:50:38:000	2023-12-11	718950	14.5173	638.761	0.103415	428.49	544.911	9.8084	0.0595248	16.0835	10.6275	10.5467	79.9115	255	0	0	13.0604	1.89095	1.97442	13.22	100.206	0	0	35484.1	45420.2	51682.5	54846	0	0	0	0	0	0	192
DATA	21:50:39:000	2023-12-11	719250	14.5283	639.245	0.103474	428.802	545.43	9.81774	0.0595654	16.0984	10.6419	10.5481	79.9142	255	0	0	13.0584	1.89085	1.97279	13.22	100.209	0	0	35482.2	45422.2	51680	54848.4	0	0	0	0	0	0	  4
DATA	21:50:40:000	2023-12-11	719550	14.5248	639.091	0.103457	428.693	545.801	9.82442	0.0595954	16.1091	10.6522	10.5493	79.9156	255	0	0	13.0611	1.891	1.97242	13.22	100.209	0	0	35484	45421.2	51680.6	54848.1	0	0	0	0	0	0	178
DATA	21:50:41:000	2023-12-11	719850	14.5328	639.443	0.103499	428.948	546.226	9.83207	0.0596283	16.1223	10.664	10.5511	79.9127	255	0	0	13.0611	1.89075	1.97254	13.22	100.198	0	0	35469.3	45418	51660.7	54844.5	0	0	0	0	0	0	254
