Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 6:48:24
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	12:48:25:000	2023-12-03	703590	13.3803	588.733	0.0972354	421.986	479.651	8.63372	0.0543182	15.1272	9.76214	31.0279	80.1873	255	0	0	11.3836	2.14256	2.66036	11.59	98.2324	0	0	33156.3	42106.9	48203.7	50664.4	0	0	0	0	0	0	201
DATA	12:48:26:000	2023-12-03	703890	13.3799	588.716	0.0972341	421.982	480.857	8.65543	0.0544181	15.1655	9.80013	31.0391	80.1886	255	0	0	11.3719	2.14277	2.66285	11.59	98.2387	0	0	33156.7	42107.2	48185.5	50663.4	0	0	0	0	0	0	232
DATA	12:48:27:000	2023-12-03	704190	13.3764	588.562	0.0972134	421.91	480.963	8.65733	0.0544261	15.1702	9.80403	31.0517	80.1846	255	0	0	11.3774	2.14268	2.6621	11.59	98.2301	0	0	33153.2	42104.5	48178.8	50660.8	0	0	0	0	0	0	 76
DATA	12:48:28:000	2023-12-03	704490	13.3816	588.79	0.0972459	422.059	486.276	8.75297	0.0548658	15.3373	9.96851	31.0631	80.1905	255	0	0	11.3747	2.14274	2.6626	11.59	98.2327	0	0	33157.4	42104.9	48172.1	50659.5	0	0	0	0	0	0	144
DATA	12:48:29:000	2023-12-03	704790	13.3959	589.42	0.0973246	422.531	490.548	8.82986	0.0552151	15.4728	10.0997	31.0739	80.1893	255	0	0	11.3823	2.14258	2.6631	11.59	98.2213	0	0	33150.7	42102	48144.5	50656.3	0	0	0	0	0	0	  4
DATA	12:48:30:000	2023-12-03	705090	13.3904	589.178	0.0972951	422.39	491.818	8.85272	0.0553196	15.514	10.1389	31.0854	80.1862	255	0	0	11.3816	2.14256	2.66298	11.59	98.2299	0	0	33154	42105.8	48147.6	50659.4	0	0	0	0	0	0	 21
DATA	12:48:31:000	2023-12-03	705390	13.3808	588.755	0.0972413	422.101	490.228	8.8241	0.0551897	15.4644	10.0911	31.0963	80.1864	255	0	0	11.3829	2.14259	2.66273	11.59	98.2196	0	0	33150.8	42101.1	48143.7	50653.7	0	0	0	0	0	0	128
DATA	12:48:32:000	2023-12-03	705690	13.3954	589.398	0.0973218	422.565	492.09	8.85762	0.0553412	15.5232	10.1483	31.1074	80.1887	255	0	0	11.3726	2.14275	2.66223	11.59	98.2307	0	0	33151.6	42104	48134.4	50656.7	0	0	0	0	0	0	 41
DATA	12:48:33:000	2023-12-03	705990	13.4026	589.714	0.097363	422.794	495.432	8.91778	0.0556144	15.6287	10.25	31.1181	80.1912	255	0	0	11.3747	2.14272	2.66298	11.59	98.2254	0	0	33149.6	42102.1	48123.9	50654.6	0	0	0	0	0	0	 49
DATA	12:48:34:000	2023-12-03	706290	13.3985	589.534	0.0973405	422.703	495.861	8.9255	0.0556499	15.6437	10.2634	31.127	80.1863	255	0	0	11.3733	2.1424	2.6636	11.59	98.2167	0	0	33148.3	42102	48117.9	50653.7	0	0	0	0	0	0	159
DATA	12:48:35:000	2023-12-03	706590	13.3965	589.446	0.097329	422.639	498.17	8.96706	0.0558377	15.7165	10.3335	31.137	80.189	255	0	0	11.3754	2.14248	2.6626	11.59	98.2215	0	0	33149.1	42103.2	48110.2	50654	0	0	0	0	0	0	110
DATA	12:48:36:000	2023-12-03	706890	13.408	589.952	0.0973953	423.02	498.799	8.97838	0.0558903	15.737	10.3529	31.1481	80.1886	255	0	0	11.3699	2.14259	2.66397	11.59	98.2204	0	0	33147.4	42101.4	48107.5	50652.1	0	0	0	0	0	0	 88
DATA	12:48:37:000	2023-12-03	707190	13.3961	589.428	0.0973265	422.68	498.935	8.98083	0.0558999	15.7426	10.3576	31.1602	80.1851	255	0	0	11.3726	2.14277	2.66347	11.59	98.2275	0	0	33150.5	42102.4	48110.7	50652.8	0	0	0	0	0	0	175
DATA	12:48:38:000	2023-12-03	707490	13.39	589.16	0.0972883	422.544	498.342	8.97016	0.0558487	15.726	10.3404	31.1723	80.1775	255	0	0	11.374	2.14264	2.66347	11.59	98.2195	0	0	33150.2	42100.4	48107.2	50651.3	0	0	0	0	0	0	190
DATA	12:48:39:000	2023-12-03	707790	13.3935	589.314	0.0973142	422.613	500.226	9.00407	0.0560062	15.7839	10.3975	31.1847	80.1887	255	0	0	11.3754	2.14274	2.6631	11.59	98.2214	0	0	33148	42100.2	48097.4	50650.8	0	0	0	0	0	0	 28
DATA	12:48:40:000	2023-12-03	708090	13.3991	589.56	0.0973422	422.814	502.782	9.05008	0.0562114	15.8655	10.4745	31.1973	80.1873	255	0	0	11.3754	2.14273	2.6626	11.59	98.2149	0	0	33144.8	42097.4	48079.3	50645.4	0	0	0	0	0	0	 98
DATA	12:48:41:000	2023-12-03	708390	13.4017	589.675	0.0973589	422.921	505.062	9.09112	0.0563978	15.9384	10.543	31.2107	80.1861	255	0	0	11.3603	2.14262	2.66435	11.59	98.2103	0	0	33142.8	42096.8	48070.1	50644.8	0	0	0	0	0	0	130
DATA	12:48:42:000	2023-12-03	708690	13.4321	591.012	0.0975281	423.93	510.878	9.1958	0.0568668	16.1238	10.7155	31.2234	80.1801	255	0	0	11.3713	2.1428	2.66509	11.59	98.2171	0	0	33138.6	42097.6	48043.9	50643.8	0	0	0	0	0	0	 38
DATA	12:48:43:000	2023-12-03	708990	13.419	590.436	0.0974591	423.468	511.245	9.20241	0.0568998	16.1335	10.7268	31.2332	80.1919	255	0	0	11.374	2.14271	2.66385	11.59	98.2106	0	0	33140.6	42095.9	48046.7	50643.6	0	0	0	0	0	0	 98
DATA	12:48:44:000	2023-12-03	709290	13.4156	590.286	0.097433	423.462	511.215	9.20187	0.0568921	16.1364	10.7265	31.2464	80.1762	255	0	0	11.3733	2.14262	2.66547	11.59	98.2096	0	0	33141.5	42096.5	48046.5	50644.3	0	0	0	0	0	0	127
DATA	12:48:45:000	2023-12-03	709590	13.4154	590.278	0.0974356	423.425	512.171	9.21908	0.0569718	16.1655	10.7553	31.2598	80.1855	255	0	0	11.3603	2.14274	2.66547	11.59	98.214	0	0	33142.6	42097	48039.7	50643.8	0	0	0	0	0	0	 61
DATA	12:48:46:000	2023-12-03	709890	13.4092	590.005	0.0974018	423.244	511.977	9.21559	0.0569567	16.1599	10.7502	31.2732	80.1863	255	0	0	11.3713	2.14272	2.66447	11.59	98.2104	0	0	33143.3	42095.6	48042.2	50641.9	0	0	0	0	0	0	186
DATA	12:48:47:000	2023-12-03	710190	13.4166	590.33	0.0974437	423.51	513.339	9.2401	0.057067	16.2041	10.7909	31.2873	80.1839	255	0	0	11.3726	2.14258	2.66385	11.59	98.2039	0	0	33134.2	42094.5	48016.1	50638.1	0	0	0	0	0	0	220
DATA	12:48:48:000	2023-12-03	710490	13.5001	594.004	0.0979111	426.202	531.082	9.55948	0.0584859	16.7664	11.3033	31.3018	80.1771	255	0	0	11.3733	2.14243	2.66559	11.59	98.1998	0	0	33122.3	42094.4	47957.5	50636.2	0	0	0	0	0	0	188
DATA	12:48:49:000	2023-12-03	710790	13.4453	591.593	0.0976028	424.48	520.301	9.36542	0.0576247	16.4264	10.9949	31.3154	80.1791	255	0	0	11.3747	2.14267	2.66485	11.59	98.1995	0	0	33134.8	42091.6	48011	50636.2	0	0	0	0	0	0	 60
DATA	12:48:50:000	2023-12-03	711090	13.4343	591.109	0.0975423	424.141	520.195	9.36351	0.057617	16.4233	10.9925	31.3294	80.1812	255	0	0	11.3719	2.1426	2.66485	11.59	98.2034	0	0	33135.8	42094	48004	50637.8	0	0	0	0	0	0	120
DATA	12:48:51:000	2023-12-03	711390	13.4923	593.661	0.0978667	426.018	533.326	9.59987	0.0586638	16.8397	11.3689	31.3407	80.1756	255	0	0	11.3726	2.14261	2.66509	11.59	98.1697	0	0	33119.4	42079.5	47976.7	50625.5	0	0	0	0	0	0	  7
DATA	12:48:52:000	2023-12-03	711690	13.4509	591.84	0.0976324	424.754	525.115	9.45207	0.0580082	16.5821	11.1356	31.3559	80.1715	255	0	0	11.3733	2.14258	2.66534	11.59	98.1937	0	0	33131.3	42090.2	47982.1	50632.6	0	0	0	0	0	0	126
DATA	12:48:53:000	2023-12-03	711990	13.4326	591.034	0.0975301	424.175	529.454	9.53017	0.058354	16.7191	11.2604	31.3707	80.1755	255	0	0	11.3726	2.14281	2.66559	11.59	98.2014	0	0	33123.2	42090.8	47917.8	50627.9	0	0	0	0	0	0	131
DATA	12:48:54:000	2023-12-03	712290	13.5559	596.46	0.0982242	428.065	559.873	10.0777	0.0607521	17.6795	12.1067	31.3867	80.1804	255	0	0	11.3706	2.14278	2.66634	11.59	98.2005	0	0	33110.2	42090.7	47849.6	50623.8	0	0	0	0	0	0	153
DATA	12:48:55:000	2023-12-03	712590	13.4828	593.243	0.0978139	425.766	538.702	9.69664	0.0590895	17.0114	11.5233	31.4003	80.1822	255	0	0	11.3719	2.1429	2.66534	11.59	98.1991	0	0	33117.5	42088.7	47893.9	50625	0	0	0	0	0	0	 76
DATA	12:48:56:000	2023-12-03	712890	13.5043	594.189	0.0979371	426.45	545.51	9.81918	0.0596287	17.2266	11.714	31.4132	80.1847	255	0	0	11.3713	2.14295	2.66472	11.59	98.205	0	0	33115	42090.7	47862.3	50625.7	0	0	0	0	0	0	163
DATA	12:48:57:000	2023-12-03	713190	13.4771	592.992	0.0977824	425.591	539.459	9.71026	0.0591495	17.0355	11.5459	31.4263	80.1881	255	0	0	11.374	2.14256	2.66559	11.59	98.19	0	0	33122.2	42088.7	47907.8	50626.2	0	0	0	0	0	0	 82
DATA	12:48:58:000	2023-12-03	713490	13.5015	594.066	0.0979163	426.416	546.411	9.8354	0.0596958	17.2572	11.7401	31.4359	80.1805	255	0	0	11.3726	2.14276	2.66609	11.59	98.1949	0	0	33120.2	42088.6	47907.4	50625.6	0	0	0	0	0	0	167
DATA	12:48:59:000	2023-12-03	713790	13.5006	594.026	0.0979173	426.398	545.405	9.81729	0.0596209	17.2259	11.7128	31.4483	80.1817	255	0	0	11.3719	2.14295	2.66609	11.59	98.2015	0	0	33121.5	42089.2	47901.3	50626.2	0	0	0	0	0	0	211
DATA	12:49:00:000	2023-12-03	714090	13.5054	594.238	0.0979391	426.597	540.015	9.72027	0.0591926	17.0575	11.5632	31.4622	80.1765	255	0	0	11.3637	2.1428	2.66684	11.59	98.1967	0	0	33118.9	42088.9	47909.9	50625.8	0	0	0	0	0	0	179
DATA	12:49:01:000	2023-12-03	714390	13.4605	592.262	0.0976932	425.162	539.295	9.70731	0.059139	17.0341	11.5438	31.477	80.1835	255	0	0	11.3713	2.14293	2.66697	11.59	98.2015	0	0	33123.4	42089.4	47910.8	50626.6	0	0	0	0	0	0	 91
DATA	12:49:02:000	2023-12-03	714690	13.5001	594.004	0.0979107	426.451	544.312	9.79762	0.059532	17.1941	11.6846	31.4924	80.1805	255	0	0	11.3706	2.14284	2.66746	11.59	98.1929	0	0	33119	42086.8	47895.8	50623.1	0	0	0	0	0	0	 56
DATA	12:49:03:000	2023-12-03	714990	13.497	593.868	0.0978906	426.374	544.825	9.80685	0.0595705	17.2112	11.6996	31.5074	80.1804	255	0	0	11.3692	2.14289	2.66659	11.59	98.1887	0	0	33118.1	42084.3	47889.3	50619.4	0	0	0	0	0	0	214
DATA	12:49:04:000	2023-12-03	715290	13.4716	592.75	0.0977503	425.593	545.112	9.81202	0.0595942	17.2211	11.7083	31.5221	80.1802	255	0	0	11.3692	2.14303	2.66697	11.59	98.1956	0	0	33121.8	42085.7	47886.7	50619.5	0	0	0	0	0	0	143
DATA	12:49:05:000	2023-12-03	715590	13.4978	593.903	0.0978988	426.46	548.215	9.86787	0.0598396	17.3207	11.7951	31.5384	80.1771	255	0	0	11.3699	2.14274	2.66697	11.59	98.1881	0	0	33114.6	42085.8	47875.2	50619.6	0	0	0	0	0	0	237
DATA	12:49:06:000	2023-12-03	715890	13.4954	593.798	0.0978854	426.411	547.44	9.85392	0.0597789	17.2973	11.7745	31.5551	80.1765	255	0	0	11.3713	2.14301	2.66846	11.59	98.1945	0	0	33116.8	42085.5	47876	50619.2	0	0	0	0	0	0	116
DATA	12:49:07:000	2023-12-03	716190	13.5028	594.123	0.0979229	426.672	548.192	9.86746	0.0598351	17.3222	11.7961	31.5723	80.176	255	0	0	11.3692	2.14281	2.66734	11.59	98.1873	0	0	33111.7	42084.8	47869.3	50618.6	0	0	0	0	0	0	179
DATA	12:49:08:000	2023-12-03	716490	13.4969	593.864	0.0978942	426.49	547.471	9.85448	0.0597813	17.2996	11.7771	31.5896	80.1796	255	0	0	11.3692	2.14285	2.66809	11.59	98.186	0	0	33113.8	42083.8	47876.7	50617.6	0	0	0	0	0	0	199
DATA	12:49:09:000	2023-12-03	716790	13.4797	593.107	0.0977973	425.992	547.579	9.85642	0.0597892	17.3049	11.7809	31.6065	80.1755	255	0	0	11.3713	2.14261	2.66771	11.59	98.1746	0	0	33115.3	42081.6	47874.6	50613.9	0	0	0	0	0	0	  7
DATA	12:49:10:000	2023-12-03	717090	13.5366	595.61	0.0981191	427.746	552.549	9.94588	0.0601823	17.4601	11.9187	31.6243	80.1885	255	0	0	11.3706	2.14319	2.66746	11.59	98.1951	0	0	33106	42083.6	47846.9	50615.3	0	0	0	0	0	0	 70
DATA	12:49:11:000	2023-12-03	717390	13.5317	595.395	0.0980889	427.644	554.541	9.98174	0.0603359	17.5252	11.9741	31.6405	80.1828	255	0	0	11.3589	2.14293	2.66884	11.59	98.1844	0	0	33107	42082.1	47845.6	50614	0	0	0	0	0	0	 36
DATA	12:49:12:000	2023-12-03	717690	13.5321	595.412	0.0980919	427.684	558.834	10.059	0.0606715	17.662	12.0918	31.6545	80.1814	255	0	0	11.3678	2.14303	2.66796	11.59	98.1816	0	0	33103.6	42079.8	47817.1	50609.2	0	0	0	0	0	0	105
DATA	12:49:13:000	2023-12-03	717990	13.5373	595.641	0.0981228	427.844	560.345	10.0862	0.0607906	17.7096	12.1337	31.6713	80.1866	255	0	0	11.3685	2.14304	2.66846	11.59	98.1855	0	0	33105.7	42081.3	47822.1	50611.3	0	0	0	0	0	0	190
DATA	12:49:14:000	2023-12-03	718290	13.5307	595.351	0.0980847	427.677	559.983	10.0797	0.0607613	17.6999	12.1247	31.6873	80.183	255	0	0	11.3692	2.143	2.66871	11.59	98.1754	0	0	33102.9	42077.4	47813.5	50606.5	0	0	0	0	0	0	 78
