Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 13:27:54
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	19:27:54:000	2023-12-03	897390	13.9409	613.4	0.100412	416.884	567.51	10.2152	0.0613885	16.9706	11.5253	15.9778	80.385	255	0	0	12.375	1.95206	2.12093	12.55	97.4444			34264.2	43701.1	49754.2	52862.4	0	0	0	0	0	0	 48
DATA	19:27:55:000	2023-12-03	897690	13.9511	613.848	0.100469	417.212	567.603	10.2169	0.0613963	16.9744	11.5277	15.9759	80.3801	255	0	0	12.3736	1.95173	2.11968	12.55	97.4413			34265.4	43702.4	49761.7	52864	0	0	0	0	0	0	238
DATA	19:27:56:000	2023-12-03	897990	13.9531	613.936	0.100479	417.269	568.484	10.2327	0.0614643	17.0006	11.551	15.9745	80.3803	255	0	0	12.3729	1.95171	2.12143	12.55	97.4439			34262.5	43703.8	49755.6	52864.5	0	0	0	0	0	0	 19
DATA	19:27:57:000	2023-12-03	898290	13.9477	613.699	0.100449	417.124	566.985	10.2057	0.0613477	16.9564	11.511	15.9728	80.3767	255	0	0	12.3743	1.95183	2.12068	12.55	97.4488			34264.7	43705	49765	52865.1	0	0	0	0	0	0	114
DATA	19:27:58:000	2023-12-03	898590	13.958	614.152	0.100505	417.423	567.268	10.2108	0.0613693	16.9645	11.5185	15.9714	80.378	255	0	0	12.375	1.9517	2.12006	12.55	97.44			34270.3	43702	49777	52865.1	0	0	0	0	0	0	 66
DATA	19:27:59:000	2023-12-03	898890	13.883	610.852	0.100091	415.166	559.831	10.077	0.0607908	16.7415	11.3191	15.9704	80.3804	255	0	0	12.3743	1.95197	2.12118	12.55	97.4495			34278.1	43704.2	49794.3	52867.4	0	0	0	0	0	0	228
DATA	19:28:00:000	2023-12-03	899190	13.8808	610.755	0.100083	415.093	559.626	10.0733	0.0607777	16.7351	11.3136	15.9704	80.3818	255	0	0	12.3736	1.95164	2.12068	12.55	97.4403			34275.2	43702.8	49791.6	52863.9	0	0	0	0	0	0	 56
DATA	19:28:01:000	2023-12-03	899490	13.8935	611.314	0.10015	415.492	560.524	10.0894	0.0608454	16.7627	11.3378	15.9712	80.3784	255	0	0	12.3743	1.95203	2.12106	12.55	97.4524			34269.5	43704.9	49776.2	52865.3	0	0	0	0	0	0	  1
DATA	19:28:02:000	2023-12-03	899790	13.8947	611.367	0.100157	415.517	561.154	10.1008	0.0608947	16.7812	11.3548	15.972	80.3806	255	0	0	12.3743	1.95183	2.12093	12.55	97.4488			34273.8	43704.9	49784.6	52868.3	0	0	0	0	0	0	 30
DATA	19:28:03:000	2023-12-03	900090	13.8943	611.349	0.100151	415.544	560.97	10.0975	0.0608779	16.7772	11.3499	15.9726	80.3733	255	0	0	12.3743	1.95185	2.12118	12.55	97.4493			34274.7	43705	49785.5	52868.3	0	0	0	0	0	0	182
DATA	19:28:04:000	2023-12-03	900390	13.9147	612.247	0.100268	416.136	562.293	10.1213	0.0609839	16.816	11.3855	15.9731	80.377	255	0	0	12.3729	1.95185	2.12093	12.55	97.4482			34273.7	43704.5	49784.7	52867.4	0	0	0	0	0	0	211
DATA	19:28:05:000	2023-12-03	900690	13.9509	613.84	0.100465	417.21	565.785	10.1841	0.061253	16.9202	11.4791	15.9738	80.3787	255	0	0	12.3736	1.95198	2.12093	12.55	97.445			34255.6	43702	49749.6	52860.3	0	0	0	0	0	0	 12
DATA	19:28:06:000	2023-12-03	900990	13.9913	615.617	0.100688	418.434	566.651	10.1997	0.0613212	16.9467	11.5022	15.9736	80.3757	255	0	0	12.3736	1.95206	2.12043	12.55	97.4533			34245.9	43705.1	49759.1	52865.7	0	0	0	0	0	0	 62
DATA	19:28:07:000	2023-12-03	901290	14.0416	617.83	0.100963	419.93	566.121	10.1902	0.0612781	16.9305	11.488	15.9727	80.377	255	0	0	12.3736	1.95203	2.12218	12.55	97.4537			34236.6	43705.5	49767.2	52867.4	0	0	0	0	0	0	 98
DATA	19:28:08:000	2023-12-03	901590	13.9291	612.88	0.10035	416.543	564.329	10.1579	0.0611442	16.876	11.4401	15.9723	80.3812	255	0	0	12.3723	1.95192	2.12081	12.55	97.4498			34267.9	43704.6	49772	52865.9	0	0	0	0	0	0	 60
