Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 6:33:02
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	12:33:03:000	2023-12-03	426990	13.5575	596.53	0.0982167	426.892	391.499	7.04698	0.0467683	12.3273	6.74659	30.515	80.18	255	0	0	11.4971	2.14862	2.65711	11.59	98.6623	0	0	33153.2	42220.9	48644.1	50787.2	0	0	0	0	0	0	 29
DATA	12:33:04:000	2023-12-03	427290	13.9057	611.851	0.100143	437.916	397.735	7.15923	0.0473195	12.5254	6.97724	30.5255	80.1719	255	0	0	11.495	2.14853	2.65587	11.59	98.6654	0	0	33218.1	42223.3	48598.2	50787.2	0	0	0	0	0	0	108
DATA	12:33:05:000	2023-12-03	427590	13.4935	593.714	0.0978511	424.951	364.863	6.56753	0.0443655	11.4906	5.72657	30.5351	80.1713	255	0	0	11.4957	2.14858	2.65699	11.59	98.6657	0	0	33235	42222.8	48771.3	50798.4	0	0	0	0	0	0	146
DATA	12:33:06:000	2023-12-03	427890	13.4805	593.142	0.0977857	424.553	411.414	7.40545	0.0485217	12.957	7.47205	30.5447	80.1717	255	0	0	11.4854	2.1484	2.65724	11.59	98.6593	0	0	33124.3	42222.2	48618.9	50787.9	0	0	0	0	0	0	111
DATA	12:33:07:000	2023-12-03	428190	13.4167	590.335	0.0974265	422.549	399.194	7.18549	0.0474478	12.5723	7.0319	30.552	80.1726	255	0	0	11.4964	2.14849	2.65761	11.59	98.6702	0	0	33247.8	42225.8	48626.4	50788.6	0	0	0	0	0	0	136
DATA	12:33:08:000	2023-12-03	428490	13.3989	589.552	0.0973246	422.024	400.778	7.214	0.0475861	12.6233	7.09011	30.5613	80.1684	255	0	0	11.495	2.14849	2.65649	11.59	98.6708	0	0	33243.9	42226	48624.2	50788.6	0	0	0	0	0	0	221
DATA	12:33:09:000	2023-12-03	428790	13.4743	592.869	0.0977476	424.37	400.578	7.2104	0.0475694	12.6161	7.08332	30.5715	80.1765	255	0	0	11.495	2.14848	2.65786	11.59	98.674	0	0	33244.6	42227.6	48684.6	50794.9	0	0	0	0	0	0	 46
DATA	12:33:10:000	2023-12-03	429090	13.2989	585.152	0.096767	418.917	423.578	7.6244	0.0495776	13.3428	7.90094	30.5802	80.1651	255	0	0	11.4929	2.14834	2.65699	11.59	98.6695	0	0	33257.7	42227.2	48679.5	50794.8	0	0	0	0	0	0	164
DATA	12:33:11:000	2023-12-03	429390	13.3079	585.548	0.0968175	419.192	422.448	7.60406	0.0494796	13.3069	7.86194	30.5849	80.168	255	0	0	11.484	2.14849	2.65649	11.59	98.6739	0	0	33266.8	42227.4	48511.4	50784	0	0	0	0	0	0	 57
DATA	12:33:12:000	2023-12-03	429690	13.3531	587.536	0.0970699	420.628	406.575	7.31835	0.0480969	12.8073	7.3012	30.59	80.1671	255	0	0	11.4936	2.14822	2.65711	11.59	98.6728	0	0	33260.8	42230.1	48606.4	50793.1	0	0	0	0	0	0	 44
DATA	12:33:13:000	2023-12-03	429990	13.5766	597.37	0.098321	427.631	410.502	7.38904	0.0484414	12.9298	7.44189	30.5927	80.1748	255	0	0	11.4936	2.14824	2.65574	11.59	98.6727	0	0	33232.1	42229.8	48677.7	50796.7	0	0	0	0	0	0	146
DATA	12:33:14:000	2023-12-03	430290	13.4361	591.188	0.0975331	423.228	363.037	6.53467	0.0442001	11.4354	5.657	30.5943	80.171	255	0	0	11.4943	2.14827	2.65599	11.59	98.6722	0	0	33249.6	42229.2	48795.3	50803.1	0	0	0	0	0	0	 28
DATA	12:33:15:000	2023-12-03	430590	13.337	586.828	0.0969811	420.088	395.823	7.12481	0.047149	12.4676	6.9101	30.5898	80.1733	255	0	0	11.4943	2.148	2.65662	11.59	98.6693	0	0	33254.1	42231.1	48780.8	50803.7	0	0	0	0	0	0	210
DATA	12:33:16:000	2023-12-03	430890	13.4027	589.719	0.0973475	422.147	374.011	6.7322	0.0451974	11.7803	6.08676	30.584	80.1738	255	0	0	11.484	2.14796	2.65674	11.59	98.6661	0	0	33256.6	42230.2	48752	50801.3	0	0	0	0	0	0	207
DATA	12:33:17:000	2023-12-03	431190	13.2894	584.734	0.0967165	418.577	412.092	7.41766	0.0485815	12.9797	7.49782	30.5793	80.1728	255	0	0	11.4929	2.14801	2.65499	11.59	98.6725	0	0	33275.3	42232.3	48597.4	50794.8	0	0	0	0	0	0	  9
DATA	12:33:18:000	2023-12-03	431490	13.6049	598.616	0.098471	428.545	365.659	6.58186	0.0444372	11.518	5.76021	30.5811	80.1674	255	0	0	11.4929	2.14796	2.65637	11.59	98.6706	0	0	33201.8	42232.2	48820.2	50806.9	0	0	0	0	0	0	113
DATA	12:33:19:000	2023-12-03	431790	13.4322	591.017	0.0975143	423.064	379.364	6.82855	0.0456813	11.9485	6.29263	30.5847	80.1762	255	0	0	11.4936	2.14812	2.65612	11.59	98.6777	0	0	33253.5	42233.3	48761.7	50806.9	0	0	0	0	0	0	214
DATA	12:33:20:000	2023-12-03	432090	13.4698	592.671	0.0977198	424.25	358.771	6.45788	0.0438156	11.3	5.48603	30.5813	80.1749	255	0	0	11.4936	2.14789	2.65674	11.59	98.67	0	0	33257.8	42232.7	48673.5	50798.3	0	0	0	0	0	0	198
DATA	12:33:21:000	2023-12-03	432390	13.4268	590.779	0.0974833	422.893	391.992	7.05586	0.0468096	12.3462	6.76757	30.5706	80.1727	255	0	0	11.495	2.14818	2.65512	11.59	98.6836	0	0	33239.2	42235.2	48896.7	50814.8	0	0	0	0	0	0	198
DATA	12:33:22:000	2023-12-03	432690	13.3859	588.98	0.097259	421.539	416.265	7.49277	0.0489457	13.1087	7.64445	30.5596	80.1822	255	0	0	11.4923	2.14802	2.65624	11.59	98.675	0	0	33244.5	42233.3	48645.2	50800.3	0	0	0	0	0	0	 70
DATA	12:33:23:000	2023-12-03	432990	13.5227	594.999	0.0980128	425.894	370.624	6.67123	0.0448886	11.6727	5.95353	30.5495	80.1708	255	0	0	11.4929	2.14792	2.65624	11.59	98.6709	0	0	33229.3	42232.8	48834.5	50810.4	0	0	0	0	0	0	241
DATA	12:33:24:000	2023-12-03	433290	13.597	598.268	0.0984294	428.174	361.743	6.51137	0.0440813	11.3914	5.60283	30.5378	80.179	255	0	0	11.4881	2.1479	2.65375	11.59	98.6749	0	0	33209.2	42234.7	48828.2	50811.8	0	0	0	0	0	0	 69
DATA	12:33:25:000	2023-12-03	433590	13.6748	601.691	0.098868	430.582	399.171	7.18508	0.047447	12.5688	7.02987	30.5272	80.184	255	0	0	11.495	2.14777	2.65524	11.59	98.6714	0	0	33226	42234.7	48685.4	50803.7	0	0	0	0	0	0	192
DATA	12:33:26:000	2023-12-03	433890	13.3946	589.362	0.0973034	421.771	385.215	6.93387	0.046204	12.1297	6.51168	30.5214	80.1802	255	0	0	11.4929	2.14764	2.65499	11.59	98.6685	0	0	33275.9	42235	48612.5	50797.2	0	0	0	0	0	0	 74
DATA	12:33:27:000	2023-12-03	434190	13.4522	591.897	0.0976267	423.546	363.264	6.53875	0.0442224	11.4375	5.66207	30.5112	80.1848	255	0	0	11.4929	2.14753	2.65499	11.59	98.6665	0	0	33236.8	42235.4	48711.8	50806.1	0	0	0	0	0	0	215
DATA	12:33:28:000	2023-12-03	434490	13.4297	590.907	0.0975015	422.788	373.279	6.71902	0.0451332	11.7514	6.05421	30.4958	80.1901	255	0	0	11.4936	2.14778	2.65499	11.59	98.6789	0	0	33248.4	42237.8	48858.6	50817.1	0	0	0	0	0	0	240
DATA	12:33:29:000	2023-12-03	434790	13.4774	593.006	0.0977664	424.281	365.084	6.57151	0.0443881	11.4932	5.73245	30.4749	80.1862	255	0	0	11.4936	2.14764	2.65524	11.59	98.6719	0	0	33246.4	42236.4	48815.7	50813.1	0	0	0	0	0	0	217
DATA	12:33:30:000	2023-12-03	435090	13.3373	586.841	0.0969874	419.841	400.196	7.20353	0.0475378	12.5977	7.06384	30.4558	80.1868	255	0	0	11.4902	2.14766	2.65412	11.59	98.6761	0	0	33277.9	42238	48624.2	50803.2	0	0	0	0	0	0	122
DATA	12:33:31:000	2023-12-03	435390	13.466	592.504	0.0977014	423.855	354.04	6.37272	0.0433715	11.1437	5.28822	30.4382	80.1893	255	0	0	11.4916	2.14745	2.65612	11.59	98.6726	0	0	33235.8	42238.9	48971.4	50824.5	0	0	0	0	0	0	 92
DATA	12:33:32:000	2023-12-03	435690	13.5327	595.439	0.098069	425.969	330.667	5.95201	0.0411926	10.4084	4.30913	30.4185	80.1814	255	0	0	11.4923	2.1477	2.65412	11.59	98.6809	0	0	33220.1	42239.6	49104.8	50832.3	0	0	0	0	0	0	 81
DATA	12:33:33:000	2023-12-03	435990	13.5531	596.336	0.0981832	426.549	325.371	5.85668	0.0406915	10.2402	4.07757	30.3874	80.1848	255	0	0	11.4916	2.14735	2.65325	11.59	98.6709	0	0	33216.6	42239.3	49126.3	50832.7	0	0	0	0	0	0	211
DATA	12:33:34:000	2023-12-03	436290	13.5392	595.725	0.0981069	426.039	326.273	5.87291	0.0407776	10.2669	4.11521	30.3495	80.1884	255	0	0	11.4916	2.14746	2.65337	11.59	98.6793	0	0	33223.6	42241.7	49097.9	50832.8	0	0	0	0	0	0	225
DATA	12:33:35:000	2023-12-03	436590	13.5281	595.236	0.0980447	425.674	329.247	5.92645	0.0410591	10.3601	4.24297	30.3167	80.1827	255	0	0	11.4916	2.14746	2.65362	11.59	98.6842	0	0	33236.6	42243.8	49031.7	50831.2	0	0	0	0	0	0	191
DATA	12:33:36:000	2023-12-03	436890	13.4771	592.992	0.0977617	424.022	346.068	6.22922	0.0426366	10.8881	4.95391	30.2845	80.1832	255	0	0	11.4861	2.14734	2.65312	11.59	98.673	0	0	33247.6	42240.3	48912.9	50822.5	0	0	0	0	0	0	155
DATA	12:33:37:000	2023-12-03	437190	13.5129	594.568	0.0979625	425.09	337.247	6.07045	0.0418136	10.6092	4.58291	30.2569	80.1868	255	0	0	11.4916	2.14726	2.65312	11.59	98.6762	0	0	33237.3	42242.7	48984.8	50827.8	0	0	0	0	0	0	177
DATA	12:33:38:000	2023-12-03	437490	13.4441	591.54	0.0975795	422.905	357.14	6.42852	0.0436603	11.2344	5.40377	30.23	80.1837	255	0	0	11.4916	2.14728	2.65275	11.59	98.6799	0	0	33248.4	42244	48945.1	50828.6	0	0	0	0	0	0	166
DATA	12:33:39:000	2023-12-03	437790	13.5009	594.04	0.0978929	424.672	341.084	6.13951	0.0421716	10.7288	4.74226	30.2039	80.1805	255	0	0	11.4902	2.14748	2.652	11.59	98.6861	0	0	33237.1	42244.4	49010.1	50832	0	0	0	0	0	0	180
DATA	12:33:40:000	2023-12-03	438090	13.5166	594.73	0.0979836	425.109	334.331	6.01796	0.0415399	10.515	4.45518	30.1796	80.1847	255	0	0	11.4902	2.14703	2.65213	11.59	98.6742	0	0	33243.2	42244.4	48997.7	50831	0	0	0	0	0	0	251
DATA	12:33:41:000	2023-12-03	438390	13.4305	590.942	0.0975028	422.368	361.927	6.51469	0.0440992	11.382	5.59201	30.1555	80.1846	255	0	0	11.4813	2.14722	2.65238	11.59	98.6815	0	0	33261.4	42245.4	48847.3	50824.8	0	0	0	0	0	0	142
DATA	12:33:42:000	2023-12-03	438690	13.3816	588.79	0.0972333	420.796	378.475	6.81255	0.0456019	11.9015	6.23715	30.135	80.1857	255	0	0	11.4909	2.14733	2.65175	11.59	98.6912	0	0	33278.9	42248.3	48716.2	50818.4	0	0	0	0	0	0	123
DATA	12:33:43:000	2023-12-03	438990	13.3924	589.266	0.0972911	421.144	380.52	6.84936	0.0457847	11.966	6.31474	30.1242	80.1814	255	0	0	11.4895	2.1472	2.65051	11.59	98.685	0	0	33250.3	42247.1	48918.9	50830.5	0	0	0	0	0	0	  4
DATA	12:33:44:000	2023-12-03	439290	13.4894	593.534	0.0978338	424.169	360.262	6.48472	0.0439476	11.3283	5.52339	30.1099	80.1824	255	0	0	11.4895	2.14713	2.65075	11.59	98.6821	0	0	33251.7	42246.7	48863.6	50826.9	0	0	0	0	0	0	233
DATA	12:33:45:000	2023-12-03	439590	13.5006	594.026	0.0978939	424.492	351.837	6.33307	0.0431717	11.0626	5.18218	30.0935	80.1836	255	0	0	11.4909	2.14711	2.65051	11.59	98.6865	0	0	33237.8	42248.8	48945.4	50833.5	0	0	0	0	0	0	209
DATA	12:33:46:000	2023-12-03	439890	14.1443	622.349	0.10145	444.744	365.397	6.57715	0.0444158	11.4893	5.72585	30.0761	80.1767	255	0	0	11.4909	2.14708	2.65038	11.59	98.6881	0	0	33169.7	42249.8	48812.2	50826.5	0	0	0	0	0	0	128
DATA	12:33:47:000	2023-12-03	440190	13.4858	593.375	0.0978146	423.98	369.139	6.6445	0.0447577	11.6054	5.87229	30.0619	80.1839	255	0	0	11.4909	2.1472	2.65063	11.59	98.6917	0	0	33257.2	42250	48798.4	50827.8	0	0	0	0	0	0	251
DATA	12:33:48:000	2023-12-03	440490	13.4807	593.151	0.0977825	423.832	363.033	6.53459	0.0442	11.4137	5.631	30.0505	80.1787	255	0	0	11.4895	2.14703	2.64963	11.59	98.6901	0	0	33256.9	42251.3	48826.4	50830.2	0	0	0	0	0	0	182
DATA	12:33:49:000	2023-12-03	440790	13.6622	601.137	0.098795	429.535	375.303	6.75545	0.0453149	11.7994	6.11086	30.0428	80.1772	255	0	0	11.4909	2.14704	2.64951	11.59	98.6959	0	0	33183.8	42253.6	48855.9	50834.3	0	0	0	0	0	0	179
DATA	12:33:50:000	2023-12-03	441090	13.5598	596.631	0.0982251	426.294	372.721	6.70898	0.0450815	11.7176	6.0108	30.0393	80.1803	255	0	0	11.4909	2.14685	2.65138	11.59	98.6894	0	0	33249.9	42253.1	48757.8	50827.2	0	0	0	0	0	0	165
DATA	12:33:51:000	2023-12-03	441390	13.4932	593.701	0.0978527	424.235	396.705	7.14069	0.0472269	12.4727	6.91624	30.0422	80.1746	255	0	0	11.4909	2.14665	2.64976	11.59	98.6849	0	0	33250.9	42253.5	48714.2	50825.2	0	0	0	0	0	0	211
DATA	12:33:52:000	2023-12-03	441690	13.3844	588.914	0.0972483	420.789	396.259	7.13266	0.0471882	12.4579	6.9002	30.0496	80.1813	255	0	0	11.4888	2.14683	2.64951	11.59	98.6905	0	0	33275.6	42253.8	48706.3	50826.2	0	0	0	0	0	0	187
DATA	12:33:53:000	2023-12-03	441990	13.6142	599.025	0.098523	428.087	360.713	6.49283	0.043986	11.3423	5.53876	30.0539	80.1687	255	0	0	11.4895	2.1466	2.64926	11.59	98.6834	0	0	33263.4	42253.4	48799.4	50830.8	0	0	0	0	0	0	 81
DATA	12:33:54:000	2023-12-03	442290	13.6707	601.511	0.0988362	429.842	342.657	6.16783	0.0423176	10.774	4.80098	30.0521	80.1723	255	0	0	11.4902	2.14665	2.64888	11.59	98.6894	0	0	33241.7	42255.4	48984.7	50843.8	0	0	0	0	0	0	164
DATA	12:33:55:000	2023-12-03	442590	13.4118	590.119	0.0974025	421.65	388.755	6.99759	0.0465234	12.222	6.62186	30.0467	80.1806	255	0	0	11.4902	2.14667	2.64938	11.59	98.6921	0	0	33265.2	42256.4	48767.1	50831.5	0	0	0	0	0	0	108
DATA	12:33:56:000	2023-12-03	442890	13.4218	590.559	0.097461	421.932	396.938	7.14488	0.0472512	12.4783	6.92494	30.0452	80.1863	255	0	0	11.4888	2.14666	2.64951	11.59	98.6956	0	0	33267.8	42257.9	48745.2	50832.5	0	0	0	0	0	0	203
