Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 6:38:47
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	12:38:48:000	2023-12-03	530490	13.469	592.636	0.097728	425.041	431.112	7.76002	0.050231	13.6046	8.19138	31.2259	80.1908	255	0	0	11.4537	2.14056	2.65699	11.59	98.5262	0	0	33250.6	42256	48571.9	50835	0	0	0	0	0	0	 96
DATA	12:38:49:000	2023-12-03	530790	13.4646	592.442	0.0977037	424.894	437.125	7.86825	0.050746	13.7941	8.39526	31.2223	80.1914	255	0	0	11.4558	2.14103	2.65711	11.59	98.5511	0	0	33262.2	42261.2	48539.2	50839.6	0	0	0	0	0	0	152
DATA	12:38:50:000	2023-12-03	531090	13.4551	592.024	0.0976512	424.592	438.095	7.88571	0.0508292	13.8246	8.4278	31.2193	80.1911	255	0	0	11.4524	2.1406	2.65749	11.59	98.5292	0	0	33260.2	42256.8	48546.8	50835.7	0	0	0	0	0	0	103
DATA	12:38:51:000	2023-12-03	531390	13.4521	591.892	0.0976351	424.491	437.259	7.87066	0.0507582	13.798	8.3995	31.2164	80.1915	255	0	0	11.4428	2.14087	2.65736	11.59	98.5273	0	0	33257.1	42252.8	48535.5	50830.9	0	0	0	0	0	0	126
DATA	12:38:52:000	2023-12-03	531690	13.4404	591.378	0.0975698	424.116	439.421	7.90958	0.0509427	13.8661	8.47223	31.2162	80.1925	255	0	0	11.4544	2.14084	2.65562	11.59	98.5304	0	0	33261.3	42254.5	48532.8	50831.1	0	0	0	0	0	0	194
DATA	12:38:53:000	2023-12-03	531990	13.4426	591.474	0.0975814	424.215	446.166	8.03099	0.0515157	14.0799	8.69724	31.2175	80.1873	255	0	0	11.4544	2.14101	2.65736	11.59	98.5285	0	0	33259.8	42251.8	48453.5	50823.8	0	0	0	0	0	0	222
DATA	12:38:54:000	2023-12-03	532290	13.4411	591.408	0.0975752	424.173	451.5	8.127	0.0519684	14.2484	8.87316	31.2206	80.1871	255	0	0	11.4524	2.14107	2.65799	11.59	98.526	0	0	33257.5	42249.9	48471.6	50822.8	0	0	0	0	0	0	206
DATA	12:38:55:000	2023-12-03	532590	13.4631	592.376	0.0976958	424.885	470.763	8.47373	0.0535802	14.8569	9.49329	31.2252	80.185	255	0	0	11.4531	2.14129	2.65936	11.59	98.51	0	0	33248.2	42240.5	48355.4	50805.5	0	0	0	0	0	0	 74
DATA	12:38:56:000	2023-12-03	532890	13.385	588.94	0.0972591	422.435	465.359	8.37646	0.0531302	14.6869	9.32194	31.2307	80.1837	255	0	0	11.4421	2.14095	2.65824	11.59	98.5034	0	0	33257.8	42241.7	48407	50809.2	0	0	0	0	0	0	 17
DATA	12:38:57:000	2023-12-03	533190	13.4188	590.427	0.0974509	423.464	461.29	8.30322	0.0527917	14.5572	9.19182	31.2361	80.1922	255	0	0	11.4537	2.14119	2.65749	11.59	98.5182	0	0	33259.8	42245.3	48421.8	50816.3	0	0	0	0	0	0	154
