Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 6:55:46
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	12:55:47:000	2023-12-03	836190	13.479	593.076	0.0977872	423.56	480.549	8.64988	0.0543923	15.1006	9.73464	29.8999	80.1801	255	0	0	11.3156	2.13444	2.62794	11.59	98.2057	0	0	33201.9	42188.9	48286.4	50778.5	0	0	0	0	0	0	166
DATA	12:55:48:000	2023-12-03	836490	13.4707	592.711	0.0977365	423.373	481.896	8.67413	0.0545003	15.1456	9.77697	29.9121	80.1694	255	0	0	11.3149	2.1344	2.62731	11.59	98.1812	0	0	33196.8	42178.8	48285.5	50768.3	0	0	0	0	0	0	196
DATA	12:55:49:000	2023-12-03	836790	13.4697	592.667	0.0977331	423.298	483.332	8.69998	0.05462	15.1892	9.82194	29.9244	80.1809	255	0	0	11.3108	2.13439	2.62781	11.59	98.1959	0	0	33198.8	42185.2	48269.1	50774.3	0	0	0	0	0	0	181
DATA	12:55:50:000	2023-12-03	837090	13.4702	592.689	0.0977407	423.306	494.148	8.89466	0.0555097	15.5288	10.153	29.9362	80.1854	255	0	0	11.3128	2.13428	2.62831	11.59	98.1966	0	0	33199	42186.8	48206.7	50771.9	0	0	0	0	0	0	 94
DATA	12:55:51:000	2023-12-03	837390	13.4508	591.835	0.0976273	422.782	502.793	9.05027	0.0562097	15.8036	10.4132	29.9474	80.1723	255	0	0	11.3149	2.13407	2.62918	11.59	98.1921	0	0	33202.4	42187.2	48161.6	50769.8	0	0	0	0	0	0	199
DATA	12:55:52:000	2023-12-03	837690	13.4398	591.351	0.0975685	422.414	495.355	8.91639	0.0556066	15.569	10.1907	29.9598	80.1797	255	0	0	11.3128	2.1343	2.62968	11.59	98.1978	0	0	33205.8	42187	48239.9	50773.7	0	0	0	0	0	0	 74
DATA	12:55:53:000	2023-12-03	837990	13.4525	591.91	0.0976408	422.767	492.904	8.87227	0.0554076	15.4903	10.1171	29.972	80.1917	255	0	0	11.3121	2.13433	2.62856	11.59	98.2015	0	0	33204.6	42188.2	48244.1	50776.4	0	0	0	0	0	0	 97
DATA	12:55:54:000	2023-12-03	838290	13.4487	591.743	0.0976191	422.727	497.361	8.9525	0.0557708	15.6333	10.2523	29.9833	80.1796	255	0	0	11.3108	2.13424	2.62856	11.59	98.1938	0	0	33204.9	42186.1	48215.3	50772.5	0	0	0	0	0	0	174
DATA	12:55:55:000	2023-12-03	838590	13.4569	592.104	0.0976629	423.009	497.721	8.95898	0.0557988	15.6455	10.2637	29.995	80.1781	255	0	0	11.3135	2.13418	2.62744	11.59	98.194	0	0	33202.4	42186.8	48238.6	50774.9	0	0	0	0	0	0	162
DATA	12:55:56:000	2023-12-03	838890	13.4453	591.593	0.0976012	422.675	498.376	8.97077	0.0558542	15.6673	10.2839	30.0059	80.1752	255	0	0	11.3135	2.13428	2.62893	11.59	98.1942	0	0	33204.4	42185.8	48216.5	50772.9	0	0	0	0	0	0	233
DATA	12:55:57:000	2023-12-03	839190	13.4305	590.942	0.0975133	422.202	500.451	9.00812	0.0560194	15.7322	10.3467	30.0173	80.1796	255	0	0	11.3114	2.13392	2.62943	11.59	98.1777	0	0	33205.8	42182.7	48206.4	50768.4	0	0	0	0	0	0	159
DATA	12:55:58:000	2023-12-03	839490	13.4394	591.334	0.0975684	422.484	506.433	9.11579	0.0565079	15.9203	10.5253	30.0292	80.1824	255	0	0	11.3114	2.13373	2.62843	11.59	98.1755	0	0	33204.2	42184.1	48165.6	50767.8	0	0	0	0	0	0	196
DATA	12:55:59:000	2023-12-03	839790	13.446	591.624	0.0976031	422.725	510.811	9.1946	0.0568596	16.0592	10.6549	30.0364	80.178	255	0	0	11.3121	2.13364	2.63006	11.59	98.1705	0	0	33201.6	42182.9	48161	50766	0	0	0	0	0	0	 90
DATA	12:56:00:000	2023-12-03	840090	13.4464	591.642	0.0976084	422.74	515.75	9.2835	0.0572593	16.2146	10.8	30.048	80.1805	255	0	0	11.3128	2.13393	2.62931	11.59	98.1796	0	0	33201.6	42183.5	48139.9	50765	0	0	0	0	0	0	239
DATA	12:56:01:000	2023-12-03	840390	13.4367	591.215	0.0975538	422.479	517.168	9.30902	0.0573732	16.2609	10.8418	30.059	80.1751	255	0	0	11.3121	2.13377	2.63018	11.59	98.1779	0	0	33204.6	42184.6	48128.3	50766.9	0	0	0	0	0	0	139
DATA	12:56:02:000	2023-12-03	840690	13.4511	591.848	0.0976335	422.965	530.61	9.55098	0.058446	16.6848	11.2287	30.0695	80.1716	255	0	0	11.3094	2.13395	2.62943	11.59	98.1798	0	0	33202.3	42183.3	48106.7	50766	0	0	0	0	0	0	 13
DATA	12:56:03:000	2023-12-03	840990	13.4475	591.69	0.097614	422.829	519.577	9.35239	0.0575661	16.337	10.9127	30.0801	80.1787	255	0	0	11.3108	2.13392	2.62893	11.59	98.1812	0	0	33203.8	42184.3	48122.1	50768.8	0	0	0	0	0	0	 53
DATA	12:56:04:000	2023-12-03	841290	13.4337	591.083	0.097538	422.422	521.997	9.39595	0.0577607	16.4142	10.9832	30.0905	80.1763	255	0	0	11.3114	2.13378	2.62893	11.59	98.1776	0	0	33203.9	42184.3	48113.8	50764.3	0	0	0	0	0	0	150
DATA	12:56:05:000	2023-12-03	841590	13.4292	590.885	0.0975145	422.249	525.05	9.4509	0.0580057	16.5089	11.0715	30.101	80.1852	255	0	0	11.3053	2.1335	2.62931	11.59	98.1653	0	0	33204.7	42182.2	48090.1	50762.8	0	0	0	0	0	0	210
DATA	12:56:06:000	2023-12-03	841890	13.4246	590.682	0.0974866	422.174	529.444	9.52999	0.058354	16.6498	11.1976	30.1111	80.1746	255	0	0	11.3087	2.13357	2.62831	11.59	98.17	0	0	33206.6	42183.4	48006.7	50759.7	0	0	0	0	0	0	 70
DATA	12:56:07:000	2023-12-03	842190	13.4316	590.99	0.0975243	422.48	526.161	9.4709	0.0580918	16.55	11.1044	30.1216	80.161	255	0	0	11.2984	2.13356	2.62956	11.59	98.1651	0	0	33205.4	42181.5	48079.5	50761.6	0	0	0	0	0	0	130
DATA	12:56:08:000	2023-12-03	842490	13.4314	590.982	0.0975202	422.431	528.234	9.50821	0.0582546	16.6135	11.164	30.1301	80.1714	255	0	0	11.3114	2.13391	2.62993	11.59	98.1775	0	0	33206.9	42182.8	48086.9	50764.2	0	0	0	0	0	0	117
DATA	12:56:09:000	2023-12-03	842790	13.4195	590.458	0.0974588	422.047	530.32	9.54576	0.0584245	16.6787	11.2239	30.1392	80.1756	255	0	0	11.3121	2.13357	2.63031	11.59	98.1661	0	0	33205	42181.8	48069.3	50761.5	0	0	0	0	0	0	 45
DATA	12:56:10:000	2023-12-03	843090	13.4226	590.594	0.0974789	422.146	535.962	9.64732	0.0588739	16.8562	11.3841	30.1496	80.1782	255	0	0	11.3046	2.1335	2.63018	11.59	98.1629	0	0	33205.7	42181.2	48032.8	50759.6	0	0	0	0	0	0	157
