Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 13:42:43
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	19:42:43:000	2023-12-03	1164090	14.1112	620.893	0.101357	421.652	569.946	10.259	0.0615836	17.0304	11.5833	15.8496	80.4112	255	0	0	12.3358	1.95143	2.12604	12.45	97.2308	0	0	34158.8	43610.5	49656	52763.5	0	0	0	0	0	0	 16
DATA	19:42:44:000	2023-12-03	1164390	14.1452	622.389	0.101546	422.659	573.29	10.3192	0.0618446	17.1299	11.6719	15.8499	80.413	255	0	0	12.3358	1.95147	2.12554	12.45	97.2181	0	0	34152.3	43604.5	49643.7	52755.9	0	0	0	0	0	0	 97
DATA	19:42:45:000	2023-12-03	1164690	14.1117	620.915	0.101362	421.652	571.473	10.2865	0.0617037	17.0754	11.6238	15.8501	80.4142	255	0	0	12.3351	1.95134	2.12604	12.45	97.2254	0	0	34148.9	43608.8	49643.9	52755.5	0	0	0	0	0	0	158
DATA	19:42:46:000	2023-12-03	1164990	14.12	621.28	0.101404	421.951	569.825	10.2569	0.0615737	17.0282	11.5801	15.85	80.4045	255	0	0	12.3344	1.95116	2.12542	12.45	97.2076	0	0	34148.1	43602.4	49644.6	52754.5	0	0	0	0	0	0	156
DATA	19:42:47:000	2023-12-03	1165290	14.1428	622.283	0.101531	422.619	570.122	10.2622	0.0615983	17.0366	11.588	15.85	80.407	255	0	0	12.3338	1.95136	2.12629	12.45	97.2163	0	0	34148.2	43604.6	49643	52754.6	0	0	0	0	0	0	114
DATA	19:42:48:000	2023-12-03	1165590	14.1289	621.672	0.101453	422.2	571.321	10.2838	0.0616899	17.0722	11.6198	15.85	80.4078	255	0	0	12.3351	1.95164	2.12604	12.45	97.2247	0	0	34149.2	43606.1	49638.5	52758.3	0	0	0	0	0	0	232
DATA	19:42:49:000	2023-12-03	1165890	14.1274	621.606	0.101447	422.149	571.123	10.2802	0.0616759	17.066	11.6146	15.8504	80.4091	255	0	0	12.3351	1.95131	2.12604	12.45	97.2114	0	0	34148.8	43602.8	49641	52756.8	0	0	0	0	0	0	  2
DATA	19:42:50:000	2023-12-03	1166190	14.1359	621.98	0.101496	422.415	571.331	10.284	0.0616937	17.0727	11.6201	15.8502	80.4068	255	0	0	12.3351	1.95121	2.12629	12.45	97.2058	0	0	34139.8	43601.1	49632.2	52750.4	0	0	0	0	0	0	 39
DATA	19:42:51:000	2023-12-03	1166490	14.1389	622.112	0.101508	422.499	571.847	10.2932	0.0617308	17.0879	11.6337	15.85	80.4078	255	0	0	12.3351	1.95134	2.12604	12.45	97.2099	0	0	34146.7	43601.9	49636.4	52752.6	0	0	0	0	0	0	 81
DATA	19:42:52:000	2023-12-03	1166790	14.1307	621.751	0.101462	422.321	571.996	10.2959	0.0617412	17.0951	11.6377	15.85	80.395	255	0	0	12.3338	1.95153	2.12667	12.45	97.2069	0	0	34143.9	43599	49631.9	52745.5	0	0	0	0	0	0	202
DATA	19:42:53:000	2023-12-03	1167090	14.1437	622.323	0.101533	422.682	573.16	10.3169	0.0618313	17.1288	11.6684	15.8502	80.4003	255	0	0	12.3351	1.95127	2.12517	12.45	97.2017	0	0	34140.9	43598.8	49626.4	52749.4	0	0	0	0	0	0	106
DATA	19:42:54:000	2023-12-03	1167390	14.1486	622.538	0.101562	422.804	573.281	10.3191	0.0618422	17.1314	11.6716	15.8503	80.4049	255	0	0	12.3344	1.95132	2.12617	12.45	97.2125	0	0	34142.8	43603.2	49627.9	52754.1	0	0	0	0	0	0	145
DATA	19:42:55:000	2023-12-03	1167690	14.1447	622.367	0.10154	422.725	573.229	10.3181	0.0618373	17.1314	11.6703	15.8503	80.3977	255	0	0	12.3351	1.95125	2.12592	12.45	97.1922	0	0	34138.8	43594.7	49620	52743.3	0	0	0	0	0	0	 22
DATA	19:42:56:000	2023-12-03	1167990	14.154	622.776	0.101592	423.003	574.381	10.3389	0.0619271	17.1658	11.7006	15.8498	80.3977	255	0	0	12.3351	1.95144	2.12604	12.45	97.19	0	0	34132.8	43592.1	49615.1	52742.1	0	0	0	0	0	0	 27
DATA	19:42:57:000	2023-12-03	1168290	14.1489	622.552	0.101558	422.866	573.962	10.3313	0.0618901	17.1539	11.6896	15.8497	80.3946	255	0	0	12.3338	1.95127	2.12517	12.45	97.1898	0	0	34134.4	43593.4	49616.5	52742.2	0	0	0	0	0	0	220
