Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 12:49:31
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	18:49:31:000	2023-12-03	206490	13.8889	611.112	0.100094	416.787	620.599	11.1708	0.0654114	18.6233	12.9144	16.5455	80.2611	255	0	0	12.4905	1.96224	2.14512	12.62	98.0964	0	0	34438.9	43906.9	49691.2	53020	0	0	0	0	0	0	 31
DATA	18:49:32:000	2023-12-03	206790	13.8856	610.966	0.100078	416.683	620.951	11.1771	0.0654396	18.6337	12.923	16.544	80.2617	255	0	0	12.4898	1.9621	2.14574	12.62	98.0913	0	0	34436.9	43905.8	49688.8	53019.5	0	0	0	0	0	0	 26
DATA	18:49:33:000	2023-12-03	207090	13.962	614.328	0.1005	418.988	621.552	11.1879	0.0654849	18.6523	12.9377	16.5423	80.2589	255	0	0	12.4898	1.96237	2.1455	12.62	98.0967	0	0	34437	43905.9	49690	53019.8	0	0	0	0	0	0	 48
DATA	18:49:34:000	2023-12-03	207390	13.8778	610.623	0.100036	416.463	620.548	11.1699	0.0654104	18.6222	12.9129	16.5411	80.2581	255	0	0	12.4898	1.96229	2.14512	12.62	98.0987	0	0	34441.8	43907.5	49694.8	53021.9	0	0	0	0	0	0	149
DATA	18:49:35:000	2023-12-03	207690	13.9186	612.418	0.100264	417.683	621.733	11.1912	0.0655008	18.6576	12.942	16.5397	80.2586	255	0	0	12.4898	1.96218	2.14512	12.62	98.0979	0	0	34433.1	43908.1	49691.9	53022.4	0	0	0	0	0	0	108
DATA	18:49:36:000	2023-12-03	207990	13.8925	611.27	0.100115	416.913	620.745	11.1734	0.0654227	18.6285	12.9176	16.5382	80.2557	255	0	0	12.4898	1.9621	2.14562	12.62	98.096	0	0	34438.8	43907.9	49691.9	53022.4	0	0	0	0	0	0	 10
DATA	18:49:37:000	2023-12-03	208290	13.8565	609.686	0.099919	415.799	618.222	11.128	0.065236	18.5513	12.8553	16.5369	80.2618	255	0	0	12.4898	1.96218	2.14462	12.62	98.0988	0	0	34445.4	43908.5	49697.4	53022.7	0	0	0	0	0	0	106
DATA	18:49:38:000	2023-12-03	208590	14.1643	623.229	0.101611	425.042	620.953	11.1772	0.0654409	18.6335	12.9225	16.5352	80.2601	255	0	0	12.4891	1.96212	2.14587	12.62	98.0965	0	0	34408.6	43908	49692.3	53021	0	0	0	0	0	0	181
DATA	18:49:39:000	2023-12-03	208890	13.9088	611.987	0.100205	417.374	620.205	11.1637	0.0653829	18.6111	12.904	16.5325	80.2595	255	0	0	12.4891	1.96223	2.145	12.62	98.0996	0	0	34434.2	43908.4	49694.6	53022	0	0	0	0	0	0	150
DATA	18:49:40:000	2023-12-03	209190	13.8923	611.261	0.100115	416.902	620.207	11.1637	0.0653834	18.6122	12.9039	16.53	80.2543	255	0	0	12.4898	1.96219	2.14587	12.62	98.0939	0	0	34436	43906.2	49694.4	53022.5	0	0	0	0	0	0	179
