Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 3 2023 at 12:44:15
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	18:44:15:000	2023-12-03	111690	14.0169	616.744	0.100795	421.337	630.69	11.3524	0.0661624	18.958	13.1818	16.9367	80.2344	255	0	0	12.5077	1.96525	2.15248	12.64	98.0216	0	0	34368	43847.4	49589.7	52949	0	0	0	0	0	0	125
DATA	18:44:16:000	2023-12-03	111990	14.0131	616.576	0.100774	421.247	630.884	11.3559	0.0661763	18.965	13.1866	16.9388	80.2303	255	0	0	12.5077	1.96537	2.15273	12.64	98.0369	0	0	34372	43853.2	49594.9	52958.1	0	0	0	0	0	0	 19
DATA	18:44:17:000	2023-12-03	112290	14.0099	616.436	0.100752	421.167	630.54	11.3497	0.0661467	18.9553	13.1784	16.9407	80.2278	255	0	0	12.5084	1.96538	2.15185	12.64	98.0317	0	0	34373.2	43850.8	49594.4	52953.3	0	0	0	0	0	0	100
DATA	18:44:18:000	2023-12-03	112590	14.0207	616.911	0.100813	421.512	631.274	11.3629	0.066203	18.9783	13.1963	16.9429	80.2245	255	0	0	12.5056	1.96518	2.15173	12.64	98.0318	0	0	34369.3	43852.6	49591.2	52956.1	0	0	0	0	0	0	 73
DATA	18:44:19:000	2023-12-03	112890	14.019	616.836	0.100804	421.426	631.309	11.3636	0.0662056	18.9778	13.1972	16.9449	80.2317	255	0	0	12.507	1.9653	2.1521	12.64	98.0346	0	0	34369.7	43852.8	49591.3	52956.3	0	0	0	0	0	0	203
DATA	18:44:20:000	2023-12-03	113190	14.0197	616.867	0.100808	421.456	631.445	11.366	0.0662166	18.9823	13.2007	16.9472	80.2306	255	0	0	12.5077	1.96521	2.1526	12.64	98.0339	0	0	34370.4	43853.3	49592.2	52959	0	0	0	0	0	0	183
DATA	18:44:21:000	2023-12-03	113490	14.0204	616.898	0.100813	421.48	631.571	11.3683	0.0662268	18.9862	13.2038	16.9489	80.2306	255	0	0	12.5077	1.96528	2.15323	12.64	98.0346	0	0	34369.5	43852.9	49592.2	52957.2	0	0	0	0	0	0	101
DATA	18:44:22:000	2023-12-03	113790	14.0196	616.862	0.100813	421.457	631.526	11.3675	0.066227	18.9849	13.2029	16.9514	80.2309	255	0	0	12.507	1.96507	2.15185	12.64	98.0259	0	0	34366.8	43850.9	49587.2	52953.2	0	0	0	0	0	0	 50
DATA	18:44:23:000	2023-12-03	114090	14.024	617.056	0.100834	421.601	631.413	11.3654	0.0662156	18.982	13.2002	16.9539	80.2295	255	0	0	12.5077	1.96484	2.15223	12.64	98.018	0	0	34366	43849.4	49587.1	52954.3	0	0	0	0	0	0	118
DATA	18:44:24:000	2023-12-03	114390	14.0245	617.078	0.100834	421.621	631.664	11.37	0.0662322	18.9898	13.2064	16.9554	80.2289	255	0	0	12.507	1.96501	2.1521	12.64	98.0146	0	0	34363.7	43846.4	49586	52951.7	0	0	0	0	0	0	 84
DATA	18:44:25:000	2023-12-03	114690	14.0296	617.302	0.100867	421.732	631.937	11.3749	0.0662566	18.9961	13.2131	16.9574	80.2375	255	0	0	12.5077	1.96485	2.15161	12.64	98.0087	0	0	34361.8	43845.1	49582	52949.1	0	0	0	0	0	0	 58
DATA	18:44:26:000	2023-12-03	114990	14.0329	617.448	0.100879	421.883	632.162	11.3789	0.0662682	19.0052	13.2187	16.9595	80.2282	255	0	0	12.5077	1.96513	2.1531	12.64	98.0123	0	0	34361	43844.2	49580.5	52948	0	0	0	0	0	0	154
DATA	18:44:27:000	2023-12-03	115290	14.032	617.408	0.100879	421.822	631.753	11.3716	0.0662422	18.9914	13.2089	16.9612	80.2352	255	0	0	12.507	1.96503	2.1521	12.64	98.0151	0	0	34362	43846.4	49581.4	52949.2	0	0	0	0	0	0	118
DATA	18:44:28:000	2023-12-03	115590	14.0332	617.461	0.100884	421.821	632.361	11.3825	0.0662863	19.008	13.2237	16.9631	80.2427	255	0	0	12.507	1.96499	2.15335	12.64	98.0134	0	0	34362.1	43846	49581.8	52950.8	0	0	0	0	0	0	180
DATA	18:44:29:000	2023-12-03	115890	14.031	617.364	0.100872	421.842	632.415	11.3835	0.0662902	19.0136	13.2251	16.9652	80.2267	255	0	0	12.5063	1.96479	2.15235	12.64	98.002	0	0	34360.8	43842.7	49580.1	52947.2	0	0	0	0	0	0	 11
DATA	18:44:30:000	2023-12-03	116190	14.0282	617.241	0.100855	421.734	631.922	11.3746	0.0662521	18.9977	13.2133	16.9669	80.2317	255	0	0	12.5063	1.96469	2.15235	12.64	98.0048	0	0	34362.9	43844.7	49582.2	52949.8	0	0	0	0	0	0	145
DATA	18:44:31:000	2023-12-03	116490	14.0358	617.575	0.100901	421.93	632.213	11.3798	0.0662768	19.0049	13.2205	16.9693	80.2386	255	0	0	12.507	1.965	2.15285	12.64	98.0122	0	0	34360.1	43845.4	49579.7	52949.6	0	0	0	0	0	0	195
DATA	18:44:32:000	2023-12-03	116790	14.0284	617.25	0.100858	421.729	631.906	11.3743	0.0662519	18.9967	13.2131	16.9709	80.235	255	0	0	12.5063	1.96495	2.15248	12.64	98.0049	0	0	34359.1	43842.6	49578.1	52946.3	0	0	0	0	0	0	 56
DATA	18:44:33:000	2023-12-03	117090	14.04	617.76	0.100919	422.138	632.607	11.3869	0.0663022	19.0205	13.2302	16.9726	80.224	255	0	0	12.5077	1.96521	2.15298	12.64	98.0168	0	0	34359.8	43845.6	49580.1	52949.7	0	0	0	0	0	0	184
DATA	18:44:34:000	2023-12-03	117390	14.0452	617.989	0.100949	422.251	632.743	11.3894	0.0663134	19.0226	13.2334	16.9723	80.2321	255	0	0	12.507	1.96506	2.15273	12.64	98.0064	0	0	34357.1	43842.3	49576.2	52947.2	0	0	0	0	0	0	 71
DATA	18:44:35:000	2023-12-03	117690	14.0464	618.042	0.100956	422.301	632.865	11.3916	0.0663227	19.0269	13.2365	16.9738	80.23	255	0	0	12.507	1.96508	2.1526	12.64	98.0153	0	0	34358.2	43846.1	49578.7	52949.8	0	0	0	0	0	0	198
