Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 5 2023 at 3:19:58
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	09:19:56:000	2023-12-05	1357140	12.8802	566.729	0.0940621	401.048	760.625	13.6913	0.0750836	23.6834	16.3457	21.826	78.7631	255	0	0	11.5108	2.03837	2.36546	11.82	99.0752	0	0	34442.5	43620.5	48745.4	52432.8	0	0	0	0	0	0	198
DATA	09:19:57:000	2023-12-05	1357440	12.7208	559.715	0.0931579	396.075	773.753	13.9276	0.0759828	24.0916	16.6141	21.8162	78.7625	255	0	0	11.5101	2.03832	2.36471	11.82	99.0701	0	0	34475.2	43618.8	48662.5	52427.4	0	0	0	0	0	0	 20
DATA	09:19:58:000	2023-12-05	1357740	12.8268	564.379	0.0937584	399.343	756.531	13.6176	0.0747995	23.5534	16.2599	21.8048	78.7658	255	0	0	11.5101	2.03825	2.36521	11.82	99.0766	0	0	34489.3	43622.3	48647.2	52427.1	0	0	0	0	0	0	 53
DATA	09:19:59:000	2023-12-05	1358040	12.6311	555.768	0.0926494	393.234	784.143	14.1146	0.0766928	24.4121	16.8226	21.7872	78.7644	255	0	0	11.5094	2.03828	2.36421	11.82	99.0762	0	0	34513.4	43621.9	48581	52422.4	0	0	0	0	0	0	160
DATA	09:20:00:000	2023-12-05	1358340	12.5622	552.737	0.0922569	391.067	790.032	14.2206	0.0770932	24.594	16.9398	21.7733	78.7651	255	0	0	11.5094	2.03819	2.36471	11.82	99.0783	0	0	34521.4	43623.8	48568.9	52422	0	0	0	0	0	0	106
DATA	09:20:01:000	2023-12-05	1358640	12.5471	552.072	0.0921719	390.61	794.991	14.3098	0.0774304	24.7493	17.0383	21.769	78.7613	255	0	0	11.5088	2.03812	2.36358	11.82	99.0714	0	0	34529.6	43621.4	48523.6	52417.1	0	0	0	0	0	0	146
DATA	09:20:02:000	2023-12-05	1358940	12.604	554.576	0.0924948	392.365	788.91	14.2004	0.0770158	24.5589	16.9173	21.772	78.7654	255	0	0	11.5094	2.03816	2.36383	11.82	99.0782	0	0	34533.9	43624	48532.9	52421.4	0	0	0	0	0	0	 21
DATA	09:20:03:000	2023-12-05	1359240	12.7817	562.395	0.0935039	397.909	756.678	13.6202	0.074811	23.5562	16.2614	21.7765	78.7642	255	0	0	11.5094	2.03822	2.36433	11.82	99.0881	0	0	34459.9	43627.7	48766	52442.1	0	0	0	0	0	0	126
DATA	09:20:04:000	2023-12-05	1359540	12.9256	568.726	0.0943133	402.394	734.844	13.2272	0.0732923	22.8768	15.8025	21.7703	78.7615	255	0	0	11.5094	2.03779	2.36371	11.82	99.078	0	0	34465.8	43627.7	48744.7	52441.6	0	0	0	0	0	0	221
DATA	09:20:05:000	2023-12-05	1359840	12.8315	564.586	0.0937841	399.439	749.089	13.4836	0.0742843	23.3188	16.1025	21.7597	78.7636	255	0	0	11.5088	2.03787	2.36321	11.82	99.0781	0	0	34475.5	43626.9	48721.9	52439.8	0	0	0	0	0	0	 56
