Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 5 2023 at 3:53:07
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	09:53:05:000	2023-12-05	1953840	12.8777	566.619	0.0940311	399.915	666.806	12.0025	0.0684475	20.7075	14.2496	20.9511	78.7368	255	0	0	11.0234	2.01441	2.31333	11.38	98.9524	0	0	34600.9	43807	49281.1	52714.6	0	0	0	0	0	0	151
DATA	09:53:06:000	2023-12-05	1954140	12.8132	563.781	0.0936684	397.913	675.539	12.1597	0.06908	20.9788	14.4515	20.9654	78.7403	255	0	0	11.0234	2.01448	2.31321	11.38	98.9519	0	0	34609.6	43806.1	49253.2	52711	0	0	0	0	0	0	 63
DATA	09:53:07:000	2023-12-05	1954440	12.8501	565.404	0.0938751	399.098	668.479	12.0326	0.0685688	20.7616	14.2899	20.9815	78.7369	255	0	0	11.0213	2.01464	2.31495	11.38	98.9535	0	0	34604.2	43805.3	49274.2	52711	0	0	0	0	0	0	183
DATA	09:53:08:000	2023-12-05	1954740	12.798	563.112	0.0935832	397.489	676.131	12.1704	0.0691235	20.9997	14.4667	20.9978	78.7395	255	0	0	11.0199	2.01455	2.31283	11.38	98.9533	0	0	34621.2	43806	49227.8	52710.6	0	0	0	0	0	0	142
DATA	09:53:09:000	2023-12-05	1955040	12.8353	564.753	0.0937892	398.66	669.862	12.0575	0.0686669	20.8057	14.3236	21.0146	78.7415	255	0	0	11.0186	2.01473	2.31433	11.38	98.955	0	0	34608.6	43805	49264.1	52711.6	0	0	0	0	0	0	 73
DATA	09:53:10:000	2023-12-05	1955340	12.8201	564.084	0.0937043	398.238	674.833	12.147	0.0690261	20.9627	14.4386	21.0289	78.7354	255	0	0	11.0206	2.01443	2.31358	11.38	98.9465	0	0	34611.5	43804.2	49244.4	52708.1	0	0	0	0	0	0	178
DATA	09:53:11:000	2023-12-05	1955640	12.7916	562.83	0.0935426	397.379	685.406	12.3373	0.0697849	21.2926	14.6802	21.0465	78.7349	255	0	0	11.0192	2.0148	2.31333	11.38	98.9505	0	0	34620.1	43802.3	49149.9	52700.2	0	0	0	0	0	0	153
DATA	09:53:12:000	2023-12-05	1955940	12.7658	561.695	0.0934003	396.576	689.745	12.4154	0.0700998	21.4273	14.779	21.0649	78.7402	255	0	0	11.0165	2.01437	2.31321	11.38	98.929	0	0	34613.1	43797	49192.2	52697.7	0	0	0	0	0	0	 81
DATA	09:53:13:000	2023-12-05	1956240	12.7605	561.462	0.0933717	396.454	688.984	12.4017	0.0700468	21.4059	14.763	21.0844	78.7369	255	0	0	11.0138	2.01469	2.31446	11.38	98.9251	0	0	34613.3	43792.2	49168.6	52690.3	0	0	0	0	0	0	211
DATA	09:53:14:000	2023-12-05	1956540	12.739	560.516	0.0932494	395.76	700.83	12.6149	0.0708901	21.7726	15.0285	21.1011	78.7465	255	0	0	11.0165	2.01476	2.31433	11.38	98.9245	0	0	34616.2	43791.2	49129.8	52685.2	0	0	0	0	0	0	 90
DATA	09:53:15:000	2023-12-05	1956840	12.7333	560.265	0.0932175	395.657	698.333	12.57	0.0707133	21.699	14.9741	21.122	78.7374	255	0	0	11.0151	2.01468	2.31545	11.38	98.9369	0	0	34624.4	43797.6	49146.1	52694.5	0	0	0	0	0	0	 68
DATA	09:53:16:000	2023-12-05	1957140	12.7301	560.124	0.0931962	395.572	695.468	12.5184	0.0705064	21.6108	14.9114	21.143	78.7401	255	0	0	11.0117	2.01478	2.31595	11.38	98.9402	0	0	34625.4	43798	49146.2	52695.7	0	0	0	0	0	0	 89
DATA	09:53:17:000	2023-12-05	1957440	12.7225	559.79	0.0931566	395.381	698.021	12.5644	0.0706917	21.6926	14.9692	21.161	78.736	255	0	0	11.0103	2.01458	2.31408	11.38	98.9311	0	0	34624.4	43795.9	49140.4	52692.6	0	0	0	0	0	0	113
DATA	09:53:18:000	2023-12-05	1957740	12.7039	558.972	0.093051	394.815	702.154	12.6388	0.0709852	21.8217	15.062	21.1805	78.7387	255	0	0	11.0151	2.0144	2.31533	11.38	98.9247	0	0	34629.2	43794.8	49104.2	52687.9	0	0	0	0	0	0	110
DATA	09:53:19:000	2023-12-05	1958040	12.6814	557.982	0.0929192	394.164	708.481	12.7527	0.0714296	22.021	15.2025	21.2	78.7344	255	0	0	11.0124	2.01476	2.3152	11.38	98.935	0	0	34631.2	43795.9	49106.8	52689.8	0	0	0	0	0	0	203
DATA	09:53:20:000	2023-12-05	1958340	12.6888	558.307	0.0929667	394.394	705.854	12.7054	0.0712491	21.9394	15.1458	21.2203	78.7398	255	0	0	11.0117	2.01487	2.3157	11.38	98.9409	0	0	34634.5	43797.4	49107	52693.2	0	0	0	0	0	0	137
DATA	09:53:21:000	2023-12-05	1958640	12.6504	556.618	0.092745	393.222	716.177	12.8912	0.0719743	22.2615	15.3727	21.2368	78.7399	255	0	0	11.0076	2.01491	2.3157	11.38	98.9393	0	0	34639.8	43796.3	49065.3	52686.6	0	0	0	0	0	0	186
DATA	09:53:22:000	2023-12-05	1958940	12.6669	557.344	0.0928404	393.77	715.341	12.8761	0.0719172	22.2375	15.3556	21.2569	78.7383	255	0	0	11.0083	2.01504	2.31608	11.38	98.9474	0	0	34638.5	43798.6	49084.3	52690.8	0	0	0	0	0	0	238
DATA	09:53:23:000	2023-12-05	1959240	12.6525	556.71	0.0927602	393.336	715.772	12.8839	0.0719493	22.2516	15.366	21.2772	78.741	255	0	0	11.0083	2.01479	2.31682	11.38	98.9435	0	0	34642.3	43799.3	49063.6	52689.2	0	0	0	0	0	0	124
DATA	09:53:24:000	2023-12-05	1959540	12.6468	556.459	0.0927252	393.226	717.711	12.9188	0.0720835	22.3157	15.4092	21.2975	78.7329	255	0	0	11.0076	2.0151	2.3157	11.38	98.9433	0	0	34640.8	43796.3	49063.4	52687.4	0	0	0	0	0	0	172
DATA	09:53:25:000	2023-12-05	1959840	12.6477	556.499	0.0927311	393.292	716.109	12.89	0.0719712	22.2681	15.3755	21.3178	78.7308	255	0	0	11.0034	2.01482	2.31608	11.38	98.9365	0	0	34643	43795.9	49066.1	52687.9	0	0	0	0	0	0	 90
DATA	09:53:26:000	2023-12-05	1960140	12.6049	554.616	0.0924862	391.989	728.105	13.1059	0.072812	22.6427	15.6357	21.3375	78.7304	255	0	0	11.0034	2.01503	2.31608	11.38	98.9415	0	0	34645.3	43796.2	49049	52688	0	0	0	0	0	0	  3
DATA	09:53:27:000	2023-12-05	1960440	12.5995	554.378	0.092458	391.8	731.131	13.1604	0.0730266	22.7356	15.7014	21.3566	78.7397	255	0	0	11.0048	2.01476	2.31732	11.38	98.9352	0	0	34649	43796	49004.4	52682.9	0	0	0	0	0	0	169
DATA	09:53:28:000	2023-12-05	1960740	12.5972	554.277	0.0924434	391.761	731.142	13.1606	0.0730259	22.7378	15.7026	21.3746	78.738	255	0	0	11.0041	2.01499	2.31732	11.38	98.9403	0	0	34650.4	43795.9	48999.5	52683.2	0	0	0	0	0	0	219
DATA	09:53:29:000	2023-12-05	1961040	12.5593	552.609	0.0922341	390.595	744.73	13.4051	0.0739794	23.1611	15.9916	21.3932	78.7405	255	0	0	11.0007	2.01487	2.3177	11.38	98.9337	0	0	34663.7	43794.2	48928.2	52675.1	0	0	0	0	0	0	163
DATA	09:53:30:000	2023-12-05	1961340	12.5735	553.234	0.0923116	391.079	737.85	13.2813	0.073497	22.9497	15.8474	21.413	78.7372	255	0	0	11.0007	2.01484	2.31745	11.38	98.9354	0	0	34654.5	43795.3	48971.2	52678.5	0	0	0	0	0	0	116
DATA	09:53:31:000	2023-12-05	1961640	12.5195	550.858	0.0920056	389.434	758.895	13.6601	0.0749568	23.6064	16.289	21.432	78.7352	255	0	0	11.0021	2.01495	2.31658	11.38	98.9319	0	0	34668.1	43792.7	48880.3	52672.7	0	0	0	0	0	0	183
DATA	09:53:32:000	2023-12-05	1961940	12.5108	550.475	0.0919548	389.161	762.501	13.725	0.0752037	23.7184	16.3643	21.4493	78.7403	255	0	0	11.0007	2.015	2.31795	11.38	98.9287	0	0	34670.1	43790.8	48874.2	52668.5	0	0	0	0	0	0	107
DATA	09:53:33:000	2023-12-05	1962240	12.5022	550.097	0.0919034	388.923	762.215	13.7199	0.0751817	23.7113	16.3595	21.47	78.7399	255	0	0	10.9966	2.01487	2.31757	11.38	98.9286	0	0	34669.2	43791.9	48876.9	52668.8	0	0	0	0	0	0	218
DATA	09:53:34:000	2023-12-05	1962540	12.4458	547.615	0.0915886	387.16	785.426	14.1377	0.0767779	24.4328	16.8325	21.4914	78.7474	255	0	0	10.9966	2.01492	2.31857	11.38	98.9219	0	0	34679.4	43788.5	48764.4	52658.4	0	0	0	0	0	0	 34
DATA	09:53:35:000	2023-12-05	1962840	12.4658	548.495	0.0916994	387.857	782.879	14.0918	0.0766001	24.3582	16.7825	21.5129	78.738	255	0	0	10.9952	2.01506	2.31845	11.38	98.9154	0	0	34670.8	43784.3	48780.9	52656.6	0	0	0	0	0	0	 25
DATA	09:53:36:000	2023-12-05	1963140	12.4447	547.567	0.0915781	387.22	789.156	14.2048	0.0770258	24.5548	16.9094	21.5319	78.739	255	0	0	10.9973	2.01527	2.31732	11.38	98.9068	0	0	34672.4	43778.4	48746.6	52645	0	0	0	0	0	0	110
DATA	09:53:37:000	2023-12-05	1963440	12.466	548.504	0.0917065	387.873	780.129	14.0423	0.0764193	24.2733	16.7293	21.5549	78.7472	255	0	0	10.9952	2.0152	2.31882	11.38	98.8939	0	0	34659.2	43773.3	48782.3	52643.9	0	0	0	0	0	0	196
DATA	09:53:38:000	2023-12-05	1963740	12.4667	548.535	0.0917034	388.008	789.263	14.2067	0.0770324	24.5647	16.914	21.5783	78.7305	255	0	0	10.9924	2.01505	2.31907	11.38	98.8901	0	0	34662.2	43773.2	48768.8	52642.9	0	0	0	0	0	0	238
DATA	09:53:39:000	2023-12-05	1964040	12.4523	547.901	0.0916235	387.54	787.538	14.1757	0.0769186	24.5097	16.8806	21.5994	78.7401	255	0	0	10.9924	2.01534	2.31969	11.38	98.9152	0	0	34669.8	43781.5	48765.2	52649.5	0	0	0	0	0	0	 14
DATA	09:53:40:000	2023-12-05	1964340	12.4537	547.963	0.0916336	387.61	783.801	14.1084	0.0766666	24.3951	16.8069	21.6221	78.7409	255	0	0	10.9938	2.01504	2.31957	11.38	98.9122	0	0	34672.6	43783.1	48765.5	52651.8	0	0	0	0	0	0	235
DATA	09:53:41:000	2023-12-05	1964640	12.4435	547.514	0.0915717	387.288	794.127	14.2943	0.0773633	24.7162	17.0144	21.644	78.7476	255	0	0	10.9924	2.01522	2.31944	11.38	98.9191	0	0	34674.6	43784.3	48747.2	52652	0	0	0	0	0	0	131
DATA	09:53:42:000	2023-12-05	1964940	12.4238	546.647	0.0914631	386.74	817.848	14.7213	0.0789647	25.4588	17.4808	21.663	78.7393	255	0	0	10.9897	2.01538	2.31969	11.38	98.9187	0	0	34677.2	43782.6	48654.7	52644.9	0	0	0	0	0	0	247
DATA	09:53:43:000	2023-12-05	1965240	12.4364	547.202	0.091537	387.158	796.536	14.3376	0.0775336	24.797	17.0643	21.6822	78.7392	255	0	0	10.9883	2.01522	2.31982	11.38	98.9133	0	0	34678.2	43781.7	48713.8	52648.7	0	0	0	0	0	0	197
DATA	09:53:44:000	2023-12-05	1965540	12.4331	547.056	0.0915107	387.117	800.765	14.4138	0.07781	24.9326	17.149	21.7021	78.7321	255	0	0	10.989	2.01529	2.31944	11.38	98.9127	0	0	34675.9	43780.8	48715.3	52647.4	0	0	0	0	0	0	 63
DATA	09:53:45:000	2023-12-05	1965840	12.3988	545.547	0.0913185	386.031	812.358	14.6224	0.0785953	25.2924	17.3772	21.7208	78.7407	255	0	0	10.9869	2.0154	2.31969	11.38	98.9181	0	0	34683	43782.1	48664.4	52642.1	0	0	0	0	0	0	150
DATA	09:53:46:000	2023-12-05	1966140	12.4177	546.379	0.0914272	386.645	803.038	14.4547	0.0779693	25.0039	17.1956	21.7369	78.7398	255	0	0	10.9842	2.01524	2.32057	11.38	98.9109	0	0	34681.2	43780.5	48695	52645.8	0	0	0	0	0	0	210
DATA	09:53:47:000	2023-12-05	1966440	12.4062	545.873	0.0913574	386.37	808.392	14.5511	0.0783246	25.176	17.3016	21.7549	78.7276	255	0	0	10.9801	2.01516	2.32194	11.38	98.902	0	0	34679.9	43777.3	48678.2	52641.8	0	0	0	0	0	0	136
DATA	09:53:48:000	2023-12-05	1966740	12.4078	545.943	0.0913706	386.409	809.94	14.5789	0.0784336	25.2235	17.3329	21.7741	78.7351	255	0	0	10.9718	2.01541	2.32106	11.38	98.9131	0	0	34681.9	43779.8	48661.6	52640.7	0	0	0	0	0	0	247
DATA	09:53:49:000	2023-12-05	1967040	12.3939	545.332	0.0912913	385.965	815.48	14.6786	0.0788059	25.3953	17.4419	21.7939	78.7425	255	0	0	10.9828	2.01548	2.32106	11.38	98.9111	0	0	34682.3	43778.2	48654.9	52641	0	0	0	0	0	0	164
