Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 5 2023 at 2:48:36
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	08:48:34:000	2023-12-05	792540	12.8765	566.566	0.0940371	397.064	722.835	13.011	0.0724535	22.2896	15.3989	19.0166	78.773	255	0	0	11.7054	1.99716	2.25273	11.91	99.2059	0	0	34816.2	44085.8	49368.3	53051.2	0	0	0	0	0	0	136
DATA	08:48:35:000	2023-12-05	792840	13.3027	585.319	0.0964269	410.171	673.679	12.1262	0.0689547	20.772	14.3056	19.0077	78.7775	255	0	0	11.7047	1.99706	2.25311	11.91	99.2131	0	0	34730.2	44089.9	49572.8	53070	0	0	0	0	0	0	 76
DATA	08:48:36:000	2023-12-05	793140	13.3467	587.255	0.0966678	411.505	667.259	12.0107	0.0684871	20.5729	14.1567	18.9876	78.7765	255	0	0	11.7061	1.99698	2.25236	11.91	99.2101	0	0	34722.1	44089.4	49589.1	53069.7	0	0	0	0	0	0	  9
DATA	08:48:37:000	2023-12-05	793440	13.1579	578.948	0.0956169	405.668	690.949	12.4371	0.0701931	21.3025	14.6948	18.9607	78.7722	255	0	0	11.7054	1.997	2.25261	11.91	99.2143	0	0	34757.2	44091.1	49514.6	53066.6	0	0	0	0	0	0	146
DATA	08:48:38:000	2023-12-05	793740	13.0923	576.061	0.0952512	403.573	696.486	12.5367	0.0705898	21.4693	14.8171	18.9322	78.7787	255	0	0	11.7047	1.99705	2.25211	11.91	99.215	0	0	34766.2	44090.9	49497.5	53064.7	0	0	0	0	0	0	201
DATA	08:48:39:000	2023-12-05	794040	13.0479	574.108	0.0950059	402.169	700.97	12.6175	0.0709128	21.6056	14.9153	18.9076	78.7791	255	0	0	11.7047	1.99707	2.25173	11.91	99.2165	0	0	34782.5	44091.3	49459.7	53062.4	0	0	0	0	0	0	181
DATA	08:48:40:000	2023-12-05	794340	13.0545	574.398	0.09504	402.336	701.862	12.6335	0.0709735	21.6312	14.9342	18.8916	78.7818	255	0	0	11.7047	1.99698	2.24999	11.91	99.2152	0	0	34796.2	44091.7	49431.9	53060.5	0	0	0	0	0	0	136
DATA	08:48:41:000	2023-12-05	794640	13.0212	572.933	0.0948533	401.319	706.624	12.7192	0.0713111	21.7785	15.0385	18.8778	78.7763	255	0	0	11.7033	1.99701	2.25086	11.91	99.2096	0	0	34792.6	44088.8	49427.1	53059.2	0	0	0	0	0	0	223
DATA	08:48:42:000	2023-12-05	794940	13.0866	575.81	0.0952186	403.314	697.299	12.5514	0.0706471	21.49	14.8316	18.8653	78.7769	255	0	0	11.7054	1.99698	2.25198	11.91	99.2101	0	0	34772.1	44089.3	49489.9	53062.5	0	0	0	0	0	0	111
DATA	08:48:43:000	2023-12-05	795240	13.1674	579.366	0.0956729	405.796	686.827	12.3629	0.0699011	21.1668	14.5964	18.8522	78.7751	255	0	0	11.7047	1.9969	2.25149	11.91	99.2126	0	0	34752.8	44091.2	49518	53067.2	0	0	0	0	0	0	120
DATA	08:48:44:000	2023-12-05	795540	13.169	579.436	0.095681	405.801	684.701	12.3246	0.0697479	21.0989	14.5477	18.8404	78.7805	255	0	0	11.7047	1.9971	2.25161	11.91	99.2191	0	0	34760	44092.2	49521.2	53068.5	0	0	0	0	0	0	242
DATA	08:48:45:000	2023-12-05	795840	13.0904	575.978	0.095239	403.404	698.654	12.5758	0.0707426	21.5303	14.8597	18.8274	78.772	255	0	0	11.7047	1.99709	2.25049	11.91	99.218	0	0	34789.8	44091.9	49439.3	53061.9	0	0	0	0	0	0	124
DATA	08:48:46:000	2023-12-05	796140	13.0862	575.793	0.0952194	403.211	695.333	12.516	0.0705103	21.4245	14.7851	18.8149	78.7811	255	0	0	11.7047	1.99693	2.24986	11.91	99.2152	0	0	34776.4	44092.1	49482.2	53065.5	0	0	0	0	0	0	169
DATA	08:48:47:000	2023-12-05	796440	13.0879	575.868	0.0952251	403.281	699.905	12.5983	0.0708318	21.5664	14.8863	18.8055	78.775	255	0	0	11.7033	1.9969	2.25024	11.91	99.219	0	0	34781.2	44094.1	49461.2	53066	0	0	0	0	0	0	  3
DATA	08:48:48:000	2023-12-05	796740	13.0217	572.955	0.0948578	401.227	705.245	12.6944	0.0712153	21.7301	15.0039	18.7977	78.7758	255	0	0	11.7019	1.99704	2.25036	11.91	99.2149	0	0	34788.1	44090.9	49440	53061.2	0	0	0	0	0	0	128
DATA	08:48:49:000	2023-12-05	797040	12.9759	570.94	0.094597	399.796	710.168	12.783	0.0715604	21.8807	15.1117	18.7913	78.778	255	0	0	11.7033	1.9969	2.25036	11.91	99.2101	0	0	34808.8	44090.2	49398.2	53056.4	0	0	0	0	0	0	  3
DATA	08:48:50:000	2023-12-05	797340	12.9127	568.159	0.0942461	397.824	716.509	12.8972	0.0720133	22.0747	15.2499	18.7897	78.7824	255	0	0	11.704	1.9971	2.25061	11.91	99.2177	0	0	34804.5	44091.6	49412.3	53059.7	0	0	0	0	0	0	142
DATA	08:48:51:000	2023-12-05	797640	12.7399	560.556	0.0932682	392.498	739.766	13.3158	0.0736418	22.7911	15.748	18.7884	78.7826	255	0	0	11.7033	1.99724	2.25061	11.91	99.2146	0	0	34823.1	44088.9	49361.7	53054.6	0	0	0	0	0	0	220
DATA	08:48:52:000	2023-12-05	797940	12.9357	569.171	0.0943769	398.49	716.205	12.8917	0.0719931	22.063	15.2432	18.7868	78.79	255	0	0	11.7033	1.99699	2.24974	11.91	99.2133	0	0	34803.8	44090.8	49409	53058.1	0	0	0	0	0	0	226
DATA	08:48:53:000	2023-12-05	798240	13.0167	572.735	0.0948259	401.076	709.501	12.771	0.0715126	21.8615	15.0967	18.783	78.7711	255	0	0	11.704	1.99703	2.25024	11.91	99.2171	0	0	34809.1	44092	49387.7	53057.6	0	0	0	0	0	0	219
