Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 5 2023 at 2:51:26
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	08:51:24:000	2023-12-05	843540	12.8011	563.248	0.0936125	393.912	715.531	12.8796	0.071942	22.0181	15.2082	18.4055	78.7734	255	0	0	11.6868	1.99179	2.2334	11.91	99.2278	0	0	34882.3	44146.2	49457.6	53129.8	0	0	0	0	0	0	116
DATA	08:51:25:000	2023-12-05	843840	12.7696	561.862	0.0934335	392.968	719.939	12.9589	0.072252	22.1552	15.3049	18.4275	78.7742	255	0	0	11.6882	1.99184	2.23515	11.91	99.2323	0	0	34885.4	44147.6	49451.3	53130.5	0	0	0	0	0	0	195
DATA	08:51:26:000	2023-12-05	844140	12.7743	562.069	0.0934616	393.118	719.348	12.9483	0.0722118	22.1373	15.2932	18.4472	78.7784	255	0	0	11.6882	1.9919	2.23428	11.91	99.2326	0	0	34885.9	44147.2	49448.9	53128.9	0	0	0	0	0	0	196
DATA	08:51:27:000	2023-12-05	844440	12.7753	562.113	0.0934665	393.213	720.687	12.9724	0.0723049	22.1822	15.3234	18.4696	78.7716	255	0	0	11.6868	1.99185	2.23328	11.91	99.2262	0	0	34886.1	44144.8	49439.4	53126.8	0	0	0	0	0	0	231
DATA	08:51:28:000	2023-12-05	844740	12.756	561.264	0.0933539	392.669	726.298	13.0734	0.0726957	22.3577	15.4454	18.492	78.7676	255	0	0	11.6861	1.99166	2.23515	11.91	99.219	0	0	34891.7	44143.5	49401.3	53122.9	0	0	0	0	0	0	 96
DATA	08:51:29:000	2023-12-05	845040	12.7422	560.657	0.0932761	392.243	723.044	13.0148	0.0724681	22.2575	15.3765	18.5126	78.7734	255	0	0	11.6868	1.99177	2.2334	11.91	99.2236	0	0	34893	44144.5	49423.5	53124.7	0	0	0	0	0	0	 59
DATA	08:51:30:000	2023-12-05	845340	12.7327	560.239	0.0932238	391.965	728.316	13.1097	0.0728392	22.4206	15.491	18.5355	78.7767	255	0	0	11.6875	1.9917	2.23415	11.91	99.2244	0	0	34893.3	44145.4	49403.5	53126.1	0	0	0	0	0	0	109
DATA	08:51:31:000	2023-12-05	845640	12.7316	560.19	0.093217	391.988	734.894	13.2281	0.073298	22.6264	15.6325	18.5587	78.7715	255	0	0	11.6861	1.99164	2.23465	11.91	99.2184	0	0	34893.1	44143.3	49383.2	53123.4	0	0	0	0	0	0	 74
DATA	08:51:32:000	2023-12-05	845940	12.7236	559.838	0.0931739	391.78	731.842	13.1732	0.0730872	22.5346	15.5688	18.5821	78.7702	255	0	0	11.6861	1.99157	2.23415	11.91	99.2176	0	0	34896.1	44143.7	49392.8	53122.9	0	0	0	0	0	0	193
DATA	08:51:33:000	2023-12-05	846240	12.713	559.372	0.0931105	391.504	737.87	13.2817	0.0735044	22.7231	15.6981	18.6051	78.7662	255	0	0	11.6758	1.99162	2.23528	11.91	99.2198	0	0	34896.2	44144.2	49366.2	53120.6	0	0	0	0	0	0	105
DATA	08:51:34:000	2023-12-05	846540	12.7123	559.341	0.0931095	391.467	738.855	13.2994	0.0735763	22.7526	15.7202	18.6278	78.7755	255	0	0	11.6861	1.99135	2.2344	11.91	99.2109	0	0	34895.3	44142.8	49360.1	53120.2	0	0	0	0	0	0	170
DATA	08:51:35:000	2023-12-05	846840	12.703	558.932	0.0930567	391.244	739.913	13.3184	0.0736499	22.7888	15.7436	18.6477	78.7682	255	0	0	11.6861	1.99163	2.23465	11.91	99.221	0	0	34900.8	44144.6	49354.6	53122.6	0	0	0	0	0	0	146
DATA	08:51:36:000	2023-12-05	847140	12.7019	558.884	0.093047	391.247	743.411	13.3814	0.0738889	22.8987	15.8185	18.6701	78.7668	255	0	0	11.6861	1.99147	2.23453	11.91	99.2146	0	0	34901.7	44143.3	49334.3	53119.4	0	0	0	0	0	0	190
DATA	08:51:37:000	2023-12-05	847440	12.6949	558.576	0.0930115	391.036	744.076	13.3934	0.0739397	22.9195	15.8338	18.6933	78.7721	255	0	0	11.6861	1.99144	2.23453	11.91	99.2139	0	0	34900.9	44143.2	49334.7	53118.1	0	0	0	0	0	0	237
DATA	08:51:38:000	2023-12-05	847740	12.6829	558.048	0.0929413	390.713	749.398	13.4892	0.0743064	23.0862	15.9464	18.7139	78.7682	255	0	0	11.6868	1.9915	2.23528	11.91	99.2126	0	0	34901.8	44142	49309.6	53117.1	0	0	0	0	0	0	101
DATA	08:51:39:000	2023-12-05	848040	12.6819	558.004	0.0929367	390.708	752.148	13.5387	0.074498	23.1724	16.0049	18.7368	78.7692	255	0	0	11.6793	1.99125	2.23565	11.91	99.2064	0	0	34903.7	44141.7	49308.8	53118	0	0	0	0	0	0	 97
DATA	08:51:40:000	2023-12-05	848340	12.6763	557.757	0.0929044	390.57	754.216	13.5759	0.0746402	23.2382	16.0491	18.7589	78.7682	255	0	0	11.6854	1.99136	2.23503	11.91	99.208	0	0	34904.4	44141.3	49296.7	53116.6	0	0	0	0	0	0	130
DATA	08:51:41:000	2023-12-05	848640	12.6647	557.247	0.0928386	390.232	755.814	13.6047	0.074751	23.2885	16.0833	18.7786	78.7697	255	0	0	11.6854	1.99127	2.23627	11.91	99.202	0	0	34903.8	44139.5	49282	53113.3	0	0	0	0	0	0	 43
