Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 5 2023 at 5:54:58
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	11:54:55:000	2023-12-05	698775	13.0812	575.573	0.0951617	407.906	732.324	13.1818	0.0730885	22.8358	15.754	21.8681	78.6586	255	0	0	12.2031	2.04452	2.37069	12.42	98.1085	0	0	34050	43131.9	48251.3	51907.3	0	0	0	0	0	0	 51
DATA	11:54:56:000	2023-12-05	699075	13.0009	572.04	0.0947126	405.365	741.205	13.3417	0.0737093	23.1106	15.9416	21.8509	78.6612	255	0	0	12.2038	2.04434	2.3692	12.42	98.1048	0	0	34041.6	43132.2	48288.5	51909.9	0	0	0	0	0	0	 65
DATA	11:54:57:000	2023-12-05	699375	12.7964	563.042	0.0935601	398.982	773.596	13.9247	0.0759428	24.1202	16.6115	21.8278	78.6563	255	0	0	12.2024	2.04426	2.36932	12.42	98.1028	0	0	34084	43132.1	48165.8	51899.5	0	0	0	0	0	0	129
DATA	11:54:58:000	2023-12-05	699675	13.0173	572.761	0.0948027	405.804	736.257	13.2526	0.0733626	22.9522	15.8347	21.81	78.6644	255	0	0	12.2038	2.04436	2.36982	12.42	98.1087	0	0	34051.6	43133.7	48278.1	51910	0	0	0	0	0	0	  0
DATA	11:54:59:000	2023-12-05	699975	12.9388	569.307	0.094364	403.338	750.024	13.5004	0.0743218	23.3803	16.1239	21.7945	78.6639	255	0	0	12.2004	2.04416	2.36945	12.42	98.1026	0	0	34112.9	43133	48080	51893	0	0	0	0	0	0	102
DATA	11:55:00:000	2023-12-05	700275	12.9533	569.945	0.0944408	403.809	747.969	13.4634	0.0741743	23.3174	16.0801	21.7799	78.6562	255	0	0	12.2031	2.04401	2.36745	12.42	98.0977	0	0	34039.7	43132.4	48307.1	51913.5	0	0	0	0	0	0	191
DATA	11:55:01:000	2023-12-05	700575	12.9471	569.672	0.09441	403.573	746.155	13.4308	0.0740527	23.2584	16.0416	21.7709	78.6621	255	0	0	12.2038	2.0438	2.36795	12.42	98.092	0	0	34080.6	43132.1	48183.9	51900.3	0	0	0	0	0	0	222
DATA	11:55:02:000	2023-12-05	700875	12.7374	560.446	0.0932264	397.037	780.377	14.0468	0.076406	24.3251	16.7453	21.7605	78.6593	255	0	0	12.2031	2.04407	2.3687	12.42	98.095	0	0	34127.3	43130.6	48030.9	51888.3	0	0	0	0	0	0	 31
DATA	11:55:03:000	2023-12-05	701175	12.6991	558.76	0.0930094	395.815	785.128	14.1323	0.0767298	24.4714	16.8406	21.7541	78.6632	255	0	0	12.2024	2.04397	2.3687	12.42	98.0983	0	0	34146.5	43133.1	47972.5	51884.7	0	0	0	0	0	0	115
DATA	11:55:04:000	2023-12-05	701475	12.7966	563.05	0.0935615	398.878	770.786	13.8741	0.0757504	24.0259	16.5504	21.7549	78.6586	255	0	0	12.2031	2.04363	2.3692	12.42	98.0873	0	0	34151.9	43131.8	47963.6	51884.6	0	0	0	0	0	0	131
