Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 13:49:22
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	21:49:19:000	2023-12-09	1061820	14.8473	653.281	0.104722	450.602	625.919	11.2665	0.0653776	18.9961	12.8694	13.2391	78.4551	254	0	0	13.0515	1.9225	2.04262	13.17	94.4061			33212.1	42567.7	49649.2	53015.2	0	0	0	0	0	0	 31
DATA	21:49:20:000	2023-12-09	1062120	14.8489	653.352	0.104736	450.632	626.804	11.2825	0.0654467	19.0221	12.8912	13.2429	78.4594	254	0	0	13.0515	1.92248	2.04287	13.17	94.4722			33234.4	42597.6	49674.9	53038	0	0	0	0	0	0	249
DATA	21:49:21:000	2023-12-09	1062420	14.8538	653.567	0.104761	450.779	626.418	11.2755	0.0654177	19.0104	12.882	13.2463	78.4605	254	0	0	13.0515	1.92212	2.04287	13.17	94.5508			33265.7	42635.7	49702.5	53069.3	0	0	0	0	0	0	 36
DATA	21:49:22:000	2023-12-09	1062720	14.8293	652.489	0.104626	450.098	626.939	11.2849	0.0654532	19.0288	12.8948	13.2499	78.4506	254	0	0	13.0515	1.92261	2.04138	13.17	94.5386			33258.8	42626.6	49695.8	53061.7	0	0	0	0	0	0	137
DATA	21:49:23:000	2023-12-09	1063020	14.8412	653.013	0.10469	450.47	627.201	11.2896	0.065473	19.0372	12.9014	13.2538	78.4498	254	0	0	13.0522	1.92233	2.04237	13.17	94.5827			33278	42648.6	49717.7	53089.2	0	0	0	0	0	0	 84
DATA	21:49:24:000	2023-12-09	1063320	14.8403	652.973	0.104686	450.446	627.298	11.2914	0.0654804	19.0403	12.904	13.2573	78.4502	254	0	0	13.0515	1.92249	2.0425	13.17	94.611			33284.3	42660.2	49724.9	53094.7	0	0	0	0	0	0	173
DATA	21:49:25:000	2023-12-09	1063620	14.8354	652.758	0.104659	450.279	626.615	11.2791	0.0654294	19.0188	12.8875	13.2611	78.4544	254	0	0	13.0515	1.92224	2.04175	13.17	94.6296			33292	42670.4	49736.6	53104.4	0	0	0	0	0	0	  5
DATA	21:49:26:000	2023-12-09	1063920	14.8325	652.63	0.104644	450.229	626.216	11.2719	0.0654003	19.0083	12.878	13.2646	78.4487	254	0	0	13.0515	1.92285	2.04399	13.17	94.6627			33298.8	42680.7	49743.9	53112.3	0	0	0	0	0	0	  1
DATA	21:49:27:000	2023-12-09	1064220	14.8376	652.854	0.10467	450.373	627.815	11.3007	0.0655176	19.0564	12.9172	13.268	78.4516	254	0	0	13.0522	1.92245	2.04212	13.17	94.6474			33296.3	42676.8	49733.7	53108.7	0	0	0	0	0	0	248
DATA	21:49:28:000	2023-12-09	1064520	14.8589	653.792	0.104788	451.006	627.592	11.2967	0.0655041	19.0491	12.9119	13.2715	78.4548	254	0	0	13.0522	1.92248	2.04337	13.17	94.689			33308.8	42695.3	49754.8	53126.1	0	0	0	0	0	0	 73
