Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 13:42:41
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	21:42:38:000	2023-12-09	941520	14.6054	642.638	0.103433	443.237	614.893	11.0681	0.064558	18.6605	12.5972	13.2216	78.4544	254	0	0	13.0529	1.92223	2.04013	13.17	93.1503			32835.2	42003.4	48935.3	52186	0	0	0	0	0	0	111
DATA	21:42:39:000	2023-12-09	941820	14.6376	644.054	0.103608	444.193	618.362	11.1305	0.0648191	18.7648	12.683	13.2219	78.4582	254	0	0	13.0536	1.92237	2.04013	13.17	92.8854			32726.2	41882.9	48829.8	52085.1	0	0	0	0	0	0	255
DATA	21:42:40:000	2023-12-09	942120	14.6151	643.064	0.103488	443.527	614.366	11.0586	0.0645215	18.6443	12.5842	13.2226	78.4554	254	0	0	13.0536	1.92246	2.03988	13.17	92.9838			32748.7	41926.7	48873.9	52134	0	0	0	0	0	0	210
DATA	21:42:41:000	2023-12-09	942420	14.6228	643.403	0.103528	443.753	617.38	11.1128	0.0647455	18.7354	12.6589	13.2235	78.457	254	0	0	13.0536	1.92233	2.04	13.17	92.919			32734.2	41898.3	48861.8	52114.4	0	0	0	0	0	0	238
DATA	21:42:42:000	2023-12-09	942720	14.6346	643.922	0.103594	444.12	615.706	11.0827	0.0646225	18.685	12.6175	13.2245	78.4558	254	0	0	13.0529	1.92253	2.03888	13.17	92.9049			32719	41890.5	48860.7	52133.2	0	0	0	0	0	0	102
DATA	21:42:43:000	2023-12-09	943020	14.6848	646.131	0.103859	445.63	616.752	11.1015	0.0646981	18.7162	12.6434	13.2246	78.4581	254	0	0	13.0536	1.92253	2.03926	13.17	92.8129			32692.3	41849.1	48837.2	52073.9	0	0	0	0	0	0	246
DATA	21:42:44:000	2023-12-09	943320	14.5113	638.497	0.102926	440.416	606.344	10.9142	0.0639176	18.4025	12.3841	13.2243	78.449	254	0	0	13.0522	1.92217	2.04025	13.17	92.7548			32681.1	41825.5	48846.8	52089.4	0	0	0	0	0	0	225
DATA	21:42:45:000	2023-12-09	943620	14.5965	642.246	0.103385	442.971	604.899	10.8882	0.0638099	18.3573	12.3477	13.2233	78.4542	254	0	0	13.0536	1.92232	2.03975	13.17	92.2327			32493.8	41589	48625.9	51836.5	0	0	0	0	0	0	239
DATA	21:42:46:000	2023-12-09	943920	14.618	643.192	0.103499	443.633	607.875	10.9418	0.0640329	18.448	12.4224	13.222	78.4522	254	0	0	13.0543	1.92245	2.04025	13.17	92.0068			32401.6	41486.2	48530	51731.5	0	0	0	0	0	0	 11
DATA	21:42:47:000	2023-12-09	944220	14.7417	648.635	0.104156	447.443	607.955	10.9432	0.0640374	18.4528	12.4243	13.2217	78.4423	254	0	0	13.0536	1.92228	2.04013	13.17	92.2523			32473.6	41598.1	48598.2	51823.3	0	0	0	0	0	0	 24
DATA	21:42:48:000	2023-12-09	944520	14.6113	642.897	0.103463	443.421	604.408	10.8793	0.0637739	18.3425	12.3353	13.2211	78.4534	254	0	0	13.0536	1.92246	2.04	13.17	92.45			32539.8	41686	48680.2	51912.5	0	0	0	0	0	0	185
DATA	21:42:49:000	2023-12-09	944820	14.5719	641.164	0.103256	442.225	604.599	10.8828	0.0637899	18.3482	12.34	13.2197	78.4531	254	0	0	13.0529	1.92242	2.03988	13.17	92.6776			32657.3	41788.8	48805	52007.8	0	0	0	0	0	0	140
DATA	21:42:50:000	2023-12-09	945120	14.5869	641.824	0.103333	442.716	614.114	11.0541	0.0644994	18.6385	12.5777	13.2184	78.4464	254	0	0	13.0529	1.9226	2.03913	13.17	92.488			32584.7	41702	48681.5	51915.1	0	0	0	0	0	0	 94
DATA	21:42:51:000	2023-12-09	945420	14.7133	647.385	0.104009	446.519	612.577	11.0264	0.0643859	18.5905	12.5395	13.2173	78.4519	254	0	0	13.0543	1.9223	2.03975	13.17	92.6426			32637.3	41773.9	48754	51953.3	0	0	0	0	0	0	161
DATA	21:42:52:000	2023-12-09	945720	14.6322	643.817	0.103577	444.061	614.917	11.0685	0.0645609	18.6616	12.5975	13.2159	78.4509	254	0	0	13.0536	1.92241	2.03975	13.17	92.7434			32695.1	41818.6	48791	52008.2	0	0	0	0	0	0	211
DATA	21:42:53:000	2023-12-09	946020	14.6902	646.369	0.103885	445.823	611.336	11.004	0.0642917	18.553	12.5084	13.2149	78.4504	254	0	0	13.0529	1.92254	2.03901	13.17	92.6728			32634.2	41785.8	48775.9	51998.2	0	0	0	0	0	0	204
DATA	21:42:54:000	2023-12-09	946320	14.6669	645.344	0.103757	445.135	607.843	10.9412	0.0640285	18.4478	12.4211	13.2141	78.4468	254	0	0	13.0536	1.92233	2.04	13.17	92.6283			32630.7	41767.3	48778.8	51965.7	0	0	0	0	0	0	152
DATA	21:42:55:000	2023-12-09	946620	14.637	644.028	0.1036	444.199	604.544	10.8818	0.0637825	18.3465	12.3383	13.2142	78.4518	254	0	0	13.0536	1.92229	2.03988	13.17	92.1542			32469.2	41553.8	48596.6	51807.1	0	0	0	0	0	0	160
DATA	21:42:56:000	2023-12-09	946920	14.6703	645.493	0.10378	445.202	603.469	10.8624	0.0637043	18.3136	12.3112	13.2136	78.4531	254	0	0	13.0536	1.92212	2.03975	13.17	92.3769			32539.7	41655.4	48657.6	51885.8	0	0	0	0	0	0	251
DATA	21:42:57:000	2023-12-09	947220	14.6874	646.246	0.103871	445.713	609.184	10.9653	0.0641319	18.4867	12.4546	13.2124	78.4541	254	0	0	13.0536	1.92236	2.04	13.17	92.5004			32563.9	41709.4	48716.7	51946.9	0	0	0	0	0	0	155
DATA	21:42:58:000	2023-12-09	947520	14.6485	644.534	0.103665	444.544	606.291	10.9132	0.0639163	18.3993	12.3821	13.2112	78.4518	254	0	0	13.0543	1.92239	2.04038	13.17	92.5494			32633.3	41731.2	48776.2	51958.5	0	0	0	0	0	0	 42
DATA	21:42:59:000	2023-12-09	947820	14.4632	636.381	0.102669	438.894	598.23	10.7681	0.0633075	18.1536	12.1785	13.2106	78.4563	254	0	0	13.0536	1.92232	2.03951	13.17	91.8528			32364.8	41417.7	48501.5	51697.3	0	0	0	0	0	0	  9
DATA	21:43:00:000	2023-12-09	948120	14.653	644.732	0.103689	444.61	601.426	10.8257	0.0635509	18.2488	12.2595	13.2104	78.464	254	0	0	13.0536	1.92219	2.03988	13.17	91.7155			32212.1	41356.7	48394.6	51602.8	0	0	0	0	0	0	130
DATA	21:43:01:000	2023-12-09	948420	14.7273	648.001	0.104082	446.935	599.21	10.7858	0.0633821	18.1845	12.2033	13.2093	78.4513	254	0	0	13.0536	1.92244	2.04025	13.17	91.7826			32337.5	41385.1	48437.9	51647.3	0	0	0	0	0	0	224
DATA	21:43:02:000	2023-12-09	948720	14.6982	646.721	0.103928	446.027	602.525	10.8455	0.0636322	18.2841	12.2871	13.2071	78.455	254	0	0	13.0536	1.9225	2.04	13.17	92.3376			32553.2	41634.9	48695.7	51859.2	0	0	0	0	0	0	 37
DATA	21:43:03:000	2023-12-09	949020	14.5698	641.071	0.103241	442.082	601.637	10.8295	0.0635658	18.2551	12.2645	13.205	78.4632	254	0	0	13.0536	1.9223	2.04013	13.17	92.0582			32424.7	41510.4	48548.1	51730.3	0	0	0	0	0	0	136
DATA	21:43:04:000	2023-12-09	949320	14.664	645.216	0.103742	445	594.636	10.7034	0.0630368	18.0451	12.0865	13.2027	78.4519	254	0	0	13.0522	1.92202	2.03901	13.17	92.2106			32431.5	41581.2	48591.5	51808.3	0	0	0	0	0	0	249
DATA	21:43:05:000	2023-12-09	949620	14.5384	639.69	0.103076	441.159	604.202	10.8756	0.0637603	18.3341	12.329	13.2004	78.4566	254	0	0	13.0536	1.92227	2.04038	13.17	92.3781			32531.4	41654.9	48667.2	51859.8	0	0	0	0	0	0	192
DATA	21:43:06:000	2023-12-09	949920	14.7271	647.992	0.10408	446.943	612.419	11.0235	0.0643718	18.5859	12.5345	13.1976	78.4457	254	0	0	13.0536	1.92241	2.03963	13.17	92.3995			32553.1	41663.6	48668.2	51914	0	0	0	0	0	0	178
DATA	21:43:07:000	2023-12-09	950220	14.6603	645.053	0.103721	444.938	609.315	10.9677	0.0641399	18.4926	12.457	13.1956	78.4412	254	0	0	13.0543	1.92233	2.03938	13.17	92.4799			32573.1	41700.3	48717.1	51941	0	0	0	0	0	0	144
DATA	21:43:08:000	2023-12-09	950520	14.6758	645.735	0.103804	445.422	608.981	10.9617	0.0641129	18.4831	12.4485	13.1929	78.438	254	0	0	13.0536	1.92184	2.03951	13.17	92.7168			32688.2	41810.8	48808.8	52046.6	0	0	0	0	0	0	 13
