Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 4:35:31
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	12:35:28:000	2023-12-09	1619925	13.526	595.144	0.0969443	439.259	808.172	14.5471	0.0775539	26.2455	17.4595	24.7928	76.2766	255	0	0	13.0728	2.06978	2.43591	13.21	99.1719	0	0	34122.9	43331.1	48556.7	52405.3	0	0	0	0	0	0	249
DATA	12:35:29:000	2023-12-09	1620225	13.5263	595.157	0.0969489	439.316	811.622	14.6092	0.0777859	26.3604	17.5282	24.8158	76.2743	255	0	0	13.0721	2.06949	2.43603	13.21	99.1697	0	0	34124.6	43333.4	48546.5	52407.5	0	0	0	0	0	0	 16
DATA	12:35:30:000	2023-12-09	1620525	13.5364	595.602	0.097004	439.684	815.258	14.6746	0.0780263	26.4809	17.6005	24.8419	76.2741	255	0	0	13.0728	2.06987	2.43628	13.21	99.1767	0	0	34119.1	43332.3	48522.6	52405.5	0	0	0	0	0	0	201
DATA	12:35:31:000	2023-12-09	1620825	13.5443	595.949	0.0970475	439.966	820.797	14.7743	0.0783929	26.6624	17.7092	24.8676	76.2762	255	0	0	13.0742	2.06957	2.43591	13.21	99.1736	0	0	34122.9	43334.2	48515.8	52405.6	0	0	0	0	0	0	 46
DATA	12:35:32:000	2023-12-09	1621125	13.5494	596.174	0.0970753	440.191	819.501	14.751	0.0783074	26.6238	17.6854	24.8907	76.2719	255	0	0	13.0728	2.0697	2.43553	13.21	99.179	0	0	34120.4	43335.1	48514.5	52406.2	0	0	0	0	0	0	 93
DATA	12:35:33:000	2023-12-09	1621425	13.5408	595.795	0.0970308	439.905	819.651	14.7537	0.07832	26.6283	17.6897	24.9167	76.2796	255	0	0	13.0735	2.06952	2.4379	13.21	99.1669	0	0	34120.6	43331.8	48511.6	52404.6	0	0	0	0	0	0	135
DATA	12:35:34:000	2023-12-09	1621725	13.5965	598.246	0.0973344	441.773	842.222	15.16	0.0798023	27.3652	18.1227	24.9424	76.2762	255	0	0	13.068	2.0696	2.43678	13.21	99.1756	0	0	34105.8	43334.7	48412.8	52399.6	0	0	0	0	0	0	 69
DATA	12:35:35:000	2023-12-09	1622025	13.5491	596.16	0.0970757	440.261	828.728	14.9171	0.0789176	26.9285	17.8672	24.9681	76.2779	255	0	0	13.0728	2.06987	2.43653	13.21	99.1766	0	0	34117.2	43332.2	48479.9	52401.5	0	0	0	0	0	0	248
DATA	12:35:36:000	2023-12-09	1622325	13.564	596.816	0.0971579	440.771	831.078	14.9594	0.0790728	27.0064	17.9136	24.9938	76.28	255	0	0	13.0735	2.06956	2.43641	13.21	99.162	0	0	34112.8	43329.2	48467	52399.7	0	0	0	0	0	0	245
DATA	12:35:37:000	2023-12-09	1622625	13.5797	597.507	0.09724	441.323	832.761	14.9897	0.0791799	27.0636	17.9471	25.0195	76.2794	255	0	0	13.0728	2.06971	2.4374	13.21	99.1716	0	0	34111.9	43331.8	48463.8	52400.4	0	0	0	0	0	0	133
DATA	12:35:38:000	2023-12-09	1622925	13.5746	597.282	0.0972153	441.22	837.294	15.0713	0.0794801	27.2149	18.0347	25.0431	76.2745	255	0	0	13.0735	2.06972	2.43728	13.21	99.1656	0	0	34110.7	43329	48448.3	52398.2	0	0	0	0	0	0	106
DATA	12:35:39:000	2023-12-09	1623225	13.5969	598.264	0.0973371	441.966	836.731	15.0612	0.0794433	27.1979	18.0252	25.0662	76.2767	255	0	0	13.068	2.06953	2.43803	13.21	99.1617	0	0	34106.2	43329.4	48447	52397.4	0	0	0	0	0	0	128
DATA	12:35:40:000	2023-12-09	1623525	13.6301	599.724	0.0975195	443.091	843.483	15.1827	0.0798867	27.4201	18.1544	25.091	76.2753	255	0	0	13.0735	2.06944	2.43753	13.21	99.1561	0	0	34098.3	43328	48418.2	52395.3	0	0	0	0	0	0	112
DATA	12:35:41:000	2023-12-09	1623825	13.6282	599.641	0.0975128	443.035	844.606	15.2029	0.0799643	27.4571	18.177	25.1162	76.2806	255	0	0	13.0735	2.06961	2.4394	13.21	99.1646	0	0	34099.4	43329.8	48416.2	52396	0	0	0	0	0	0	 72
DATA	12:35:42:000	2023-12-09	1624125	13.6256	599.526	0.0974956	442.98	844.523	15.2014	0.0799555	27.4562	18.1765	25.1372	76.2809	255	0	0	13.0728	2.06933	2.4379	13.21	99.1531	0	0	34097.5	43327.8	48409.3	52393.7	0	0	0	0	0	0	185
DATA	12:35:43:000	2023-12-09	1624425	13.6432	600.301	0.0975927	443.646	851.176	15.3212	0.0803903	27.6783	18.3029	25.162	76.2712	255	0	0	13.0742	2.06952	2.43778	13.21	99.1541	0	0	34093	43326.2	48388.6	52391.3	0	0	0	0	0	0	 80
DATA	12:35:44:000	2023-12-09	1624725	13.623	599.412	0.0974818	442.971	848.128	15.2663	0.0801907	27.578	18.247	25.186	76.2805	255	0	0	13.0735	2.0693	2.43715	13.21	99.1555	0	0	34099.4	43329.2	48397.8	52394.7	0	0	0	0	0	0	 34
DATA	12:35:45:000	2023-12-09	1625025	13.6323	599.821	0.0975308	443.334	850.618	15.3111	0.0803515	27.6628	18.2949	25.2088	76.2759	255	0	0	13.0742	2.06946	2.43828	13.21	99.1595	0	0	34097.7	43329.2	48389.3	52392.9	0	0	0	0	0	0	 27
DATA	12:35:46:000	2023-12-09	1625325	13.653	600.732	0.0976439	444.03	853.779	15.368	0.0805573	27.7671	18.3552	25.2313	76.2776	255	0	0	13.0735	2.06922	2.43778	13.21	99.1535	0	0	34094.9	43329.2	48381.7	52393.9	0	0	0	0	0	0	125
DATA	12:35:47:000	2023-12-09	1625625	13.6735	601.634	0.097758	444.715	858.263	15.4487	0.0808515	27.914	18.4401	25.2551	76.2807	255	0	0	13.0735	2.06959	2.4379	13.21	99.1608	0	0	34091.7	43328.3	48368.8	52390.9	0	0	0	0	0	0	133
DATA	12:35:48:000	2023-12-09	1625925	13.6831	602.056	0.097809	445.07	861.472	15.5065	0.081058	28.0211	18.5009	25.2788	76.2793	255	0	0	13.0728	2.06901	2.43815	13.21	99.1445	0	0	34086.3	43327.6	48348	52388.2	0	0	0	0	0	0	  5
DATA	12:35:49:000	2023-12-09	1626225	13.6825	602.03	0.0978072	445.073	862.097	15.5177	0.0811	28.0428	18.5136	25.2989	76.2806	255	0	0	13.0735	2.06949	2.43853	13.21	99.1541	0	0	34087.1	43326.5	48348.6	52387.5	0	0	0	0	0	0	 63
DATA	12:35:50:000	2023-12-09	1626525	13.7044	602.994	0.0979247	445.864	864.52	15.5614	0.0812555	28.1266	18.5596	25.3226	76.2732	255	0	0	13.0728	2.06942	2.4394	13.21	99.156	0	0	34083.6	43328.1	48340.6	52389.5	0	0	0	0	0	0	117
DATA	12:35:51:000	2023-12-09	1626825	13.7137	603.403	0.0979765	446.183	865.419	15.5775	0.0813151	28.1569	18.5775	25.3465	76.2765	255	0	0	13.0735	2.06923	2.4394	13.21	99.1484	0	0	34078.7	43326.8	48333.1	52388.3	0	0	0	0	0	0	237
DATA	12:35:52:000	2023-12-09	1627125	13.7361	604.388	0.0980994	446.936	867.841	15.6211	0.0814729	28.2372	18.6234	25.3702	76.2785	255	0	0	13.0735	2.06921	2.4399	13.21	99.1393	0	0	34073.7	43323.1	48324.3	52384	0	0	0	0	0	0	113
