Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 14 2023 at 6:33:16
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	14:33:06:000	2023-12-14	706500	12.8369	564.824	0.0931265	412.729	685.395	12.3371	0.0691324	22.0367	14.7217	21.8385	76.2799	255	0	0	13.0742	2.02641	2.32929	13.21	100.253	0	0	34996.9	44262.3	49755.3	53251.1	0	0	0	0	0	0	183
DATA	14:33:07:000	2023-12-14	706800	12.8208	564.115	0.0930386	412.214	689.755	12.4156	0.069443	22.177	14.8204	21.8455	76.2813	255	0	0	13.0735	2.02636	2.32805	13.21	100.259	0	0	35001.3	44265.3	49740.5	53252.1	0	0	0	0	0	0	 33
DATA	14:33:08:000	2023-12-14	707100	12.8147	563.847	0.0930069	412.011	695.649	12.5217	0.0698601	22.3661	14.9528	21.8529	76.2845	255	0	0	13.0756	2.02643	2.32855	13.21	100.258	0	0	34999.3	44264.2	49715.9	53249.1	0	0	0	0	0	0	190
DATA	14:33:09:000	2023-12-14	707400	12.8194	564.054	0.0930308	412.193	695.914	12.5265	0.0698767	22.3763	14.9592	21.8608	76.2807	255	0	0	13.0756	2.02638	2.32979	13.21	100.25	0	0	34998.6	44261.1	49716.1	53245.7	0	0	0	0	0	0	153
DATA	14:33:10:000	2023-12-14	707700	12.8071	563.512	0.0929621	411.822	702.032	12.6366	0.0703064	22.5744	15.0956	21.8686	76.2782	255	0	0	13.0735	2.02648	2.32904	13.21	100.26	0	0	35001.9	44264.6	49690.6	53248	0	0	0	0	0	0	247
DATA	14:33:11:000	2023-12-14	708000	12.809	563.596	0.0929729	411.869	703.161	12.6569	0.0703854	22.6099	15.121	21.8768	76.283	255	0	0	13.0756	2.02653	2.32867	13.21	100.263	0	0	35005.2	44265.2	49685.5	53249.5	0	0	0	0	0	0	 29
DATA	14:33:12:000	2023-12-14	708300	12.8038	563.367	0.0929429	411.759	706.666	12.72	0.0706304	22.7258	15.1987	21.8843	76.2743	255	0	0	13.0756	2.02639	2.32904	13.21	100.255	0	0	35004.8	44263	49670.3	53246.7	0	0	0	0	0	0	230
DATA	14:33:13:000	2023-12-14	708600	12.8023	563.301	0.0929317	411.75	709.458	12.7702	0.0708224	22.8177	15.2606	21.8929	76.2692	255	0	0	13.0742	2.02652	2.32817	13.21	100.257	0	0	35003.2	44262.7	49658.5	53244.6	0	0	0	0	0	0	 98
DATA	14:33:14:000	2023-12-14	708900	12.7898	562.751	0.0928719	411.275	712.49	12.8248	0.0710442	22.9112	15.3274	21.9009	76.2849	255	0	0	13.0756	2.0265	2.32942	13.21	100.256	0	0	35005.2	44262.6	49649.3	53243.5	0	0	0	0	0	0	 63
DATA	14:33:15:000	2023-12-14	709200	12.7811	562.368	0.092816	411.062	716.342	12.8942	0.071305	23.0388	15.4119	21.9098	76.2748	255	0	0	13.0749	2.02641	2.32992	13.21	100.252	0	0	35004.1	44261.8	49633.4	53241.3	0	0	0	0	0	0	 34
