Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 3:36:23
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	11:36:20:000	2023-12-09	555525	13.7045	602.998	0.097917	439.008	755.934	13.6068	0.0740414	24.2155	16.1954	20.8267	76.2981	255	0	0	13.0811	2.02037	2.32343	13.19	98.133	0	0	34115.9	43386	48953.8	52726	0	0	0	0	0	0	160
DATA	11:36:21:000	2023-12-09	555825	13.6837	602.083	0.0978079	438.388	748.969	13.4814	0.0735698	23.9949	16.0531	20.8787	76.3035	255	0	0	13.0824	2.02014	2.32231	13.19	98.0923	0	0	34115.2	43370.3	48994.8	52723.8	0	0	0	0	0	0	233
DATA	11:36:22:000	2023-12-09	556125	13.6822	602.017	0.0977992	438.431	753.568	13.5642	0.0738836	24.1472	16.1519	20.9338	76.302	255	0	0	13.0818	2.02023	2.32481	13.19	98.0589	0	0	34100.4	43354.6	48993.4	52714.3	0	0	0	0	0	0	138
DATA	11:36:23:000	2023-12-09	556425	13.6661	601.308	0.0977102	438.009	759.68	13.6742	0.0742985	24.3483	16.2815	20.9877	76.2996	255	0	0	13.0824	2.02008	2.32368	13.19	98.0527	0	0	34099.3	43353.2	48983.8	52714.7	0	0	0	0	0	0	179
DATA	11:36:24:000	2023-12-09	556725	13.6812	601.973	0.097792	438.543	755.1	13.5918	0.0739859	24.2043	16.1896	21.0419	76.305	255	0	0	13.0818	2.01999	2.32306	13.19	98.0163	0	0	34089.9	43338.1	48961.7	52701.5	0	0	0	0	0	0	 19
DATA	11:36:25:000	2023-12-09	557025	13.6734	601.63	0.0977517	438.361	756.159	13.6109	0.0740605	24.242	16.2144	21.0953	76.3069	255	0	0	13.0824	2.02002	2.32381	13.19	97.9836	0	0	34083.8	43323.3	48928.8	52691.3	0	0	0	0	0	0	 81
DATA	11:36:26:000	2023-12-09	557325	13.6588	600.987	0.0976691	438.019	756.185	13.6113	0.0740589	24.2498	16.2178	21.1487	76.2989	255	0	0	13.0818	2.02002	2.32356	13.19	97.9641	0	0	34078	43314.7	48951.5	52686.2	0	0	0	0	0	0	145
DATA	11:36:27:000	2023-12-09	557625	13.6164	599.122	0.097443	436.715	768.585	13.8345	0.0749063	24.6506	16.4758	21.1983	76.3019	255	0	0	13.0811	2.01994	2.32418	13.19	97.9888	0	0	34094.2	43326.5	48882.6	52689.2	0	0	0	0	0	0	203
DATA	11:36:28:000	2023-12-09	557925	13.6254	599.518	0.0974926	437.052	774.711	13.9448	0.0753208	24.8498	16.6033	21.2485	76.3066	255	0	0	13.0818	2.01987	2.32381	13.19	97.9962	0	0	34090.5	43330.4	48908.1	52694.2	0	0	0	0	0	0	242
DATA	11:36:29:000	2023-12-09	558225	13.6229	599.408	0.0974798	437.006	765.838	13.7851	0.074721	24.5672	16.425	21.3012	76.3142	255	0	0	13.0818	2.01996	2.32481	13.19	98.0074	0	0	34100	43334.5	48916.2	52698.6	0	0	0	0	0	0	 14
DATA	11:36:30:000	2023-12-09	558525	13.6011	598.448	0.0973613	436.433	773.652	13.9257	0.0752501	24.825	16.5874	21.3537	76.3057	255	0	0	13.0804	2.01985	2.32505	13.19	98.0445	0	0	34115.4	43352	48905.4	52707.8	0	0	0	0	0	0	 46
DATA	11:36:31:000	2023-12-09	558825	13.5978	598.303	0.0973422	436.399	779.685	14.0343	0.075656	25.0227	16.7123	21.4034	76.3061	255	0	0	13.0824	2.01981	2.32468	13.19	98.0934	0	0	34133	43374	48899.3	52721.8	0	0	0	0	0	0	231
