Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 5:54:11
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	13:54:08:000	2023-12-09	480810	13.3777	588.619	0.0960676	433.422	522.437	9.40387	0.056973	16.9263	10.673	23.6484	76.1627	255	0	0	13.0769	2.04466	2.38491	13.2	99.7903	0	0	34572.2	43869.8	50247.8	53044.4	0	0	0	0	0	0	 92
DATA	13:54:09:000	2023-12-09	481110	13.4086	589.978	0.0962377	434.435	525.718	9.46292	0.0572307	17.0331	10.7676	23.6588	76.1633	255	0	0	13.0763	2.04482	2.38553	13.2	99.7981	0	0	34572.2	43871.6	50228.1	53045.3	0	0	0	0	0	0	171
DATA	13:54:10:000	2023-12-09	481410	13.4056	589.846	0.0962238	434.356	533.534	9.60361	0.0578421	17.2871	10.99	23.6685	76.1625	255	0	0	13.0763	2.04505	2.38428	13.2	99.8024	0	0	34565.5	43871	50182.4	53043	0	0	0	0	0	0	102
DATA	13:54:11:000	2023-12-09	481710	13.3953	589.393	0.0961634	434.057	540.208	9.72374	0.0583572	17.5047	11.1778	23.6782	76.1589	255	0	0	13.0763	2.04466	2.38591	13.2	99.7893	0	0	34568.3	43869.4	50119.3	53037.3	0	0	0	0	0	0	187
DATA	13:54:12:000	2023-12-09	482010	13.4465	591.646	0.0964472	435.708	541.92	9.75456	0.058492	17.5599	11.226	23.6883	76.163	255	0	0	13.0763	2.04511	2.38441	13.2	99.8014	0	0	34563	43869.9	50169.6	53040.2	0	0	0	0	0	0	113
DATA	13:54:13:000	2023-12-09	482310	13.4133	590.185	0.0962645	434.659	539.171	9.70508	0.0582789	17.4719	11.1498	23.698	76.1608	255	0	0	13.0763	2.04477	2.38491	13.2	99.7885	0	0	34563	43867.9	50165.8	53037.7	0	0	0	0	0	0	 53
DATA	13:54:14:000	2023-12-09	482610	13.4368	591.219	0.0963962	435.437	546.656	9.83981	0.0588596	17.7151	11.3583	23.7074	76.1602	255	0	0	13.0763	2.04467	2.38466	13.2	99.7862	0	0	34560.5	43867.9	50081.3	53034.5	0	0	0	0	0	0	187
DATA	13:54:15:000	2023-12-09	482910	13.478	593.032	0.0966215	436.802	556.834	10.023	0.0596402	18.0462	11.6375	23.7166	76.1574	255	0	0	13.0763	2.04501	2.38441	13.2	99.7957	0	0	34555.4	43868.5	50146.1	53037.5	0	0	0	0	0	0	 32
DATA	13:54:16:000	2023-12-09	483210	13.4633	592.385	0.0965389	436.348	548.375	9.87075	0.05899	17.7729	11.4066	23.7262	76.156	255	0	0	13.0769	2.04469	2.38528	13.2	99.7802	0	0	34553.9	43865	50131.5	53033.4	0	0	0	0	0	0	201
DATA	13:54:17:000	2023-12-09	483510	13.6181	599.196	0.0973897	441.38	605.248	10.8945	0.0632902	19.6169	12.9062	23.7349	76.1556	255	0	0	13.0769	2.0449	2.38453	13.2	99.7921	0	0	34533	43868.1	49950.9	53027.4	0	0	0	0	0	0	252
DATA	13:54:18:000	2023-12-09	483810	13.5011	594.048	0.0967454	437.601	552.281	9.94106	0.0592906	17.9007	11.5148	23.7443	76.1558	255	0	0	13.0763	2.04488	2.38478	13.2	99.7895	0	0	34545.8	43867.2	50112.7	53033.3	0	0	0	0	0	0	168
DATA	13:54:19:000	2023-12-09	484110	13.5051	594.224	0.0967672	437.74	554.139	9.9745	0.0594329	17.9613	11.566	23.7529	76.1563	255	0	0	13.0756	2.045	2.38516	13.2	99.7916	0	0	34545	43866.9	50091.7	53032.7	0	0	0	0	0	0	 85
DATA	13:54:20:000	2023-12-09	484410	13.5243	595.069	0.0968718	438.366	545.596	9.82073	0.0587756	17.6845	11.3317	23.762	76.1581	255	0	0	13.0756	2.04491	2.38516	13.2	99.7854	0	0	34543.6	43865	50117.7	53031.9	0	0	0	0	0	0	 39
DATA	13:54:21:000	2023-12-09	484710	13.5383	595.685	0.0969515	438.843	572.95	10.3131	0.0608685	18.5721	12.0726	23.7689	76.1558	255	0	0	13.0763	2.04482	2.38665	13.2	99.7864	0	0	34541.2	43866.5	50057.4	53028.9	0	0	0	0	0	0	135
DATA	13:54:22:000	2023-12-09	485010	13.5139	594.612	0.0968178	438.06	554.443	9.97997	0.0594582	17.9726	11.5754	23.7754	76.156	255	0	0	13.0756	2.04492	2.38491	13.2	99.7897	0	0	34545.2	43866.8	50085.9	53032.1	0	0	0	0	0	0	108
DATA	13:54:23:000	2023-12-09	485310	13.5098	594.431	0.0967926	437.956	557.537	10.0357	0.059693	18.074	11.66	23.7836	76.1532	255	0	0	13.0763	2.04524	2.38428	13.2	99.7972	0	0	34544.2	43866.8	50057.2	53029.4	0	0	0	0	0	0	227
DATA	13:54:24:000	2023-12-09	485610	13.518	594.792	0.0968353	438.247	562.013	10.1162	0.0600335	18.2202	11.7816	23.7925	76.151	255	0	0	13.0769	2.04514	2.38615	13.2	99.791	0	0	34541.1	43865.1	50076.6	53028.7	0	0	0	0	0	0	225
DATA	13:54:25:000	2023-12-09	485910	13.5259	595.14	0.0968806	438.496	562.557	10.126	0.0600765	18.2375	11.7966	23.8005	76.1543	255	0	0	13.0769	2.04506	2.3864	13.2	99.7897	0	0	34542	43865.4	50071.5	53029.9	0	0	0	0	0	0	184
DATA	13:54:26:000	2023-12-09	486210	13.5335	595.474	0.0969227	438.722	560.725	10.093	0.0599372	18.1773	11.7476	23.8082	76.1598	255	0	0	13.0763	2.04503	2.38591	13.2	99.7912	0	0	34539.5	43866.4	50057.8	53029.5	0	0	0	0	0	0	128
DATA	13:54:27:000	2023-12-09	486510	13.5362	595.593	0.0969395	438.802	562.958	10.1332	0.0601091	18.2494	11.8082	23.8161	76.1632	255	0	0	13.0763	2.04504	2.38628	13.2	99.7903	0	0	34539.7	43865.8	50068	53029.8	0	0	0	0	0	0	 68
DATA	13:54:28:000	2023-12-09	486810	13.5349	595.536	0.0969299	438.809	568.092	10.2257	0.0604982	18.4179	11.9462	23.8239	76.1566	255	0	0	13.0756	2.04507	2.38615	13.2	99.7928	0	0	34538.5	43866.6	50033.9	53027.4	0	0	0	0	0	0	208
DATA	13:54:29:000	2023-12-09	487110	13.537	595.628	0.0969444	438.857	561.984	10.1157	0.0600352	18.219	11.7828	23.8315	76.1621	255	0	0	13.0763	2.04519	2.38503	13.2	99.798	0	0	34541.6	43867.7	50076	53032.3	0	0	0	0	0	0	167
DATA	13:54:30:000	2023-12-09	487410	13.5291	595.28	0.0969	438.637	559.496	10.0709	0.0598444	18.1398	11.716	23.8391	76.1577	255	0	0	13.0763	2.04517	2.38578	13.2	99.7921	0	0	34542.5	43865.3	50083.1	53030.1	0	0	0	0	0	0	171
DATA	13:54:31:000	2023-12-09	487710	13.5338	595.487	0.0969261	438.761	562.233	10.1202	0.0600538	18.2274	11.7902	23.8464	76.1646	255	0	0	13.0756	2.04519	2.38615	13.2	99.7915	0	0	34539.2	43864.8	50066.1	53029.3	0	0	0	0	0	0	150
DATA	13:54:32:000	2023-12-09	488010	13.5403	595.773	0.0969604	439.027	561.54	10.1077	0.0599998	18.2072	11.7718	23.8509	76.1561	255	0	0	13.0756	2.04519	2.38541	13.2	99.7882	0	0	34536.4	43863.3	50047.5	53025.7	0	0	0	0	0	0	116
DATA	13:54:33:000	2023-12-09	488310	13.5329	595.448	0.0969188	438.797	562.263	10.1207	0.0600541	18.2311	11.7916	23.8581	76.1563	255	0	0	13.0756	2.0453	2.38566	13.2	99.7935	0	0	34537.6	43864.5	50061.4	53026.6	0	0	0	0	0	0	109
DATA	13:54:34:000	2023-12-09	488610	13.5396	595.742	0.0969576	439.018	560.598	10.0908	0.0599285	18.1772	11.7471	23.8656	76.1575	255	0	0	13.0749	2.04518	2.38591	13.2	99.7885	0	0	34537	43863.6	50047.9	53026.3	0	0	0	0	0	0	116
DATA	13:54:35:000	2023-12-09	488910	13.5457	596.011	0.0969896	439.271	565.49	10.1788	0.0603007	18.3382	11.8791	23.8727	76.1497	255	0	0	13.0763	2.04527	2.38603	13.2	99.7918	0	0	34536.3	43864.1	50050.2	53026.8	0	0	0	0	0	0	125
DATA	13:54:36:000	2023-12-09	489210	13.5582	596.561	0.0970584	439.67	568.052	10.2249	0.0604959	18.421	11.948	23.8803	76.1528	255	0	0	13.0756	2.0454	2.38703	13.2	99.796	0	0	34535.8	43864.6	50037.9	53026.9	0	0	0	0	0	0	183
DATA	13:54:37:000	2023-12-09	489510	13.5482	596.121	0.0970043	439.329	568.46	10.2323	0.0605274	18.4335	11.9593	23.8875	76.1576	255	0	0	13.0763	2.04506	2.38703	13.2	99.7863	0	0	34533.7	43863.9	50021	53023.1	0	0	0	0	0	0	253
DATA	13:54:38:000	2023-12-09	489810	13.5758	597.335	0.0971545	440.266	577.766	10.3998	0.0612316	18.7371	12.2062	23.8944	76.152	255	0	0	13.0763	2.04524	2.3869	13.2	99.7883	0	0	34530.5	43862.9	50004.4	53023.4	0	0	0	0	0	0	 67
DATA	13:54:39:000	2023-12-09	490110	13.5622	596.737	0.0970782	439.82	572.432	10.3038	0.0608266	18.5639	12.0657	23.9013	76.1547	255	0	0	13.0769	2.04519	2.38541	13.2	99.7859	0	0	34533.6	43862.3	50028.9	53023.7	0	0	0	0	0	0	111
DATA	13:54:40:000	2023-12-09	490410	13.5664	596.922	0.0971052	439.973	574.256	10.3366	0.0609677	18.6237	12.1144	23.9093	76.1539	255	0	0	13.0756	2.04519	2.38678	13.2	99.7867	0	0	34527.7	43862.7	49990	53021.6	0	0	0	0	0	0	 93
DATA	13:54:41:000	2023-12-09	490710	13.5603	596.653	0.0970699	439.784	573.584	10.3245	0.0609155	18.6023	12.0969	23.9159	76.154	255	0	0	13.0756	2.04517	2.38665	13.2	99.7835	0	0	34532.8	43861.5	50020.2	53022.2	0	0	0	0	0	0	103
DATA	13:54:42:000	2023-12-09	491010	13.5525	596.31	0.0970291	439.538	571.349	10.2843	0.0607474	18.5301	12.038	23.9228	76.1545	255	0	0	13.0756	2.04531	2.38728	13.2	99.7931	0	0	34534.7	43864.2	50014.5	53024.5	0	0	0	0	0	0	 22
DATA	13:54:43:000	2023-12-09	491310	13.5538	596.367	0.0970333	439.623	575.23	10.3541	0.0610393	18.6578	12.141	23.9268	76.1482	255	0	0	13.0756	2.04509	2.38665	13.2	99.7815	0	0	34531.4	43861.5	50013.2	53021.4	0	0	0	0	0	0	 25
DATA	13:54:44:000	2023-12-09	491610	13.5546	596.402	0.0970395	439.625	571.767	10.2918	0.0607782	18.5445	12.0497	23.9334	76.154	255	0	0	13.0749	2.04532	2.3874	13.2	99.7825	0	0	34531	43859.5	50019.8	53020	0	0	0	0	0	0	120
DATA	13:54:45:000	2023-12-09	491910	13.5523	596.301	0.0970237	439.595	572.233	10.3002	0.0608113	18.5615	12.0624	23.9399	76.1479	255	0	0	13.0763	2.04492	2.38765	13.2	99.776	0	0	34529.4	43860.8	49997.1	53019.8	0	0	0	0	0	0	118
DATA	13:54:46:000	2023-12-09	492210	13.5599	596.636	0.0970668	439.86	576.23	10.3721	0.0611148	18.6919	12.1684	23.9466	76.1464	255	0	0	13.0769	2.04545	2.38728	13.2	99.7931	0	0	34531.7	43862.8	50001.4	53021.7	0	0	0	0	0	0	 72
DATA	13:54:47:000	2023-12-09	492510	13.5579	596.548	0.0970545	439.848	573.585	10.3245	0.0609138	18.6084	12.0989	23.9534	76.139	255	0	0	13.0763	2.04568	2.38802	13.2	99.7978	0	0	34531.9	43862.4	50013.8	53023.1	0	0	0	0	0	0	139
DATA	13:54:48:000	2023-12-09	492810	13.5539	596.372	0.0970327	439.692	572.495	10.3049	0.0608314	18.5719	12.0703	23.9597	76.1452	255	0	0	13.0756	2.0453	2.38728	13.2	99.7866	0	0	34532.1	43861.5	50001.2	53022.1	0	0	0	0	0	0	 98
