Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 6:00:48
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	14:00:45:000	2023-12-09	599910	13.2949	584.976	0.0955944	428.508	407.439	7.3339	0.0475306	13.1322	6.91592	22.0481	76.1465	255	0	0	13.0742	2.03779	2.34563	13.2	99.9545	0	0	34706.7	44013.6	50926.1	53231.1	0	0	0	0	0	0	114
DATA	14:00:46:000	2023-12-09	600210	13.2837	584.483	0.0955395	428.093	420.277	7.56499	0.0486323	13.5442	7.36982	22.0699	76.1617	255	0	0	13.0735	2.03795	2.34326	13.2	99.9426	0	0	34703.5	44006.7	50873.2	53222.6	0	0	0	0	0	0	158
DATA	14:00:47:000	2023-12-09	600510	13.2617	583.515	0.0954195	427.384	423.286	7.61915	0.0488882	13.6412	7.4753	22.0923	76.1674	255	0	0	13.0735	2.03788	2.34501	13.2	99.9323	0	0	34700.5	44002.9	50860	53219.6	0	0	0	0	0	0	240
DATA	14:00:48:000	2023-12-09	600810	13.2772	584.197	0.0955057	427.925	421.934	7.59481	0.0487741	13.599	7.42947	22.1123	76.1652	255	0	0	13.0735	2.03779	2.34625	13.2	99.9363	0	0	34702.8	44005.6	50847.3	53218.9	0	0	0	0	0	0	118
DATA	14:00:49:000	2023-12-09	601110	13.2658	583.695	0.0954449	427.622	431.979	7.77562	0.0496244	13.9248	7.77529	22.1349	76.1596	255	0	0	13.0742	2.0379	2.34488	13.2	99.924	0	0	34699.5	43999.1	50781.1	53211.3	0	0	0	0	0	0	 99
DATA	14:00:50:000	2023-12-09	601410	13.2503	583.013	0.09536	427.132	439.534	7.91161	0.0502585	14.1686	8.03101	22.1567	76.1636	255	0	0	13.0735	2.03767	2.34663	13.2	99.8675	0	0	34686.8	43976.6	50709.8	53187.6	0	0	0	0	0	0	 38
DATA	14:00:51:000	2023-12-09	601710	13.2579	583.348	0.0954017	427.441	449.754	8.09557	0.0511099	14.5003	8.37037	22.1766	76.1573	255	0	0	13.0735	2.03758	2.34563	13.2	99.8521	0	0	34679.7	43970.8	50680.8	53180.9	0	0	0	0	0	0	165
DATA	14:00:52:000	2023-12-09	602010	13.2574	583.326	0.0953964	427.486	447.045	8.04681	0.0508835	14.415	8.28242	22.1981	76.1518	255	0	0	13.0735	2.0375	2.346	13.2	99.8438	0	0	34676.5	43967.9	50703.7	53179.3	0	0	0	0	0	0	210
DATA	14:00:53:000	2023-12-09	602310	13.2546	583.202	0.0953822	427.431	449.337	8.08807	0.0510744	14.4901	8.35889	22.2205	76.1513	255	0	0	13.0742	2.03765	2.34675	13.2	99.8282	0	0	34672.1	43959.5	50676.7	53169.7	0	0	0	0	0	0	145
DATA	14:00:54:000	2023-12-09	602610	13.2447	582.767	0.0953264	427.184	454.326	8.17787	0.0514864	14.6535	8.52282	22.2418	76.144	255	0	0	13.0735	2.03745	2.34613	13.2	99.8177	0	0	34669.5	43957	50648	53167	0	0	0	0	0	0	 80
DATA	14:00:55:000	2023-12-09	602910	13.2532	583.141	0.0953742	427.447	458.181	8.24726	0.0518051	14.7774	8.6485	22.2601	76.1507	255	0	0	13.0742	2.03752	2.3455	13.2	99.7902	0	0	34662.2	43944.1	50628.8	53156	0	0	0	0	0	0	185
DATA	14:00:56:000	2023-12-09	603210	13.242	582.648	0.0953102	427.154	460.217	8.28391	0.0519714	14.8455	8.71507	22.2809	76.1438	255	0	0	13.0735	2.03736	2.34725	13.2	99.7763	0	0	34654.7	43939.6	50614.2	53151.2	0	0	0	0	0	0	 81
DATA	14:00:57:000	2023-12-09	603510	13.2285	582.054	0.0952355	426.764	479.047	8.62285	0.0535078	15.4545	9.31028	22.3015	76.141	255	0	0	13.0742	2.03745	2.34625	13.2	99.7739	0	0	34657.8	43937.7	50537.2	53143.6	0	0	0	0	0	0	 96
DATA	14:00:58:000	2023-12-09	603810	13.2404	582.578	0.0953024	427.164	468.636	8.43545	0.0526618	15.1192	8.98534	22.321	76.1433	255	0	0	13.0735	2.03716	2.3465	13.2	99.7674	0	0	34657.9	43937.8	50570.5	53145.4	0	0	0	0	0	0	 54
DATA	14:00:59:000	2023-12-09	604110	13.2415	582.626	0.0953105	427.211	472.133	8.49839	0.0529481	15.2325	9.09635	22.3375	76.1454	255	0	0	13.0742	2.03722	2.34737	13.2	99.7769	0	0	34659.8	43941.3	50543.8	53146.8	0	0	0	0	0	0	148
DATA	14:01:00:000	2023-12-09	604410	13.2399	582.556	0.0953038	427.162	476.051	8.56892	0.0532683	15.3589	9.21991	22.3568	76.15	255	0	0	13.0735	2.03719	2.34663	13.2	99.7543	0	0	34654.1	43931.7	50527.6	53137.7	0	0	0	0	0	0	 57
DATA	14:01:01:000	2023-12-09	604710	13.2241	581.86	0.095211	426.729	484.446	8.72003	0.0539439	15.6326	9.48058	22.3757	76.1412	255	0	0	13.0728	2.03723	2.34688	13.2	99.7582	0	0	34653.1	43933	50509.5	53136.4	0	0	0	0	0	0	192
DATA	14:01:02:000	2023-12-09	605010	13.2354	582.358	0.0952754	427.115	482.989	8.6938	0.0538278	15.5864	9.43672	22.3942	76.142	255	0	0	13.0742	2.03701	2.3465	13.2	99.7486	0	0	34652.8	43931.1	50487.6	53134.2	0	0	0	0	0	0	  2
DATA	14:01:03:000	2023-12-09	605310	13.2339	582.292	0.0952667	427.139	487.917	8.78251	0.0542244	15.7481	9.58852	22.4096	76.1332	255	0	0	13.0735	2.03701	2.34775	13.2	99.7447	0	0	34653.2	43929.3	50458.4	53131.2	0	0	0	0	0	0	150
DATA	14:01:04:000	2023-12-09	605610	13.2162	581.513	0.0951678	426.583	494.302	8.89744	0.0547358	15.9547	9.78312	22.4279	76.1352	255	0	0	13.0742	2.03717	2.3465	13.2	99.7449	0	0	34652.9	43927.8	50446.3	53128.8	0	0	0	0	0	0	123
DATA	14:01:05:000	2023-12-09	605910	13.2212	581.733	0.095202	426.713	497.468	8.95442	0.0549937	16.0557	9.87926	22.446	76.1453	255	0	0	13.0742	2.03692	2.34713	13.2	99.7366	0	0	34653.9	43926.7	50418.6	53126.9	0	0	0	0	0	0	 67
DATA	14:01:06:000	2023-12-09	606210	13.2207	581.711	0.0951975	426.756	501.255	9.02259	0.0552946	16.1802	9.99333	22.4632	76.1393	255	0	0	13.0756	2.03685	2.34825	13.2	99.7316	0	0	34653.4	43925.2	50403	53123.7	0	0	0	0	0	0	 29
