Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 7:11:53
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	15:11:50:000	2023-12-09	370680	13.4429	591.488	0.0963828	436.331	390.198	7.02356	0.0460241	12.6651	6.37591	23.8521	76.0757	255	0	0	13.0591	2.05041	2.3874	13.21	99.4762	0	0	34406.5	43671.4	50605.2	52790	0	0	0	0	0	0	 39
DATA	15:11:51:000	2023-12-09	370980	13.4415	591.426	0.0963754	436.293	389.62	7.01316	0.0459737	12.6465	6.35447	23.8534	76.0749	255	0	0	13.0598	2.05032	2.38753	13.21	99.4685	0	0	34405.2	43669	50596.2	52789.8	0	0	0	0	0	0	 91
DATA	15:11:52:000	2023-12-09	371280	13.4629	592.368	0.096494	437.018	397.345	7.15221	0.0466472	12.8982	6.63962	23.8547	76.0698	255	0	0	13.0598	2.0506	2.3869	13.21	99.483	0	0	34405.8	43672.4	50572.2	52791.3	0	0	0	0	0	0	 35
DATA	15:11:53:000	2023-12-09	371580	13.4533	591.945	0.0964465	436.657	397.504	7.15507	0.0466636	12.9019	6.6455	23.856	76.0788	255	0	0	13.0598	2.05031	2.38753	13.21	99.4811	0	0	34404.4	43674.7	50551.3	52790.4	0	0	0	0	0	0	121
DATA	15:11:54:000	2023-12-09	371880	13.4724	592.786	0.0965501	437.243	402.098	7.23776	0.0470611	13.05	6.81274	23.8575	76.085	255	0	0	13.0591	2.05021	2.38591	13.21	99.4736	0	0	34401.9	43672.4	50555.1	52789.1	0	0	0	0	0	0	 44
DATA	15:11:55:000	2023-12-09	372180	13.4758	592.935	0.0965717	437.365	402.128	7.2383	0.047065	13.0513	6.81393	23.8596	76.0836	255	0	0	13.0604	2.05029	2.38728	13.21	99.4783	0	0	34401.9	43673.7	50547.6	52789.8	0	0	0	0	0	0	129
DATA	15:11:56:000	2023-12-09	372480	13.4779	593.028	0.0965797	437.454	400.38	7.20684	0.0469122	12.9952	6.75061	23.8614	76.0805	255	0	0	13.0598	2.05033	2.38753	13.21	99.4774	0	0	34402	43672.8	50556.4	52789.5	0	0	0	0	0	0	 84
DATA	15:11:57:000	2023-12-09	372780	13.4785	593.054	0.0965811	437.452	403.044	7.25479	0.0471414	13.081	6.8472	23.8625	76.0845	255	0	0	13.0591	2.05019	2.38827	13.21	99.4718	0	0	34398.8	43671.8	50526.1	52788.4	0	0	0	0	0	0	122
DATA	15:11:58:000	2023-12-09	373080	13.4616	592.31	0.0964881	436.947	400.181	7.20326	0.0468936	12.9894	6.74347	23.8632	76.0771	255	0	0	13.0598	2.05029	2.38753	13.21	99.4786	0	0	34403.8	43673.8	50557.3	52789.7	0	0	0	0	0	0	196
DATA	15:11:59:000	2023-12-09	373380	13.4733	592.825	0.096552	437.343	400.794	7.21429	0.0469465	13.0098	6.76574	23.8632	76.0742	255	0	0	13.0584	2.05035	2.38678	13.21	99.4747	0	0	34401	43671.4	50548.2	52788.8	0	0	0	0	0	0	 80
DATA	15:12:00:000	2023-12-09	373680	13.4803	593.133	0.0965915	437.571	402.916	7.25249	0.0471305	13.0787	6.84261	23.8632	76.0741	255	0	0	13.0598	2.0502	2.38753	13.21	99.4765	0	0	34400.4	43673.7	50540.7	52789.7	0	0	0	0	0	0	148
DATA	15:12:01:000	2023-12-09	373980	13.5048	594.211	0.0967229	438.407	404.179	7.27522	0.0472385	13.1209	6.88818	23.863	76.0669	255	0	0	13.0598	2.05029	2.38778	13.21	99.4765	0	0	34386.7	43672.8	50524.3	52786.8	0	0	0	0	0	0	196
DATA	15:12:02:000	2023-12-09	374280	13.5377	595.659	0.0969063	439.386	404.903	7.28825	0.0473028	13.1417	6.91428	23.8636	76.0825	255	0	0	13.0591	2.05042	2.38715	13.21	99.4761	0	0	34387.1	43671.3	50528.6	52788	0	0	0	0	0	0	126
DATA	15:12:03:000	2023-12-09	374580	13.5842	597.705	0.0971596	440.928	406.146	7.31063	0.0474099	13.1831	6.95894	23.8634	76.0768	255	0	0	13.0598	2.05023	2.3879	13.21	99.4764	0	0	34375.6	43673.5	50517.4	52787.2	0	0	0	0	0	0	193
DATA	15:12:04:000	2023-12-09	374880	13.6301	599.724	0.0974083	442.481	406.983	7.32569	0.0474815	13.2121	6.98894	23.8634	76.066	255	0	0	13.0598	2.05044	2.3864	13.21	99.4777	0	0	34370.6	43671.8	50522.9	52788.8	0	0	0	0	0	0	142
DATA	15:12:05:000	2023-12-09	375180	13.6269	599.584	0.097389	442.346	406.373	7.31471	0.0474279	13.1914	6.96712	23.8642	76.0715	255	0	0	13.0598	2.05037	2.38715	13.21	99.476	0	0	34366.8	43671.8	50523.3	52786.2	0	0	0	0	0	0	134
DATA	15:12:06:000	2023-12-09	375480	13.6316	599.79	0.0974166	442.462	408.26	7.34868	0.0475912	13.2515	7.0347	23.8649	76.078	255	0	0	13.0591	2.05002	2.38778	13.21	99.471	0	0	34366.9	43673.2	50513.1	52789.6	0	0	0	0	0	0	230
DATA	15:12:07:000	2023-12-09	375780	13.6183	599.205	0.0973436	442.048	408.638	7.35548	0.0476234	13.2643	7.04824	23.8659	76.0752	255	0	0	13.0598	2.0505	2.38678	13.21	99.4805	0	0	34369	43672.3	50503.6	52787.3	0	0	0	0	0	0	 84
DATA	15:12:08:000	2023-12-09	376080	13.6406	600.186	0.0974657	442.766	413.821	7.44878	0.048068	13.4324	7.23229	23.8674	76.0766	255	0	0	13.0598	2.05043	2.38827	13.21	99.4781	0	0	34367	43672	50485.7	52785.8	0	0	0	0	0	0	248
DATA	15:12:09:000	2023-12-09	376380	13.6554	600.838	0.097542	443.295	410.928	7.3967	0.0478181	13.34	7.12994	23.8692	76.0687	255	0	0	13.0598	2.05024	2.38765	13.21	99.4734	0	0	34361.3	43672	50497.4	52787.1	0	0	0	0	0	0	192
DATA	15:12:10:000	2023-12-09	376680	13.648	600.512	0.097507	442.993	410.839	7.3951	0.0478134	13.3352	7.12687	23.8711	76.0798	255	0	0	13.0591	2.05042	2.38703	13.21	99.4789	0	0	34364.1	43672.5	50500.2	52786.5	0	0	0	0	0	0	 44
DATA	15:12:11:000	2023-12-09	376980	13.6678	601.383	0.0976136	443.685	413.987	7.45177	0.0480822	13.4389	7.2384	23.8725	76.0717	255	0	0	13.0598	2.05019	2.38852	13.21	99.4702	0	0	34361.2	43671.2	50483.7	52785.5	0	0	0	0	0	0	182
DATA	15:12:12:000	2023-12-09	377280	13.6733	601.625	0.0976403	443.872	413.913	7.45043	0.0480741	13.4367	7.23586	23.8741	76.0706	255	0	0	13.0598	2.05025	2.38615	13.21	99.4781	0	0	34356.6	43674	50482.4	52786.4	0	0	0	0	0	0	103
DATA	15:12:13:000	2023-12-09	377580	13.6883	602.285	0.0977235	444.322	416.152	7.49074	0.0482662	13.5083	7.31478	23.8759	76.0775	255	0	0	13.0598	2.05046	2.3874	13.21	99.4729	0	0	34354.4	43669.4	50470.9	52781.5	0	0	0	0	0	0	183
DATA	15:12:14:000	2023-12-09	377880	13.6745	601.678	0.0976491	443.917	417.751	7.51952	0.0484028	13.5615	7.37093	23.8776	76.0705	255	0	0	13.0598	2.05011	2.3864	13.21	99.4668	0	0	34360.6	43670.5	50476.4	52782.5	0	0	0	0	0	0	182
DATA	15:12:15:000	2023-12-09	378180	13.6602	601.049	0.0975695	443.459	414.98	7.46964	0.0481656	13.4718	7.27369	23.8784	76.0696	255	0	0	13.0598	2.05021	2.38778	13.21	99.477	0	0	34362.1	43673.8	50472.3	52786.4	0	0	0	0	0	0	155
DATA	15:12:16:000	2023-12-09	378480	13.6703	601.493	0.097625	443.749	416.121	7.49018	0.0482632	13.5076	7.31389	23.88	76.0766	255	0	0	13.0598	2.05048	2.38778	13.21	99.479	0	0	34362.4	43671.9	50473	52785.7	0	0	0	0	0	0	192
DATA	15:12:17:000	2023-12-09	378780	13.6429	600.288	0.0974731	442.883	414.071	7.45328	0.0480866	13.4418	7.24178	23.881	76.0728	255	0	0	13.0598	2.04997	2.38802	13.21	99.4674	0	0	34362.4	43672.2	50475.5	52784.8	0	0	0	0	0	0	191
DATA	15:12:18:000	2023-12-09	379080	13.7447	604.767	0.0980297	446.19	417.28	7.51104	0.0483628	13.546	7.35466	23.8821	76.0727	255	0	0	13.0591	2.05035	2.38852	13.21	99.4749	0	0	34339.9	43671.5	50468.5	52785	0	0	0	0	0	0	243
DATA	15:12:19:000	2023-12-09	379380	13.7706	605.906	0.0981711	447.005	419.7	7.5546	0.0485694	13.6238	7.43931	23.8835	76.0774	255	0	0	13.0591	2.05022	2.38665	13.21	99.465	0	0	34319.8	43668.5	50433.6	52779.2	0	0	0	0	0	0	 29
DATA	15:12:20:000	2023-12-09	379680	13.7703	605.893	0.0981733	446.935	419.679	7.55422	0.0485698	13.6213	7.43867	23.8855	76.0883	255	0	0	13.0591	2.05015	2.38603	13.21	99.4715	0	0	34338.1	43672.1	50451.2	52782.6	0	0	0	0	0	0	229
DATA	15:12:21:000	2023-12-09	379980	13.8005	607.222	0.0983345	447.933	417.388	7.51298	0.0483736	13.5475	7.3587	23.8874	76.0857	255	0	0	13.0598	2.05021	2.3869	13.21	99.4761	0	0	34321.2	43673.4	50457.3	52786.2	0	0	0	0	0	0	135
DATA	15:12:22:000	2023-12-09	380280	13.8491	609.36	0.0985948	449.54	423.455	7.62219	0.0488879	13.7453	7.56998	23.8892	76.0812	255	0	0	13.0598	2.05004	2.38603	13.21	99.4708	0	0	34324.4	43673	50442.2	52784.5	0	0	0	0	0	0	 42
DATA	15:12:23:000	2023-12-09	380580	13.8182	608.001	0.0984336	448.516	422.032	7.59658	0.0487703	13.6985	7.52077	23.8909	76.0851	255	0	0	13.0591	2.05007	2.38728	13.21	99.4676	0	0	34321	43671.2	50440.3	52782.6	0	0	0	0	0	0	104
DATA	15:12:24:000	2023-12-09	380880	13.9343	613.109	0.0990559	452.331	429.728	7.7351	0.0494191	13.9497	7.78574	23.8931	76.0779	255	0	0	13.0591	2.05018	2.38815	13.21	99.4733	0	0	34317.7	43672.6	50420.9	52782.3	0	0	0	0	0	0	180
DATA	15:12:25:000	2023-12-09	381180	13.8416	609.03	0.0985557	449.339	423.138	7.61648	0.0488618	13.7363	7.55931	23.8953	76.0755	255	0	0	13.0598	2.05008	2.38815	13.21	99.4699	0	0	34324.9	43672.2	50441.2	52783.2	0	0	0	0	0	0	183
DATA	15:12:26:000	2023-12-09	381480	13.8892	611.125	0.0988107	450.903	427.56	7.69608	0.0492351	13.8804	7.71174	23.8969	76.0727	255	0	0	13.0591	2.05031	2.3874	13.21	99.473	0	0	34316.8	43671.1	50420.7	52780.8	0	0	0	0	0	0	 55
DATA	15:12:27:000	2023-12-09	381780	13.9233	612.625	0.098996	451.966	429.356	7.72841	0.0493876	13.9374	7.77331	23.8987	76.0807	255	0	0	13.0591	2.05038	2.38653	13.21	99.4782	0	0	34315.5	43672.7	50398.2	52782.1	0	0	0	0	0	0	207
DATA	15:12:28:000	2023-12-09	382080	13.8976	611.494	0.0988552	451.168	427.972	7.7035	0.0492694	13.8936	7.72606	23.9008	76.075	255	0	0	13.0591	2.05032	2.38778	13.21	99.4754	0	0	34316.4	43672.1	50423.2	52783.2	0	0	0	0	0	0	123
DATA	15:12:29:000	2023-12-09	382380	13.8939	611.332	0.098836	451.038	426.652	7.67974	0.0491582	13.8504	7.68082	23.902	76.077	255	0	0	13.0591	2.0499	2.38715	13.21	99.4674	0	0	34314.1	43672.9	50431.5	52783.3	0	0	0	0	0	0	 21
DATA	15:12:30:000	2023-12-09	382680	13.9227	612.599	0.0989946	451.955	428.013	7.70423	0.0492751	13.8941	7.72762	23.904	76.0805	255	0	0	13.0584	2.05031	2.38902	13.21	99.4793	0	0	34306.4	43673.8	50410	52783.3	0	0	0	0	0	0	 58
DATA	15:12:31:000	2023-12-09	382980	13.9267	612.775	0.0990151	452.096	427.153	7.68875	0.0492019	13.8665	7.69824	23.9063	76.0792	255	0	0	13.0598	2.04989	2.3874	13.21	99.4598	0	0	34304	43669.8	50420.4	52781.4	0	0	0	0	0	0	108
DATA	15:12:32:000	2023-12-09	383280	13.9302	612.929	0.0990352	452.191	428.916	7.72049	0.0493514	13.9231	7.75877	23.9089	76.083	255	0	0	13.0591	2.05012	2.38778	13.21	99.4732	0	0	34312	43673.1	50421	52784	0	0	0	0	0	0	109
DATA	15:12:33:000	2023-12-09	383580	13.8504	609.418	0.0986072	449.595	428.741	7.71734	0.0493381	13.9173	7.75292	23.9115	76.0847	255	0	0	13.0598	2.05014	2.38865	13.21	99.4731	0	0	34322.8	43672.9	50404.8	52784	0	0	0	0	0	0	135
