Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 9 2023 at 7:17:01
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	15:16:58:000	2023-12-09	463080	13.2833	584.465	0.0955091	429.409	311.287	5.60317	0.0388552	10.063	3.08782	22.7315	76.0962	255	0	0	13.057	2.04457	2.35797	13.21	99.8427	0	0	34596.9	43893.8	51316	53038.4	0	0	0	0	0	0	 24
DATA	15:16:59:000	2023-12-09	463380	13.2909	584.8	0.0955439	429.693	296.64	5.33952	0.0374539	9.59033	2.40953	22.7422	76.0921	255	0	0	13.0577	2.04434	2.3591	13.21	99.8353	0	0	34609.9	43893	51315.8	53036.8	0	0	0	0	0	0	197
DATA	15:17:00:000	2023-12-09	463680	13.3759	588.54	0.0960156	432.457	329.424	5.92963	0.0405553	10.6506	3.89122	22.7516	76.0918	255	0	0	13.0563	2.04432	2.35698	13.21	99.8404	0	0	34428.3	43895.4	51164.5	53032.4	0	0	0	0	0	0	151
DATA	15:17:01:000	2023-12-09	463980	14.0482	618.121	0.0996557	454.212	296.769	5.34184	0.0374669	9.59525	2.41662	22.7629	76.0915	255	0	0	13.057	2.04431	2.35822	13.21	99.8378	0	0	34485.5	43894.4	51282.3	53038.5	0	0	0	0	0	0	182
DATA	15:17:02:000	2023-12-09	464280	13.4593	592.209	0.0964744	435.156	325.3	5.8554	0.0401725	10.5174	3.71323	22.7719	76.0965	255	0	0	13.057	2.04421	2.35835	13.21	99.8348	0	0	34614	43894.2	51061.5	53025.1	0	0	0	0	0	0	130
DATA	15:17:03:000	2023-12-09	464580	13.4146	590.242	0.0962233	433.753	269.608	4.85294	0.034809	8.71762	1.07679	22.7823	76.0917	255	0	0	13.057	2.04408	2.35822	13.21	99.8376	0	0	34588.4	43896.8	51377.9	53043.6	0	0	0	0	0	0	137
DATA	15:17:04:000	2023-12-09	464880	13.3769	588.584	0.0960139	432.608	289.846	5.21723	0.036797	9.37361	2.08685	22.7906	76.0808	255	0	0	13.057	2.04424	2.35772	13.21	99.845	0	0	34588.7	43898.3	51422.8	53048.2	0	0	0	0	0	0	106
DATA	15:17:05:000	2023-12-09	465180	13.2964	585.042	0.0955785	429.977	328.612	5.91502	0.0404791	10.6266	3.85831	22.7969	76.0873	255	0	0	13.057	2.04413	2.35822	13.21	99.8408	0	0	34629.3	43897.6	50934.8	53022.6	0	0	0	0	0	0	181
DATA	15:17:06:000	2023-12-09	465480	13.3249	586.296	0.0957319	430.876	290.787	5.23417	0.0368888	9.40293	2.13299	22.8061	76.0938	255	0	0	13.057	2.04398	2.3591	13.21	99.8378	0	0	34608.8	43897.8	51328.5	53042.9	0	0	0	0	0	0	168
DATA	15:17:07:000	2023-12-09	465780	13.3976	589.494	0.0961237	433.281	278.55	5.0139	0.0356914	9.00835	1.53252	22.8169	76.0871	255	0	0	13.0577	2.04418	2.35785	13.21	99.8466	0	0	34599.7	43899.6	51308.4	53044	0	0	0	0	0	0	 53
DATA	15:17:08:000	2023-12-09	466080	13.3646	588.042	0.0959486	432.237	293.329	5.27992	0.0371349	9.48682	2.25593	22.8254	76.0852	255	0	0	13.057	2.04407	2.35735	13.21	99.8391	0	0	34604.7	43897.4	51232.8	53038.6	0	0	0	0	0	0	190
DATA	15:17:09:000	2023-12-09	466380	13.397	589.468	0.0961279	433.266	283.717	5.10691	0.0362005	9.17557	1.78978	22.8318	76.09	255	0	0	13.057	2.04391	2.35698	13.21	99.8346	0	0	34524.5	43897.2	51319.7	53043.5	0	0	0	0	0	0	 49
