Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 8 2023 at 3:51:50
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	11:51:48:000	2023-12-08	2452575	12.939	569.316	0.0932946	423.144	604.549	10.8819	0.0629368	19.7706	12.773	21.4964	74.9072	255	0	0	12.7758	2.03289	2.34102	12.92	98.8069	0	0	34433.8	43558.2	49221.5	52316.3	0	0	0	0	0	0	183
DATA	11:51:49:000	2023-12-08	2452875	12.9353	569.153	0.0932729	423.075	609.369	10.9686	0.0632903	19.9307	12.8955	21.5209	74.9042	255	0	0	12.7779	2.03257	2.34102	12.92	98.7962	0	0	34430.5	43556.8	49199	52312.8	0	0	0	0	0	0	192
DATA	11:51:50:000	2023-12-08	2453175	12.9308	568.955	0.0932481	422.976	612.688	11.0284	0.0635342	20.0415	12.9799	21.5466	74.9022	255	0	0	12.7779	2.03272	2.34214	12.92	98.801	0	0	34435.7	43557.4	49206.6	52314.2	0	0	0	0	0	0	195
DATA	11:51:51:000	2023-12-08	2453475	12.9267	568.775	0.0932309	422.852	624.718	11.2449	0.0644177	20.4355	13.279	21.573	74.9072	255	0	0	12.7779	2.03262	2.34139	12.92	98.7924	0	0	34433.6	43554.7	49140.6	52305.4	0	0	0	0	0	0	160
DATA	11:51:52:000	2023-12-08	2453775	12.9149	568.256	0.0931628	422.512	625.115	11.2521	0.0644441	20.4507	13.2899	21.5958	74.9048	255	0	0	12.7751	2.0323	2.34189	12.92	98.7846	0	0	34436.1	43554.4	49112.3	52306.3	0	0	0	0	0	0	186
DATA	11:51:53:000	2023-12-08	2454075	12.9064	567.882	0.0931174	422.291	630.641	11.3515	0.0648469	20.6343	13.4262	21.6222	74.9013	255	0	0	12.7779	2.03253	2.34276	12.92	98.795	0	0	34437.2	43556.7	49065.6	52304.1	0	0	0	0	0	0	183
DATA	11:51:54:000	2023-12-08	2454375	12.8923	567.261	0.0930418	421.84	647.24	11.6503	0.0660474	21.1779	13.8269	21.6491	74.9063	255	0	0	12.7779	2.03243	2.34276	12.92	98.7919	0	0	34439.7	43556.3	49064.3	52303.2	0	0	0	0	0	0	161
DATA	11:51:55:000	2023-12-08	2454675	12.8914	567.222	0.0930357	421.865	649.827	11.6969	0.0662322	21.2653	13.8897	21.6743	74.9031	255	0	0	12.7772	2.03223	2.34251	12.92	98.7879	0	0	34442.7	43556.5	49045.6	52303.8	0	0	0	0	0	0	 21
DATA	11:51:56:000	2023-12-08	2454975	12.8865	567.006	0.0930051	421.773	647.083	11.6475	0.0660319	21.1789	13.826	21.7019	74.898	255	0	0	12.7765	2.03216	2.34314	12.92	98.7846	0	0	34441.8	43555.9	49037.8	52301.9	0	0	0	0	0	0	172
DATA	11:51:57:000	2023-12-08	2455275	12.8767	566.575	0.0929533	421.457	650.888	11.716	0.0663071	21.3037	13.9176	21.7287	74.9039	255	0	0	12.7772	2.0323	2.34239	12.92	98.791	0	0	34449.6	43557.2	49018	52302.2	0	0	0	0	0	0	 21
