Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 16 2023 at 13:00:41
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	21:00:27:000	2023-12-16	1338090	13.0524	574.306	0.0939589	412.782	601.035	10.8186	0.0627115	19.0077	12.2018	12.311	75.0458	255	0	0	13.0453	1.91117	2.01556	13.15	98.4641	0	0	35122.9	44483.8	50809	54092.7	0	0	0	0	0	0	 50
DATA	21:00:28:000	2023-12-16	1338390	13.092	576.048	0.0941779	414.021	601.334	10.824	0.0627345	19.0166	12.2095	12.3134	75.0488	255	0	0	13.0453	1.91094	2.01569	13.15	98.487	0	0	35121	44495.8	50812	54103.4	0	0	0	0	0	0	107
DATA	21:00:29:000	2023-12-16	1338690	13.0285	573.254	0.0938282	411.976	600.87	10.8157	0.0626999	19.0002	12.1979	12.316	75.0563	255	0	0	13.0446	1.91108	2.01556	13.15	98.4912	0	0	35135.9	44496.6	50819.1	54107.3	0	0	0	0	0	0	134
DATA	21:00:30:000	2023-12-16	1338990	13.0549	574.416	0.0939739	412.843	600.748	10.8135	0.0626911	18.9978	12.1949	12.3186	75.051	255	0	0	13.0439	1.91096	2.01507	13.15	98.4877	0	0	35132.1	44496	50819.2	54101.4	0	0	0	0	0	0	 93
DATA	21:00:31:000	2023-12-16	1339290	13.0404	573.778	0.0938937	412.387	600.235	10.8042	0.0626528	18.9817	12.1821	12.3213	75.0514	255	0	0	13.0439	1.91094	2.01594	13.15	98.5113	0	0	35139.2	44506.8	50826	54110.2	0	0	0	0	0	0	 96
DATA	21:00:32:000	2023-12-16	1339590	13.0768	575.379	0.0940923	413.559	600.756	10.8136	0.06269	18.9991	12.1954	12.3241	75.0483	255	0	0	13.0439	1.91121	2.01594	13.15	98.5269	0	0	35141.8	44511.8	50830.7	54119.1	0	0	0	0	0	0	130
DATA	21:00:33:000	2023-12-16	1339890	13.0563	574.477	0.0939789	412.921	600.987	10.8178	0.0627065	19.0069	12.2014	12.3267	75.0471	255	0	0	13.0439	1.91103	2.01544	13.15	98.5358	0	0	35145.3	44517.2	50838.5	54124.6	0	0	0	0	0	0	227
DATA	21:00:34:000	2023-12-16	1340190	13.0844	575.714	0.0941367	413.806	600.599	10.8108	0.0626803	18.9945	12.1917	12.3293	75.0484	255	0	0	13.0439	1.91106	2.01656	13.15	98.5378	0	0	35142.5	44517.9	50837.5	54122.1	0	0	0	0	0	0	221
DATA	21:00:35:000	2023-12-16	1340490	13.0981	576.316	0.0942093	414.241	599.89	10.798	0.0626259	18.9722	12.1739	12.3317	75.0487	255	0	0	13.0439	1.91124	2.01644	13.15	98.5439	0	0	35141.4	44519.3	50839.5	54125	0	0	0	0	0	0	 38
DATA	21:00:36:000	2023-12-16	1340790	13.0843	575.709	0.0941342	413.785	599.715	10.7949	0.0626133	18.9657	12.1696	12.3344	75.053	255	0	0	13.0433	1.91117	2.01644	13.15	98.5514	0	0	35145.2	44523.2	50844.1	54126.2	0	0	0	0	0	0	165
DATA	21:00:37:000	2023-12-16	1341090	13.1092	576.805	0.0942705	414.576	600.897	10.8161	0.0627003	19.0033	12.1996	12.3366	75.0529	255	0	0	13.0446	1.91116	2.01619	13.15	98.5429	0	0	35142.7	44519.4	50837.4	54123	0	0	0	0	0	0	104
DATA	21:00:38:000	2023-12-16	1341390	13.1119	576.924	0.0942856	414.691	599.519	10.7913	0.0625986	18.961	12.1649	12.3392	75.0482	255	0	0	13.0439	1.91118	2.01594	13.15	98.5524	0	0	35140.7	44523.6	50849	54128.2	0	0	0	0	0	0	101
DATA	21:00:39:000	2023-12-16	1341690	13.1382	578.081	0.0944309	415.496	600.048	10.8009	0.0626383	18.9765	12.1784	12.3415	75.0538	255	0	0	13.0439	1.91099	2.01606	13.15	98.5643	0	0	35134.6	44530.4	50844.7	54130.8	0	0	0	0	0	0	225
DATA	21:00:40:000	2023-12-16	1341990	13.2523	583.101	0.0950568	419.125	600.79	10.8142	0.0626939	19.001	12.1973	12.3439	75.0506	255	0	0	13.0439	1.91095	2.01544	13.15	98.5436	0	0	35109.2	44521.3	50839.3	54122.4	0	0	0	0	0	0	 84
DATA	21:00:41:000	2023-12-16	1342290	13.1418	578.239	0.0944508	415.643	599.186	10.7853	0.0625746	18.9508	12.1568	12.3461	75.0489	255	0	0	13.0439	1.91102	2.01631	13.15	98.5537	0	0	35133.3	44525.4	50844.6	54126.9	0	0	0	0	0	0	234
DATA	21:00:42:000	2023-12-16	1342590	13.3231	586.216	0.0954426	421.344	600.463	10.8083	0.0626685	18.9897	12.1892	12.3466	75.0549	255	0	0	13.0433	1.91133	2.01581	13.15	98.5498	0	0	35096.1	44521.3	50835.6	54120.6	0	0	0	0	0	0	215
DATA	21:00:43:000	2023-12-16	1342890	13.1946	580.562	0.0947389	417.29	599.254	10.7866	0.0625787	18.9519	12.1587	12.3492	75.0539	255	0	0	13.0439	1.91118	2.01644	13.15	98.5424	0	0	35122	44519.1	50837.8	54118.1	0	0	0	0	0	0	114
DATA	21:00:44:000	2023-12-16	1343190	13.199	580.756	0.0947649	417.442	599.148	10.7847	0.0625723	18.9491	12.1562	12.352	75.0524	255	0	0	13.0433	1.91102	2.01606	13.15	98.5356	0	0	35116.7	44517.2	50834.8	54117.4	0	0	0	0	0	0	123
DATA	21:00:45:000	2023-12-16	1343490	13.2396	582.542	0.0949859	418.777	599.92	10.7986	0.0626282	18.9758	12.1759	12.3545	75.0439	255	0	0	13.0446	1.91099	2.01743	13.15	98.5362	0	0	35107.1	44517.7	50832.8	54113.7	0	0	0	0	0	0	231
DATA	21:00:46:000	2023-12-16	1343790	13.2283	582.045	0.0949206	418.407	598.781	10.7781	0.0625412	18.9393	12.1471	12.3574	75.0468	255	0	0	13.0433	1.91131	2.01644	13.15	98.5414	0	0	35109.8	44517.7	50835.8	54115.6	0	0	0	0	0	0	227
DATA	21:00:47:000	2023-12-16	1344090	13.3066	585.49	0.0953519	420.859	599.557	10.792	0.0626011	18.9627	12.1669	12.3598	75.0518	255	0	0	13.0439	1.9111	2.01606	13.15	98.5259	0	0	35087.9	44512.2	50828.3	54112.4	0	0	0	0	0	0	 91
DATA	21:00:48:000	2023-12-16	1344390	13.2713	583.937	0.0951628	419.713	598.842	10.7792	0.0625513	18.9387	12.149	12.3625	75.0579	255	0	0	13.0439	1.91109	2.01756	13.15	98.5382	0	0	35105.4	44517.9	50838	54114.6	0	0	0	0	0	0	108
DATA	21:00:49:000	2023-12-16	1344690	13.2578	583.343	0.0950854	419.334	597.966	10.7634	0.0624835	18.9132	12.1269	12.3649	75.0499	255	0	0	13.0439	1.91117	2.01694	13.15	98.528	0	0	35101.6	44512.6	50836.1	54108.5	0	0	0	0	0	0	199
DATA	21:00:50:000	2023-12-16	1344990	13.2651	583.664	0.0951282	419.532	597.147	10.7486	0.0624251	18.8858	12.1062	12.3673	75.0564	255	0	0	13.0439	1.91121	2.01619	13.15	98.5221	0	0	35095.5	44509.7	50833.8	54105.2	0	0	0	0	0	0	222
DATA	21:00:51:000	2023-12-16	1345290	13.4055	589.842	0.0958928	424.009	598.965	10.7814	0.0625586	18.945	12.1525	12.3696	75.0505	255	0	0	13.0439	1.91096	2.01756	13.15	98.5145	0	0	35059.9	44508.1	50821.8	54102.7	0	0	0	0	0	0	205
DATA	21:00:52:000	2023-12-16	1345590	13.2959	585.02	0.095298	420.492	597.475	10.7545	0.0624509	18.8956	12.1147	12.3713	75.06	255	0	0	13.0439	1.91116	2.01818	13.15	98.5131	0	0	35086.9	44506	50828.8	54100.9	0	0	0	0	0	0	193
DATA	21:00:53:000	2023-12-16	1345890	13.346	587.224	0.0955672	422.134	598.206	10.7677	0.0625015	18.9213	12.1334	12.3736	75.0503	255	0	0	13.0439	1.91112	2.01594	13.15	98.5062	0	0	35078	44503.1	50822.6	54097	0	0	0	0	0	0	211
DATA	21:00:54:000	2023-12-16	1346190	13.3196	586.062	0.0954221	421.281	597.705	10.7587	0.0624634	18.9046	12.1208	12.3761	75.0543	255	0	0	13.0439	1.91104	2.01681	13.15	98.5053	0	0	35081.7	44503.3	50827.7	54095.6	0	0	0	0	0	0	208
DATA	21:00:55:000	2023-12-16	1346490	13.3408	586.995	0.0955369	422.008	597.033	10.7466	0.062413	18.8859	12.1039	12.3783	75.0447	255	0	0	13.0433	1.91125	2.01818	13.15	98.5017	0	0	35073.3	44500.1	50823.2	54094.8	0	0	0	0	0	0	171
DATA	21:00:56:000	2023-12-16	1346790	13.3501	587.404	0.0955905	422.244	597.768	10.7598	0.0624697	18.9065	12.1226	12.3801	75.0556	255	0	0	13.0439	1.91113	2.01781	13.15	98.5008	0	0	35071.4	44500.6	50824.3	54093.2	0	0	0	0	0	0	221
DATA	21:00:57:000	2023-12-16	1347090	13.3617	587.915	0.0956542	422.63	598.025	10.7645	0.0624889	18.9155	12.1293	12.382	75.0527	255	0	0	13.0439	1.91149	2.01731	13.15	98.5005	0	0	35067.7	44497.8	50818	54090.9	0	0	0	0	0	0	 54
