Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 16 2023 at 12:30:01
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	20:29:48:000	2023-12-16	786390	13.0078	572.343	0.0937136	411.277	612.988	11.0338	0.0635923	19.3813	12.499	12.267	75.0515	254	0	0	13.0515	1.9122	2.01619	13.17	95.6096	0	0	34101.7	43186.7	49745.9	53021.8	0	0	0	0	0	0	 40
DATA	20:29:49:000	2023-12-16	786690	12.944	569.536	0.0933619	409.258	608.75	10.9575	0.0632812	19.2472	12.3932	12.2627	75.0506	254	0	0	13.0522	1.91205	2.01407	13.17	95.2247	0	0	33917.6	43013.9	49590.3	52871	0	0	0	0	0	0	  1
DATA	20:29:50:000	2023-12-16	786990	13.0319	573.404	0.0938471	412.004	593.503	10.6831	0.0621536	18.7636	12.0074	12.2582	75.0556	254	0	0	13.0508	1.91207	2.01407	13.17	94.1707	0	0	33601.6	42537.6	49261.2	52444.1	0	0	0	0	0	0	146
DATA	20:29:51:000	2023-12-16	787290	13.2484	582.93	0.0950312	418.885	589.64	10.6135	0.0618621	18.6431	11.9082	12.254	75.048	254	0	0	13.0515	1.91193	2.01619	13.17	93.4227	0	0	33340.7	42200.7	48932.1	52094.9	0	0	0	0	0	0	226
DATA	20:29:52:000	2023-12-16	787590	14.6858	646.175	0.102733	464.324	584.419	10.5195	0.0614749	18.4777	11.7733	12.2518	75.0487	254	0	0	13.0522	1.91198	2.01644	13.17	94.0228	0	0	33522.4	42471.5	49263.2	52375.9	0	0	0	0	0	0	157
DATA	20:29:53:000	2023-12-16	787890	13.2944	584.954	0.0952825	420.295	578.879	10.4198	0.0610574	18.3009	11.629	12.2506	75.055	254	0	0	13.0522	1.91222	2.01519	13.17	93.5478	0	0	33321.8	42255.2	49057.5	52205.2	0	0	0	0	0	0	 90
DATA	20:29:54:000	2023-12-16	788190	13.2858	584.575	0.0952399	420.032	581.334	10.464	0.0612458	18.3789	11.6931	12.2508	75.0535	254	0	0	13.0515	1.91211	2.0132	13.17	91.8471	0	0	32707.4	41487.8	48467.9	51533.2	0	0	0	0	0	0	 90
DATA	20:29:55:000	2023-12-16	788490	13.4491	591.76	0.0961257	425.219	568.952	10.2411	0.0603114	17.9885	11.3676	12.2513	75.0493	254	0	0	13.0515	1.91209	2.01494	13.17	91.4155	0	0	32540.5	41293	48324.1	51378.5	0	0	0	0	0	0	 31
DATA	20:29:56:000	2023-12-16	788790	13.7839	606.492	0.0979326	435.829	567.024	10.2064	0.0601622	17.9286	11.3164	12.2504	75.0448	254	0	0	13.0515	1.91205	2.01382	13.17	91.71	0	0	32611.4	41426.2	48433	51418.3	0	0	0	0	0	0	223
DATA	20:29:57:000	2023-12-16	789090	13.3237	586.243	0.0954398	421.277	566.955	10.2052	0.060158	17.9263	11.3145	12.2494	75.0448	254	0	0	13.0515	1.91191	2.01382	13.17	91.6321	0	0	32543.6	41392.1	48441.5	51421.8	0	0	0	0	0	0	119
DATA	20:29:58:000	2023-12-16	789390	13.3856	588.966	0.0957796	423.2	564.547	10.1618	0.0599783	17.8488	11.2503	12.2496	75.0508	254	0	0	13.0508	1.91196	2.01369	13.17	91.0073	0	0	32373.7	41109.5	48159	51158.4	0	0	0	0	0	0	 38
DATA	20:29:59:000	2023-12-16	789690	14.0764	619.362	0.0995013	445.071	559.578	10.0724	0.0596006	17.6929	11.117	12.25	75.0458	254	0	0	13.0515	1.91185	2.01432	13.17	91.205	0	0	32269.7	41199.5	48273.9	51198.6	0	0	0	0	0	0	  1
DATA	20:30:00:000	2023-12-16	789990	13.5801	597.524	0.0968355	429.374	561.591	10.1086	0.0597526	17.7563	11.1712	12.2515	75.0471	254	0	0	13.0515	1.91198	2.01182	13.17	91.2745	0	0	32388	41230	48298	51207	0	0	0	0	0	0	 44
DATA	20:30:01:000	2023-12-16	790290	13.2554	583.238	0.0950624	419.114	547.265	9.85077	0.0586557	17.3036	10.7823	12.253	75.0462	254	0	0	13.0522	1.91207	2.01457	13.17	90.9125	0	0	32370.9	41065.9	48136	51041.5	0	0	0	0	0	0	  7
DATA	20:30:02:000	2023-12-16	790590	13.4676	592.574	0.0962212	425.863	559.504	10.0711	0.0595919	17.6922	11.1152	12.2543	75.0397	254	0	0	13.0515	1.91169	2.01469	13.17	91.2065	0	0	32474.3	41201.3	48284.1	51157.2	0	0	0	0	0	0	154
DATA	20:30:03:000	2023-12-16	790890	13.2948	584.971	0.0952813	420.368	548.072	9.8653	0.0587212	17.3295	10.8047	12.2563	75.0456	254	0	0	13.0508	1.91191	2.01369	13.17	90.8449	0	0	32312.1	41036.4	48094	51014.4	0	0	0	0	0	0	 27
DATA	20:30:04:000	2023-12-16	791190	13.5049	594.216	0.096424	427.027	541.913	9.75443	0.0582475	17.1354	10.6351	12.2589	75.0436	254	0	0	13.0515	1.91187	2.01407	13.17	90.6368	0	0	32229.4	40942.7	48049.5	50897.2	0	0	0	0	0	0	133
DATA	20:30:05:000	2023-12-16	791490	13.443	591.492	0.0960876	425.045	545.257	9.81463	0.0585045	17.2401	10.7275	12.2612	75.0485	254	0	0	13.0515	1.91176	2.0132	13.17	90.3213	0	0	32163.2	40801	47924.4	50774.5	0	0	0	0	0	0	204
DATA	20:30:06:000	2023-12-16	791790	13.233	582.252	0.0949424	418.44	539.012	9.70222	0.0580235	17.0441	10.5547	12.2626	75.0426	254	0	0	13.0508	1.9117	2.01357	13.17	89.8525	0	0	32033.1	40589.6	47770.8	50577.8	0	0	0	0	0	0	 13
DATA	20:30:07:000	2023-12-16	792090	13.7384	604.49	0.0976851	434.402	541.607	9.74893	0.0582233	17.1254	10.6268	12.2626	75.046	254	0	0	13.0522	1.91179	2.01482	13.17	89.6047	0	0	31800.8	40477	47627.1	50524.1	0	0	0	0	0	0	232
DATA	20:30:08:000	2023-12-16	792390	13.3462	587.233	0.0955585	422	537.4	9.6732	0.0578978	16.9923	10.5098	12.2627	75.0462	254	0	0	13.0508	1.91215	2.01344	13.17	89.3767	0	0	31837	40371.6	47578.8	50406	0	0	0	0	0	0	176
DATA	20:30:09:000	2023-12-16	792690	13.182	580.008	0.0946622	416.782	538.008	9.68414	0.0579452	17.0105	10.5267	12.2623	75.0508	254	0	0	13.0515	1.91178	2.01307	13.17	89.3659	0	0	31829.8	40369.3	47599.3	50358.2	0	0	0	0	0	0	144
DATA	20:30:10:000	2023-12-16	792990	13.4044	589.794	0.0958791	423.812	532.09	9.57762	0.0574901	16.8233	10.3609	12.2618	75.051	254	0	0	13.0508	1.91187	2.01132	13.17	89.1502	0	0	31684.8	40271.2	47482.1	50318.2	0	0	0	0	0	0	 70
DATA	20:30:11:000	2023-12-16	793290	13.2883	584.685	0.0952418	420.179	534.692	9.62446	0.057688	16.9071	10.4339	12.26	75.0437	254	0	0	13.0508	1.9118	2.01257	13.17	89.1715	0	0	31663.6	40281.3	47521.5	50341.9	0	0	0	0	0	0	240
DATA	20:30:12:000	2023-12-16	793590	13.354	587.576	0.0956025	422.255	530.208	9.54374	0.0573437	16.7652	10.3077	12.2585	75.0436	254	0	0	13.0515	1.91204	2.01332	13.17	88.9016	0	0	31645.9	40157.7	47426.1	50219.7	0	0	0	0	0	0	118
DATA	20:30:13:000	2023-12-16	793890	13.5426	595.874	0.0966329	428.161	535.248	9.63446	0.0577377	16.9223	10.4493	12.2568	75.0532	254	0	0	13.0515	1.91189	2.0132	13.17	88.2523	0	0	31418.3	39865.5	47188.9	49968.8	0	0	0	0	0	0	192
DATA	20:30:14:000	2023-12-16	794190	13.8691	610.24	0.09839	438.512	535.217	9.63391	0.0577316	16.9224	10.4484	12.2555	75.048	254	0	0	13.0515	1.91208	2.01307	13.17	88.1552	0	0	31407.5	39820.3	47154.5	49959.3	0	0	0	0	0	0	234
DATA	20:30:15:000	2023-12-16	794490	13.3696	588.262	0.0956828	422.737	535.556	9.64001	0.0577535	16.9339	10.4578	12.2547	75.0445	253	0	0	13.0515	1.91177	2.01207	13.17	88.0489	0	0	31375	39774.3	47139.1	49856.2	0	0	0	0	0	0	132
DATA	20:30:16:000	2023-12-16	794790	13.3527	587.519	0.0955973	422.21	536.845	9.66321	0.0578578	16.9749	10.4938	12.2538	75.0431	254	0	0	13.0515	1.91197	2.01295	13.17	88.433	0	0	31434.6	39946.5	47261.5	50037.8	0	0	0	0	0	0	127
DATA	20:30:17:000	2023-12-16	795090	13.4536	591.958	0.0961391	425.367	536.85	9.6633	0.0578542	16.9738	10.494	12.2536	75.0489	253	0	0	13.0508	1.91181	2.01282	13.17	88.1417	0	0	31379	39816.1	47167.7	49917.6	0	0	0	0	0	0	242
DATA	20:30:18:000	2023-12-16	795390	13.6685	601.414	0.0973087	432.168	522.485	9.40473	0.056742	16.5198	10.088	12.2542	75.048	253	0	0	13.0522	1.91167	2.01207	13.17	87.3481	0	0	31046.3	39458.5	46859.1	49571	0	0	0	0	0	0	199
DATA	20:30:19:000	2023-12-16	795690	13.869	610.236	0.0983857	438.532	520.737	9.37327	0.0566046	16.4655	10.0379	12.2546	75.0438	253	0	0	13.0515	1.91189	2.0127	13.17	87.7414	0	0	31185.8	39634.7	47025.9	49734.2	0	0	0	0	0	0	118
DATA	20:30:20:000	2023-12-16	795990	13.6603	601.053	0.0972676	431.849	518.931	9.34076	0.0564668	16.4052	9.98612	12.256	75.0587	253	0	0	13.0508	1.91173	2.0127	13.17	87.3242	0	0	31085.5	39447.3	46874.7	49577.7	0	0	0	0	0	0	122
DATA	20:30:21:000	2023-12-16	796290	13.5406	595.786	0.0966129	428.117	519.839	9.3571	0.0565332	16.4359	10.0123	12.2565	75.0498	253	0	0	13.0515	1.91197	2.01232	13.17	87.357	0	0	31053.6	39460.5	46863.2	49589.4	0	0	0	0	0	0	105
DATA	20:30:22:000	2023-12-16	796590	13.4817	593.195	0.0963024	426.241	522.469	9.40444	0.0567447	16.5185	10.0877	12.2569	75.0522	253	0	0	13.0515	1.91194	2.01257	13.17	86.8322	0	0	30877.5	39223.6	46698.3	49389.8	0	0	0	0	0	0	219
DATA	20:30:23:000	2023-12-16	796890	13.4104	590.058	0.0959076	424.008	509.913	9.17843	0.0557565	16.1224	9.72467	12.2573	75.0486	253	0	0	13.0501	1.91174	2.01108	13.17	86.1739	0	0	30648.8	38927.6	46422	49055.1	0	0	0	0	0	0	103
DATA	20:30:24:000	2023-12-16	797190	13.4687	592.623	0.0962251	425.848	512.12	9.21816	0.0559305	16.192	9.78902	12.2568	75.049	253	0	0	13.0508	1.912	2.01245	13.17	86.8197	0	0	30824.2	39217.6	46678.9	49357.5	0	0	0	0	0	0	219
DATA	20:30:25:000	2023-12-16	797490	13.3849	588.936	0.0957732	423.181	517.204	9.30967	0.056331	16.3521	9.93636	12.2563	75.052	253	0	0	13.0508	1.9117	2.01245	13.17	86.7302	0	0	30835.8	39179.2	46655.1	49338.8	0	0	0	0	0	0	 58
DATA	20:30:26:000	2023-12-16	797790	13.5556	596.446	0.0966979	428.61	515.376	9.27677	0.0561858	16.2955	9.88351	12.256	75.0464	253	0	0	13.0501	1.91195	2.01132	13.17	86.8266	0	0	30727	39221	46736.8	49351.3	0	0	0	0	0	0	204
DATA	20:30:27:000	2023-12-16	798090	13.3545	587.598	0.0956052	422.214	512.231	9.22016	0.0559375	16.1946	9.79221	12.256	75.0531	253	0	0	13.0515	1.91161	2.0127	13.17	86.8691	0	0	30887.1	39242.5	46731.3	49393.9	0	0	0	0	0	0	 91
DATA	20:30:28:000	2023-12-16	798390	13.5054	594.238	0.0964251	426.999	510.197	9.18355	0.0557791	16.1308	9.73287	12.2555	75.0504	253	0	0	13.0508	1.91182	2.0122	13.17	86.6038	0	0	30860.8	39121.3	46674.1	49276.2	0	0	0	0	0	0	157
DATA	20:30:29:000	2023-12-16	798690	13.4321	591.012	0.0960286	424.654	515.812	9.28462	0.0562226	16.3073	9.89605	12.2545	75.0549	253	0	0	13.0515	1.91193	2.0132	13.17	85.9774	0	0	30587	38837.6	46442.2	49031.4	0	0	0	0	0	0	 47
DATA	20:30:30:000	2023-12-16	798990	13.7397	604.547	0.0976991	434.378	515.611	9.281	0.0562003	16.3009	9.8901	12.2521	75.0545	253	0	0	13.0508	1.91163	2.01245	13.17	86.005	0	0	30530.6	38852	46365.5	49005.5	0	0	0	0	0	0	128
DATA	20:30:31:000	2023-12-16	799290	13.6776	601.814	0.0973629	432.379	517.995	9.32391	0.0563946	16.375	9.95879	12.249	75.0598	253	0	0	13.0515	1.91188	2.0102	13.17	85.9884	0	0	30571.4	38842.9	46438.2	49060	0	0	0	0	0	0	  4
DATA	20:30:32:000	2023-12-16	799590	13.4846	593.322	0.0963079	426.328	500.336	9.00605	0.0549981	15.8186	9.44178	12.2446	75.0498	253	0	0	13.0515	1.91163	2.01182	13.17	85.8932	0	0	30555.3	38801.5	46391.4	49017.5	0	0	0	0	0	0	205
DATA	20:30:33:000	2023-12-16	799890	13.4462	591.633	0.0961008	425.105	504.495	9.08091	0.055331	15.9497	9.56473	12.2408	75.0505	253	0	0	13.0508	1.91205	2.01195	13.17	85.8577	0	0	30466.4	38782.7	46385.7	48993.3	0	0	0	0	0	0	168
DATA	20:30:34:000	2023-12-16	800190	13.5578	596.543	0.0967106	428.615	505.198	9.09356	0.055382	15.9713	9.58533	12.2384	75.053	253	0	0	13.0508	1.91202	2.0112	13.17	85.7333	0	0	30508.1	38726.7	46361.2	48992.8	0	0	0	0	0	0	 39
DATA	20:30:35:000	2023-12-16	800490	13.539	595.716	0.0966062	428.044	511.749	9.21148	0.0559008	16.1793	9.77717	12.2368	75.0485	253	0	0	13.0515	1.9119	2.01132	13.17	85.6018	0	0	30413.8	38668.2	46294	48918.8	0	0	0	0	0	0	  8
