Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 16 2023 at 12:05:27
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	20:05:14:000	2023-12-16	344190	13.2153	581.473	0.0948409	419.303	623.448	11.2221	0.0643463	19.7811	12.7992	13.0565	74.9961	255	0	0	13.0584	1.92283	2.06893	13.17	99.5959	0	0	35430.6	44905.1	50805	54176.2	0	0	0	0	0	0	 96
DATA	20:05:15:000	2023-12-16	344490	13.1874	580.246	0.0946872	418.402	623.308	11.2195	0.0643353	19.776	12.796	13.0602	74.9998	255	0	0	13.0556	1.92296	2.06981	13.17	99.6132	0	0	35434.2	44912	50811.9	54185.7	0	0	0	0	0	0	  7
DATA	20:05:16:000	2023-12-16	344790	13.1831	580.056	0.0946608	418.321	622.824	11.2108	0.0642977	19.7632	12.7843	13.0637	74.9909	255	0	0	13.0591	1.92292	2.06843	13.17	99.618	0	0	35433.1	44914.4	50812.3	54188.2	0	0	0	0	0	0	139
DATA	20:05:17:000	2023-12-16	345090	13.2335	582.274	0.0949378	419.923	624.663	11.2439	0.0644323	19.8217	12.8295	13.0672	74.9912	255	0	0	13.0584	1.92288	2.06893	13.17	99.6374	0	0	35431.8	44923.4	50816.5	54198.8	0	0	0	0	0	0	229
DATA	20:05:18:000	2023-12-16	345390	13.2392	582.525	0.0949709	420.101	624.302	11.2374	0.0644079	19.8101	12.8209	13.0707	74.9927	255	0	0	13.0591	1.9231	2.0703	13.17	99.6544	0	0	35434.9	44929.4	50823.6	54201.9	0	0	0	0	0	0	 67
DATA	20:05:19:000	2023-12-16	345690	13.2125	581.35	0.0948209	419.274	624.128	11.2343	0.064392	19.8055	12.8168	13.0746	74.9902	255	0	0	13.0591	1.9228	2.06906	13.17	99.6711	0	0	35447.6	44939.3	50830.7	54212.8	0	0	0	0	0	0	 43
DATA	20:05:20:000	2023-12-16	345990	13.2488	582.947	0.0950212	420.47	625.581	11.2605	0.0644991	19.8537	12.8526	13.0783	74.9833	255	0	0	13.0591	1.92293	2.06918	13.17	99.6699	0	0	35442.2	44937.7	50828.2	54213.2	0	0	0	0	0	0	169
DATA	20:05:21:000	2023-12-16	346290	13.2379	582.468	0.0949621	420.083	625.405	11.2573	0.0644867	19.8462	12.8484	13.0814	74.9914	255	0	0	13.0577	1.92302	2.06931	13.17	99.6765	0	0	35441.5	44940	50829.3	54213.2	0	0	0	0	0	0	 98
DATA	20:05:22:000	2023-12-16	346590	13.2437	582.723	0.0949943	420.266	625.363	11.2565	0.064484	19.8448	12.8475	13.084	74.9922	255	0	0	13.0584	1.92282	2.06931	13.17	99.6625	0	0	35438.5	44935.2	50824.2	54208.3	0	0	0	0	0	0	107
DATA	20:05:23:000	2023-12-16	346890	13.2514	583.062	0.0950377	420.515	625.711	11.2628	0.0645105	19.8561	12.8562	13.0866	74.9921	255	0	0	13.057	1.92288	2.06806	13.17	99.6774	0	0	35443.7	44941.5	50831.1	54217	0	0	0	0	0	0	 39
