Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 8 2023 at 5:59:44
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	13:59:42:000	2023-12-08	524610	12.3439	543.132	0.0894691	412.748	499.018	8.98232	0.0544975	16.6859	9.84746	20.9003	73.1138	255	0	0	13.0797	1.99774	2.28952	13.22	99.1591	0	0	34971.8	44059.5	50379.4	53078	0	0	0	0	0	0	169
DATA	13:59:43:000	2023-12-08	524910	12.3458	543.215	0.0894803	412.798	500.41	9.00738	0.0546069	16.7318	9.89011	20.9219	73.1216	255	0	0	13.0797	1.99741	2.28939	13.22	99.1487	0	0	34969.2	44058	50371.3	53075.4	0	0	0	0	0	0	 75
DATA	13:59:44:000	2023-12-08	525210	12.347	543.268	0.0894878	412.876	501.527	9.02749	0.0546953	16.7707	9.92437	20.9413	73.1197	255	0	0	13.079	1.99796	2.29051	13.22	99.1559	0	0	34970	44056	50359.4	53073.8	0	0	0	0	0	0	209
DATA	13:59:45:000	2023-12-08	525510	12.3449	543.176	0.0894768	412.808	505.134	9.09241	0.0549784	16.8915	10.0322	20.9582	73.1234	255	0	0	13.079	1.99805	2.28952	13.22	99.1659	0	0	34970	44059.6	50351.2	53074.5	0	0	0	0	0	0	 66
DATA	13:59:46:000	2023-12-08	525810	12.3585	543.774	0.0895518	413.335	510.516	9.18929	0.0553978	17.0744	10.1917	20.9792	73.1158	255	0	0	13.0797	1.99789	2.29051	13.22	99.155	0	0	34965.4	44056.3	50326.5	53071.5	0	0	0	0	0	0	187
DATA	13:59:47:000	2023-12-08	526110	12.3606	543.866	0.0895622	413.42	512.747	9.22945	0.0555703	17.1496	10.2581	21.0019	73.1189	255	0	0	13.0797	1.99799	2.29014	13.22	99.1568	0	0	34964.6	44056.1	50314.1	53069.3	0	0	0	0	0	0	155
DATA	13:59:48:000	2023-12-08	526410	12.3687	544.223	0.0896075	413.71	515.566	9.28019	0.0557895	17.2447	10.3412	21.0226	73.1207	255	0	0	13.0797	1.99801	2.29151	13.22	99.1535	0	0	34960.5	44054.4	50286.7	53066.1	0	0	0	0	0	0	142
DATA	13:59:49:000	2023-12-08	526710	12.3616	543.91	0.0895683	413.526	514.555	9.26199	0.0557117	17.2131	10.313	21.0456	73.1169	255	0	0	13.079	1.99809	2.29201	13.22	99.1532	0	0	34960.2	44053.6	50296	53065.7	0	0	0	0	0	0	196
DATA	13:59:50:000	2023-12-08	527010	12.384	544.896	0.0896983	414.259	517.928	9.3227	0.055977	17.3253	10.412	21.0683	73.1254	255	0	0	13.079	1.99816	2.29101	13.22	99.1527	0	0	34957.7	44052.8	50283.4	53063.5	0	0	0	0	0	0	214
DATA	13:59:51:000	2023-12-08	527310	12.3798	544.711	0.0896709	414.192	520.867	9.37561	0.0562016	17.4267	10.4979	21.0893	73.1177	255	0	0	13.0776	1.99817	2.29301	13.22	99.1495	0	0	34955.3	44051.2	50263.9	53060.8	0	0	0	0	0	0	219
DATA	13:59:52:000	2023-12-08	527610	12.3854	544.958	0.0897025	414.373	523.964	9.43135	0.056441	17.53	10.5879	21.1108	73.1242	255	0	0	13.0797	1.9984	2.29263	13.22	99.1534	0	0	34953.3	44050.7	50250.4	53059.5	0	0	0	0	0	0	251
DATA	13:59:53:000	2023-12-08	527910	12.4016	545.67	0.0897948	414.962	526.675	9.48015	0.0566513	17.6228	10.6665	21.1332	73.1214	255	0	0	13.0797	1.99847	2.29263	13.22	99.1562	0	0	34952.6	44051.3	50241.2	53059.5	0	0	0	0	0	0	161
DATA	13:59:54:000	2023-12-08	528210	12.396	545.424	0.0897623	414.78	530.345	9.54621	0.0569327	17.7457	10.7719	21.1546	73.1259	255	0	0	13.079	1.99857	2.29338	13.22	99.155	0	0	34951.4	44049.8	50224	53055.8	0	0	0	0	0	0	184
DATA	13:59:55:000	2023-12-08	528510	12.3979	545.508	0.0897719	414.928	531.711	9.5708	0.0570365	17.7951	10.8116	21.1734	73.1157	255	0	0	13.0797	1.99858	2.29263	13.22	99.155	0	0	34950.8	44049.7	50214.5	53056.2	0	0	0	0	0	0	132
