Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 8 2023 at 12:27:47
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	20:27:45:000	2023-12-08	457710	12.7283	560.045	0.0916075	409.914	554.432	9.97978	0.058773	17.8554	10.8686	10.1842	73.1454	255	0	0	13.0171	1.8907	1.96569	13.13	100.118	0	0	35916.1	45382	52081.3	55221.9	0	0	0	0	0	0	  3
DATA	20:27:46:000	2023-12-08	458010	12.7416	560.63	0.0916816	410.356	554.895	9.98811	0.0588086	17.871	10.8809	10.18	73.1418	255	0	0	13.0178	1.89037	1.96506	13.13	100.155	0	0	35948.9	45401.2	52098.9	55236	0	0	0	0	0	0	161
DATA	20:27:47:000	2023-12-08	458310	12.6641	557.22	0.0912557	407.883	553.203	9.95765	0.0586814	17.8175	10.8348	10.1758	73.1366	255	0	0	13.0185	1.89068	1.96544	13.13	100.132	0	0	35944.1	45388.7	52089.2	55222.1	0	0	0	0	0	0	152
DATA	20:27:48:000	2023-12-08	458610	12.6674	557.366	0.091274	407.955	554.258	9.97664	0.0587611	17.8499	10.8632	10.1714	73.1417	255	0	0	13.0192	1.89066	1.96407	13.13	100.116	0	0	35935.8	45381.3	52072.3	55202	0	0	0	0	0	0	 56
DATA	20:27:49:000	2023-12-08	458910	12.6547	556.807	0.0912015	407.591	553.462	9.96232	0.0586994	17.8263	10.8413	10.1672	73.1325	255	0	0	13.0185	1.8906	1.96494	13.13	99.9778	0	0	35887.5	45319.3	52019.2	55151.9	0	0	0	0	0	0	187
DATA	20:27:50:000	2023-12-08	459210	12.6484	556.53	0.0911686	407.338	552.806	9.95051	0.0586511	17.8029	10.8233	10.1625	73.1403	255	0	0	13.0178	1.89061	1.96444	13.13	100.073	0	0	35918.9	45362.3	52054	55181.7	0	0	0	0	0	0	 18
DATA	20:27:51:000	2023-12-08	459510	12.6749	557.696	0.0913127	408.196	552.574	9.94633	0.0586319	17.7957	10.8167	10.158	73.1383	255	0	0	13.0185	1.89047	1.96506	13.13	100.096	0	0	35924.8	45373.6	52061.4	55200.1	0	0	0	0	0	0	159
DATA	20:27:52:000	2023-12-08	459810	12.6654	557.278	0.0912644	407.852	551.6	9.9288	0.0585617	17.7626	10.79	10.1544	73.1442	255	0	0	13.0185	1.89066	1.96419	13.13	100.084	0	0	35927.2	45366.9	52060	55188	0	0	0	0	0	0	 17
DATA	20:27:53:000	2023-12-08	460110	12.6377	556.059	0.0911081	406.97	551.978	9.9356	0.0585875	17.7753	10.8002	10.1517	73.1417	255	0	0	13.0192	1.89074	1.96494	13.13	99.9354	0	0	35867.8	45299.1	51983.9	55117.9	0	0	0	0	0	0	143
DATA	20:27:54:000	2023-12-08	460410	12.6323	555.821	0.0910773	406.813	551.013	9.91823	0.0585133	17.7449	10.7737	10.149	73.138	255	0	0	13.0192	1.89058	1.96456	13.13	99.9254	0	0	35874.2	45295.7	51981.8	55097.8	0	0	0	0	0	0	115
DATA	20:27:55:000	2023-12-08	460710	12.6347	555.927	0.0910899	406.895	548.744	9.87739	0.0583414	17.6721	10.7117	10.1476	73.1367	255	0	0	13.0185	1.89063	1.96444	13.13	99.8542	0	0	35848	45263.1	51947.4	55056.5	0	0	0	0	0	0	146
DATA	20:27:56:000	2023-12-08	461010	12.624	555.456	0.0910331	406.534	548.735	9.87723	0.0583423	17.6711	10.7113	10.1449	73.1389	255	0	0	13.0178	1.89058	1.96469	13.13	99.9867	0	0	35891.5	45323.5	51999.2	55125.4	0	0	0	0	0	0	168
DATA	20:27:57:000	2023-12-08	461310	12.6299	555.716	0.0910616	406.775	550.652	9.91174	0.0584842	17.735	10.7635	10.1423	73.1292	255	0	0	13.0171	1.89057	1.96282	13.13	99.9489	0	0	35881.5	45306.4	51988.6	55114.7	0	0	0	0	0	0	171
DATA	20:27:58:000	2023-12-08	461610	12.638	556.072	0.0911119	406.934	550.444	9.90799	0.0584731	17.7239	10.7577	10.1402	73.1469	255	0	0	13.0158	1.89049	1.96344	13.13	99.929	0	0	35869.5	45297.9	51979.5	55089.6	0	0	0	0	0	0	156
DATA	20:27:59:000	2023-12-08	461910	12.6413	556.217	0.091128	407.084	550.673	9.91211	0.0584889	17.7332	10.7639	10.1381	73.1385	255	0	0	13.0171	1.89054	1.96357	13.13	99.8558	0	0	35844.9	45264.4	51948.4	55067.3	0	0	0	0	0	0	171
