Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 8 2023 at 7:11:15
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	15:11:14:000	2023-12-08	411420	12.2448	538.771	0.0888702	411.281	448.913	8.08043	0.050452	15.0782	8.3163	21.6463	72.9702	255	0	0	13.0838	2.01864	2.3172	13.2	98.8794	0	0	34735.6	43733.1	50247.1	52686.1	0	0	0	0	0	0	225
DATA	15:11:15:000	2023-12-08	411720	12.2608	539.475	0.0889575	411.843	451.406	8.12531	0.0506539	15.1628	8.39815	21.6507	72.9668	255	0	0	13.0831	2.01866	2.31795	13.2	98.8632	0	0	34728.7	43725.7	50222	52675.2	0	0	0	0	0	0	 58
DATA	15:11:16:000	2023-12-08	412020	12.2661	539.708	0.0889899	411.983	449.483	8.09069	0.0504991	15.0968	8.33555	21.6572	72.9752	255	0	0	13.0838	2.01888	2.31782	13.2	98.868	0	0	34726.4	43725.6	50230	52675.6	0	0	0	0	0	0	 45
DATA	15:11:17:000	2023-12-08	412320	12.2608	539.475	0.0889609	411.806	453.481	8.16266	0.0508252	15.2312	8.46639	21.6627	72.9764	255	0	0	13.0838	2.01877	2.31732	13.2	98.8669	0	0	34728.8	43726.3	50211.3	52675.9	0	0	0	0	0	0	165
DATA	15:11:18:000	2023-12-08	412620	12.2607	539.471	0.08896	411.829	453.794	8.16829	0.0508505	15.2426	8.47678	21.6669	72.9728	255	0	0	13.0831	2.01877	2.31757	13.2	98.8754	0	0	34730.9	43730	50208.2	52678.7	0	0	0	0	0	0	242
DATA	15:11:19:000	2023-12-08	412920	12.2567	539.295	0.0889367	411.693	457.613	8.23703	0.0511603	15.3709	8.60078	21.6728	72.9745	255	0	0	13.0838	2.01875	2.3182	13.2	98.8674	0	0	34729.4	43726.7	50183.7	52674.4	0	0	0	0	0	0	127
DATA	15:11:20:000	2023-12-08	413220	12.2514	539.062	0.0889095	411.492	460.038	8.28068	0.0513585	15.4514	8.67915	21.6786	72.9801	255	0	0	13.0831	2.01882	2.31757	13.2	98.8582	0	0	34726.8	43721.9	50176.2	52666.8	0	0	0	0	0	0	152
DATA	15:11:21:000	2023-12-08	413520	12.247	538.868	0.0888862	411.36	463.042	8.33476	0.0516022	15.553	8.77572	21.6855	72.9789	255	0	0	13.0831	2.01878	2.31745	13.2	98.8527	0	0	34725	43719.9	50161.5	52665.4	0	0	0	0	0	0	171
DATA	15:11:22:000	2023-12-08	413820	12.2505	539.022	0.0889033	411.506	467.692	8.41846	0.0519749	15.7102	8.92393	21.6924	72.9755	255	0	0	13.0831	2.01885	2.31732	13.2	98.8553	0	0	34726.1	43720.3	50143.9	52664.3	0	0	0	0	0	0	134
DATA	15:11:23:000	2023-12-08	414120	12.2423	538.661	0.0888579	411.262	470.093	8.46167	0.0521683	15.7921	9.00019	21.7007	72.9721	255	0	0	13.0838	2.01896	2.31882	13.2	98.8569	0	0	34726.4	43719.9	50129.8	52661.8	0	0	0	0	0	0	153
DATA	15:11:24:000	2023-12-08	414420	12.2247	537.887	0.0887594	410.701	475.946	8.56703	0.0526372	15.9899	9.18409	21.7094	72.9689	255	0	0	13.0831	2.01847	2.31944	13.2	98.838	0	0	34722.8	43716.4	50119.4	52658.7	0	0	0	0	0	0	142
DATA	15:11:25:000	2023-12-08	414720	12.2384	538.49	0.08884	411.132	473.733	8.52719	0.0524629	15.9144	9.11548	21.7197	72.9766	255	0	0	13.0831	2.01904	2.31795	13.2	98.8461	0	0	34724.1	43714.4	50102	52655.5	0	0	0	0	0	0	143
DATA	15:11:26:000	2023-12-08	415020	12.2337	538.283	0.0888094	411.043	475.776	8.56397	0.0526234	15.9857	9.17984	21.7302	72.967	255	0	0	13.0838	2.01889	2.31907	13.2	98.8365	0	0	34724.2	43711.7	50086	52651.7	0	0	0	0	0	0	 25
DATA	15:11:27:000	2023-12-08	415320	12.2451	538.784	0.0888739	411.433	478.63	8.61534	0.0528517	16.0819	9.26901	21.7383	72.9677	255	0	0	13.0831	2.01905	2.31807	13.2	98.8555	0	0	34724.1	43718.4	50077.2	52657.2	0	0	0	0	0	0	105
DATA	15:11:28:000	2023-12-08	415620	12.2344	538.314	0.0888156	411.078	481.303	8.66345	0.0530656	16.1719	9.35229	21.7494	72.9697	255	0	0	13.0831	2.01905	2.31845	13.2	98.8506	0	0	34724.4	43716.2	50060.1	52653.4	0	0	0	0	0	0	132
DATA	15:11:29:000	2023-12-08	415920	12.225	537.9	0.0887622	410.762	483.455	8.70219	0.0532363	16.2442	9.41919	21.7612	72.9726	255	0	0	13.0838	2.01885	2.3187	13.2	98.8402	0	0	34725.7	43713.7	50041.6	52649	0	0	0	0	0	0	100
DATA	15:11:30:000	2023-12-08	416220	12.2253	537.913	0.0887653	410.785	484.219	8.71594	0.053298	16.2704	9.44328	21.7734	72.9733	255	0	0	13.0831	2.01892	2.32019	13.2	98.8393	0	0	34725.3	43712.6	50049.2	52650.1	0	0	0	0	0	0	 83
DATA	15:11:31:000	2023-12-08	416520	12.2226	537.794	0.0887507	410.705	489.196	8.80553	0.0536928	16.438	9.59603	21.7857	72.9744	255	0	0	13.0831	2.01915	2.31807	13.2	98.8438	0	0	34725.8	43712.3	50024.2	52646.7	0	0	0	0	0	0	112
DATA	15:11:32:000	2023-12-08	416820	12.221	537.724	0.0887402	410.654	489.433	8.80979	0.0537103	16.4461	9.60389	21.7986	72.9771	255	0	0	13.0838	2.01924	2.31919	13.2	98.8483	0	0	34726.2	43713.4	50021.8	52648.7	0	0	0	0	0	0	110
