Model:	 LI-7500
SN:	75D-4923
Timestamp:	Dec 8 2023 at 7:34:42
DATAH	Time	Date	Sequence Number	CO2 (mmol/m^3)	CO2 (mg/m^3)	CO2 Absorptance	CO2 (umol/mol)	H2O (mmol/m^3)	H2O (g/m^3)	H2O Absorptance	H2O (mmol/mol)	Dew Point (C)	Temperature (C)	Pressure (kPa)	Diagnostic Value	Diagnostic Value 2	Diagnostic Word	DSI Vin (v)	Cooler Voltage (v)	Chopper Cooler Voltage (v)	Smart Flux Vin (v)	CO2 Signal Strength	Integral	Peak Height	CO2 Sample	CO2 Reference	H2O Sample	H2O Reference	CH4 Seconds	CH4 Nano Seconds	CH4 (umol/mol)	CH4 (mmol/m^3)	CH4 Signal Strength (RSSI)	CH4 Diagnostic Value	CHK
DATA	15:34:41:000	2023-12-08	833520	13.4742	592.865	0.0956078	450.689	500.682	9.01228	0.0545968	16.747	9.87545	20.4735	72.9839	253	0	0	13.079	1.99873	2.28378	13.21	84.7174	0	0	29656.2	37634.6	43416.3	45741.2	0	0	0	0	0	0	161
DATA	15:34:42:000	2023-12-08	833820	13.4945	593.758	0.0957231	451.347	520.347	9.36625	0.0561314	17.4039	10.4527	20.4958	72.9928	253	0	0	13.0797	2.00423	2.28303	13.21	84.9491	0	0	29678.8	37692.5	43472.6	45858	0	0	0	0	0	0	134
DATA	15:34:43:000	2023-12-08	834120	13.563	596.772	0.0960919	453.709	528.381	9.51086	0.0567531	17.6754	10.6839	20.523	72.9882	253	0	0	13.079	2.00393	2.28366	13.21	84.2752	0	0	29462	37395.9	42857	45266.5	0	0	0	0	0	0	143
DATA	15:34:44:000	2023-12-08	834420	13.5245	595.078	0.0958875	452.408	512.301	9.22142	0.0555117	17.137	10.2222	20.5522	72.9975	253	0	0	13.0783	2.00377	2.28253	13.21	84.0631	0	0	29390.4	37303.1	42655.2	45028.6	0	0	0	0	0	0	102
DATA	15:34:45:000	2023-12-08	834720	13.5394	595.734	0.0959609	452.996	500.916	9.01649	0.0546181	16.7595	9.88802	20.5837	72.9909	253	0	0	13.079	2.00368	2.28291	13.21	84.5724	0	0	29566.4	37529.8	43201.6	45590.4	0	0	0	0	0	0	207
DATA	15:34:46:000	2023-12-08	835020	13.247	582.868	0.0943871	443.205	521.948	9.39506	0.0562543	17.4628	10.5047	20.6132	72.9995	254	0	0	13.079	2.00387	2.28303	13.21	90.7218	0	0	31781.9	40257	46435.9	48968.4	0	0	0	0	0	0	 16
DATA	15:34:47:000	2023-12-08	835320	12.6159	555.1	0.0909456	422.161	530.96	9.55728	0.0569531	17.7673	10.7633	20.6445	72.9951	255	0	0	13.0797	2.004	2.28366	13.21	97.8062	0	0	34374.6	43399.4	49493.4	52437.7	0	0	0	0	0	0	229
DATA	15:34:48:000	2023-12-08	835620	12.534	551.496	0.0904891	419.499	510.147	9.18265	0.0553418	17.0741	10.1655	20.676	72.9892	254	0	0	13.079	2.00471	2.28415	13.21	94.3769	0	0	33353.4	41871.2	48495.7	51008.7	0	0	0	0	0	0	 57
DATA	15:34:49:000	2023-12-08	835920	14.9523	657.901	0.102216	500.505	434.768	7.82582	0.0489241	14.5532	7.79906	20.7163	72.9894	255	0	0	13.0797	2.00435	2.28391	13.21	96.4653	0	0	34231.1	42801.1	49517	52181	0	0	0	0	0	0	206
DATA	15:34:50:000	2023-12-08	836220	12.6659	557.3	0.0912261	424.044	587.967	10.5834	0.0612424	19.6847	12.3114	20.7678	72.9896	255	0	0	13.0797	2.00455	2.28465	13.21	97.9044	0	0	34435.2	43437.8	49622.5	52451.2	0	0	0	0	0	0	105
