"","Date","Site","Chamber","PlotID","Cover","StartTime","StartCO2","StopTime","StopCo2","PAR1","PAR2","PAR3","PAR4","PAR5","IRgun1","IRgun2","IRgun3","Weather","Treatment","ST1","ST2","SM1","SM2","SM3","SM4","PAR_mean","IR_mean","ST_mean","SM_mean","H2o","inter","dcdt","rsqd","comment","NEE","Year","Country","Gradient","Project"
"1","21.07.2018","5",2939,"A","L","11:21:00","378","11:23:00",389,171,169,173,172,NA,NA,NA,NA,"Overcast","Bird",5.3,4.8,5.9,14,14.7,4.9,171.25,NA,5.05,9.875,8.5,378.05,0.128,0.935,NA,2.23899541262977,"2018","SV","B","T"
"2","21.07.2018","5",2939,"A","D","11:24:00","388","11:26:00",397,0,0,0,0,0,4.4,3.8,4.4,"Overcast","Bird",5.3,4.8,5.9,14,14.7,4.9,0,4.2,5.05,9.875,8.5,388.27,0.072,0.937,NA,1.25943491960425,"2018","SV","B","T"
"3","21.07.2018","5",2939,"B","L","11:13:00","383","11:15:00",393,143,155,160,161,163,NA,NA,NA,"Overcast","Bird",5.1,5,12.5,6.7,8.7,10.6,156.4,NA,5.05,9.625,8.5,376.11,0.138,0.958,NA,2.41391692924147,"2018","SV","B","T"
"4","21.07.2018","5",2939,"B","D","11:16:00","381","11:18:00",398,0,0,0,0,0,3.4,3.3,3.4,"Overcast","Bird",5.1,5,12.5,6.7,8.7,10.6,0,3.36666666666667,5.05,9.625,8.5,381.3,0.136,0.968,NA,2.37893262591913,"2018","SV","B","T"
"5","21.07.2018","5",2939,"C","L","11:03:00","383","11:05:00",385,195,193,196,185,190,NA,NA,NA,"Overcast","Bird",5.2,5.3,8.9,15.3,10.8,3.3,191.8,NA,5.25,9.575,8.5,382.33,0.037,0.692,NA,0.64674466202977,"2018","SV","B","T"
"6","21.07.2018","5",2939,"C","D","11:06:00","380","11:08:00",402,0,0,0,0,0,3.6,3.3,3.9,"Overcast","Bird",5.2,5.3,8.9,15.3,10.8,3.3,0,3.6,5.25,9.575,8.5,380.03,0.198,0.988,NA,3.46095792113229,"2018","SV","B","T"
"7","21.07.2018","5",2939,"D","L","10:54:00","383","10:56:00",380,185,197,196,185,193,NA,NA,NA,"Overcast","Bird",5.6,5.2,6.3,3.7,8.8,3.6,191.2,NA,5.4,5.6,8.5,383.6,-0.022,0.733,NA,-0.384343798337912,"2018","SV","B","T"
"8","21.07.2018","5",2939,"D","D","10:58:00","379","11:00:00",390,0,0,0,0,0,3.8,4.4,4.2,"Overcast","Bird",5.6,5.2,6.3,3.7,8.8,3.6,0,4.13333333333333,5.4,5.6,8.5,379.4,0.092,0.966,NA,1.60725588395854,"2018","SV","B","T"
"9","21.07.2018","5",2939,"E","L","10:38:00","372","11:40:00",373,227,222,215,210,206,NA,NA,NA,"Overcast","Bird",5.7,5.5,5.5,9.2,0.8,2.4,216,NA,5.6,4.475,8.5,371.22,0.014,0.438,NA,0.244406931981795,"2018","SV","B","T"
"10","21.07.2018","5",2939,"E","D","10:43:00","375","10:46:00",382,0,0,0,0,0,4.2,3.1,3.3,"Overcast","Bird",5.7,5.5,5.5,9.2,0.8,2.4,0,3.53333333333333,5.6,4.475,8.5,375.54,0.0469,0.882,NA,0.818763222139012,"2018","SV","B","T"
"11","18.07.2018","5",2939,"A","L","12:49:00","384","12:52:00",385,431,439,449,459,469,8.1,7.3,7.4,"Overcast","Control",7.8,7.2,10.3,22.1,6.9,21,449.4,7.6,7.5,15.075,10,383.63,0.008,0.195,"flat",0.138507836809191,"2018","SV","C","T"
"12","18.07.2018","5",2939,"A","D","12:54:00","384","12:56:00",386,0,0,0,0,0,NA,NA,NA,"Overcast","Control",7.8,7.2,10.3,22.1,6.9,21,0,NA,7.5,15.075,10,384.71,0.007,0.19,"flat",0.121194357208042,"2018","SV","C","T"
"13","18.07.2018","5",2939,"B","L","13:04:00","383","13:06:00",384,500,517,548,579,619,10.4,11.2,9.8,"Overcast","Control",7.7,7.8,23.3,10.5,18.6,10.2,552.6,10.4666666666667,7.75,15.65,10,384.77,-0.002,0.016,"flat",-0.0345961413318791,"2018","SV","C","T"
"14","18.07.2018","5",2939,"B","D","13:07:00","385","13:09:00",393,0,0,0,0,0,NA,NA,NA,"Overcast","Control",7.7,7.8,23.3,10.5,18.6,10.2,0,NA,7.75,15.65,10,385.33,0.066,0.92,NA,1.14167266395201,"2018","SV","C","T"
"15","18.07.2018","5",2939,"C","L","13:15:00","384","13:17:00",388,587,583,582,581,579,14,12.7,13.5,"Overcast","Control",8.7,8.4,12.6,9.6,29,20.5,582.4,13.4,8.55,17.925,10,384.12,0.041,0.804,NA,0.70720678044927,"2018","SV","C","T"
"16","18.07.2018","5",2939,"C","D","13:18:00","385","13:20:00",398,0,0,0,0,0,11,10.5,10.5,"Overcast","Control",8.7,8.4,12.6,9.6,29,20.5,0,10.6666666666667,8.55,17.925,10,386.08,0.107,0.945,NA,1.84563720751395,"2018","SV","C","T"
"17","18.07.2018","5",2939,"D","L","13:29:00","390","13:31:00",396,434,441,451,458,460,10.5,9.9,10.8,"Overcast","Control",8.6,9.7,15.1,21.4,12.1,12.9,448.8,10.4,9.15,15.375,10,391.49,0.035,0.744,NA,0.602429974325841,"2018","SV","C","T"
"18","18.07.2018","5",2939,"D","D","13:32:00","389","13:34:00",399,0,0,0,0,0,11,10.7,12.2,"Overcast","Control",8.6,9.7,15.1,21.4,12.1,12.9,0,11.3,9.15,15.375,10,390.76,0.067,0.93,NA,1.15322309370947,"2018","SV","C","T"
"19","18.07.2018","5",2939,"E","L","13:40:00","383","13:43:00",381,364,365,357,354,354,13.7,10.6,10.6,"Overcast","Control",7.8,8.3,14.7,13.5,5.8,16.1,358.8,11.6333333333333,8.05,12.525,10,382.86,-0.012,0.286,"flat",-0.207355393317031,"2018","SV","C","T"
"20","18.07.2018","6",2939,"E","D","11:20:00","393","11:23:00",415,0,0,0,0,0,NA,NA,NA,"Cloudy","Control",8.3,8.4,4.5,5.1,1,10.8,0,NA,8.35,5.35,10,386.23,0.0358,0.835,NA,0.617950991801899,"2018","SV","C","T"
