Year,Date,Gradient,Site,PlotID,Variable,Value,Elevation_m,Latitude_N,Longitude_E
2018,2018-07-21,B,1,A,MedianHeight_cm,2,43.4,78.239,15.341
2018,2018-07-21,B,1,A,MaxHeight_cm,9,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Vascular,30,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Bryophytes,20,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Lichen_soil,5,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Lichen_rock,5,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Rock,7,43.4,78.239,15.341
2018,2018-07-21,B,1,A,BareGround,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,A,BioCrust,70,43.4,78.239,15.341
2018,2018-07-21,B,1,A,Litter,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,B,MedianHeight_cm,2,43.4,78.239,15.341
2018,2018-07-21,B,1,B,MaxHeight_cm,11.2,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Vascular,40,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Bryophytes,35,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Lichen_soil,NA,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Lichen_rock,NA,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Rock,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,B,BareGround,0,43.4,78.239,15.341
2018,2018-07-21,B,1,B,BioCrust,50,43.4,78.239,15.341
2018,2018-07-21,B,1,B,Litter,3,43.4,78.239,15.341
2018,2018-07-21,B,1,C,MedianHeight_cm,1.5,43.4,78.239,15.341
2018,2018-07-21,B,1,C,MaxHeight_cm,6,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Vascular,30,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Bryophytes,10,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Lichen_soil,10,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Lichen_rock,18,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Rock,20,43.4,78.239,15.341
2018,2018-07-21,B,1,C,BareGround,NA,43.4,78.239,15.341
2018,2018-07-21,B,1,C,BioCrust,65,43.4,78.239,15.341
2018,2018-07-21,B,1,C,Litter,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,D,MedianHeight_cm,2,43.4,78.239,15.341
2018,2018-07-21,B,1,D,MaxHeight_cm,8.5,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Vascular,40,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Bryophytes,2,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Lichen_soil,10,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Lichen_rock,18,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Rock,20,43.4,78.239,15.341
2018,2018-07-21,B,1,D,BareGround,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,D,BioCrust,60,43.4,78.239,15.341
2018,2018-07-21,B,1,D,Litter,1,43.4,78.239,15.341
2018,2018-07-21,B,1,E,MedianHeight_cm,1,43.4,78.239,15.341
2018,2018-07-21,B,1,E,MaxHeight_cm,5.4,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Vascular,30,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Bryophytes,25,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Lichen_soil,7,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Lichen_rock,NA,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Rock,1,43.4,78.239,15.341
2018,2018-07-21,B,1,E,BareGround,30,43.4,78.239,15.341
2018,2018-07-21,B,1,E,BioCrust,20,43.4,78.239,15.341
2018,2018-07-21,B,1,E,Litter,5,43.4,78.239,15.341
2018,2018-07-21,B,1,F,MedianHeight_cm,4,43.4,78.239,15.341
2018,2018-07-21,B,1,F,MaxHeight_cm,12,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Vascular,75,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Bryophytes,95,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Lichen_soil,0.5,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Lichen_rock,0,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Rock,0,43.4,78.239,15.341
2018,2018-07-21,B,1,F,BareGround,0,43.4,78.239,15.341
2018,2018-07-21,B,1,F,BioCrust,1,43.4,78.239,15.341
2018,2018-07-21,B,1,F,Litter,3,43.4,78.239,15.341
2018,2018-07-21,B,1,G,MedianHeight_cm,2,43.4,78.239,15.341
2018,2018-07-21,B,1,G,MaxHeight_cm,8,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Vascular,65,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Bryophytes,70,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Lichen_soil,1,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Lichen_rock,0,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Rock,4,43.4,78.239,15.341
2018,2018-07-21,B,1,G,BareGround,0,43.4,78.239,15.341
2018,2018-07-21,B,1,G,BioCrust,5,43.4,78.239,15.341
2018,2018-07-21,B,1,G,Litter,3,43.4,78.239,15.341
2018,2018-07-21,B,2,A,MedianHeight_cm,3,80.3,78.239,15.346
2018,2018-07-21,B,2,A,MaxHeight_cm,8,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Vascular,25,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Bryophytes,60,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Lichen_soil,4,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Lichen_rock,0,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Rock,40,80.3,78.239,15.346
2018,2018-07-21,B,2,A,BareGround,1,80.3,78.239,15.346
2018,2018-07-21,B,2,A,BioCrust,0,80.3,78.239,15.346
2018,2018-07-21,B,2,A,Litter,1,80.3,78.239,15.346
2018,2018-07-21,B,2,B,MedianHeight_cm,1.5,80.3,78.239,15.346
2018,2018-07-21,B,2,B,MaxHeight_cm,6.3,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Vascular,35,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Bryophytes,80,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Lichen_soil,3,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Lichen_rock,5,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Rock,18,80.3,78.239,15.346
2018,2018-07-21,B,2,B,BareGround,0,80.3,78.239,15.346
2018,2018-07-21,B,2,B,BioCrust,1,80.3,78.239,15.346
2018,2018-07-21,B,2,B,Litter,2,80.3,78.239,15.346
2018,2018-07-21,B,2,C,MedianHeight_cm,1,80.3,78.239,15.346
2018,2018-07-21,B,2,C,MaxHeight_cm,5.4,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Vascular,35,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Bryophytes,85,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Lichen_soil,2,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Lichen_rock,0,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Rock,10,80.3,78.239,15.346
2018,2018-07-21,B,2,C,BareGround,1,80.3,78.239,15.346
2018,2018-07-21,B,2,C,BioCrust,5,80.3,78.239,15.346
2018,2018-07-21,B,2,C,Litter,2,80.3,78.239,15.346
2018,2018-07-21,B,2,D,MedianHeight_cm,1.5,80.3,78.239,15.346
2018,2018-07-21,B,2,D,MaxHeight_cm,6,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Vascular,30,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Bryophytes,70,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Lichen_soil,5,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Lichen_rock,20,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Rock,30,80.3,78.239,15.346
2018,2018-07-21,B,2,D,BareGround,NA,80.3,78.239,15.346
2018,2018-07-21,B,2,D,BioCrust,NA,80.3,78.239,15.346
2018,2018-07-21,B,2,D,Litter,1,80.3,78.239,15.346
2018,2018-07-21,B,2,E,MedianHeight_cm,2,80.3,78.239,15.346
2018,2018-07-21,B,2,E,MaxHeight_cm,8,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Vascular,25,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Bryophytes,45,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Lichen_soil,10,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Lichen_rock,0,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Rock,30,80.3,78.239,15.346
2018,2018-07-21,B,2,E,BareGround,1,80.3,78.239,15.346
2018,2018-07-21,B,2,E,BioCrust,15,80.3,78.239,15.346
2018,2018-07-21,B,2,E,Litter,1,80.3,78.239,15.346
2018,2018-07-21,B,2,F,MedianHeight_cm,1.5,80.3,78.239,15.346
2018,2018-07-21,B,2,F,MaxHeight_cm,9,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Vascular,45,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Bryophytes,70,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Lichen_soil,5,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Lichen_rock,0.5,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Rock,1,80.3,78.239,15.346
2018,2018-07-21,B,2,F,BareGround,0,80.3,78.239,15.346
2018,2018-07-21,B,2,F,BioCrust,20,80.3,78.239,15.346
2018,2018-07-21,B,2,F,Litter,1,80.3,78.239,15.346
2018,2018-07-21,B,2,G,MedianHeight_cm,1.5,80.3,78.239,15.346
2018,2018-07-21,B,2,G,MaxHeight_cm,6.1,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Vascular,30,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Bryophytes,90,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Lichen_soil,4,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Lichen_rock,1,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Rock,2,80.3,78.239,15.346
2018,2018-07-21,B,2,G,BareGround,0.5,80.3,78.239,15.346
2018,2018-07-21,B,2,G,BioCrust,1,80.3,78.239,15.346
2018,2018-07-21,B,2,G,Litter,3,80.3,78.239,15.346
2018,2018-07-18,B,3,A,MedianHeight_cm,1.5,114.6,78.238,15.35
2018,2018-07-18,B,3,A,MaxHeight_cm,8.5,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Vascular,45,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Bryophytes,70,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Lichen_soil,5,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Lichen_rock,5,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Rock,25,114.6,78.238,15.35
2018,2018-07-18,B,3,A,BareGround,2,114.6,78.238,15.35
2018,2018-07-18,B,3,A,BioCrust,2,114.6,78.238,15.35
2018,2018-07-18,B,3,A,Litter,1,114.6,78.238,15.35
2018,2018-07-20,B,3,B,MedianHeight_cm,1.3,114.6,78.238,15.35
2018,2018-07-20,B,3,B,MaxHeight_cm,5,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Vascular,40,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Bryophytes,85,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Lichen_soil,6,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Lichen_rock,7,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Rock,15,114.6,78.238,15.35
2018,2018-07-20,B,3,B,BareGround,3,114.6,78.238,15.35
2018,2018-07-20,B,3,B,BioCrust,0.5,114.6,78.238,15.35
2018,2018-07-20,B,3,B,Litter,1,114.6,78.238,15.35
2018,2018-07-20,B,3,C,MedianHeight_cm,2,114.6,78.238,15.35
2018,2018-07-20,B,3,C,MaxHeight_cm,9.5,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Vascular,50,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Bryophytes,70,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Lichen_soil,0.1,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Lichen_rock,20,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Rock,25,114.6,78.238,15.35
2018,2018-07-20,B,3,C,BareGround,1,114.6,78.238,15.35
2018,2018-07-20,B,3,C,BioCrust,0.1,114.6,78.238,15.35
2018,2018-07-20,B,3,C,Litter,2,114.6,78.238,15.35
2018,2018-07-21,B,3,D,MedianHeight_cm,1.5,114.6,78.238,15.35
2018,2018-07-21,B,3,D,MaxHeight_cm,4.5,114.6,78.238,15.35
